[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.2   565.9    74.4   186.5   229.2   322.5   361.3   387.1   407.1   434.3   470.5   545.7   835.2 11096.5 20914.3   4979.0     5000  1620056242757  1620056248101
read      392.5   506.5    68.9   152.5   191.2   353.2   414.1   453.9   485.9   528.3   583.2   672.7   914.5  5578.2 25778.4  10042.2    10000  1620056249608  1620056254926
read      413.4   371.9    74.4   144.7   177.5   371.3   452.0   503.1   543.3   588.3   655.1   788.0  1063.8  4360.2 12858.5  15078.2    15000  1620056256429  1620056261747
read      425.1   382.4    68.9   136.9   170.3   379.1   467.6   524.1   566.5   621.6   701.4   865.6  1145.2  3561.3 12947.6  19938.4    20000  1620056263252  1620056268547
read      439.6   488.7    68.9   135.2   165.3   387.1   483.6   541.8   586.4   650.4   739.2   917.5  1232.5  3991.9 19719.4  25022.8    25000  1620056270051  1620056275360
read      445.4   392.7    68.9   135.4   165.5   398.6   498.4   556.5   598.4   662.4   750.3   926.4  1252.5  2864.4 14881.9  29968.6    30000  1620056276866  1620056282190
read      434.4   334.8    68.9   134.4   162.9   387.7   484.7   541.5   583.7   643.0   736.0   916.3  1315.4  2528.5 10067.3  34847.6    35000  1620056283693  1620056288973
read      434.9   323.4    68.9   131.8   160.9   387.2   491.1   551.2   593.8   657.7   746.2   916.3  1267.3  2466.1 12023.1  39992.8    40000  1620056290478  1620056295772
read      420.9   324.3    68.9   128.3   154.1   364.3   472.8   539.5   586.7   650.8   739.4   902.6  1264.9  2500.1 10042.6  44985.4    45000  1620056297275  1620056302552
read      414.0   346.9    63.8   128.5   154.4   362.9   462.9   520.6   563.9   623.0   707.8   863.5  1263.8  2935.7 12287.7  49816.5    50000  1620056304056  1620056309337
read      409.7   308.6    63.8   127.3   152.5   357.8   461.7   519.4   561.5   618.7   706.9   866.1  1253.4  2902.4  8465.5  54993.2    55000  1620056310841  1620056316130
read      407.4   331.6    63.8   127.8   153.0   349.0   452.0   512.7   558.0   619.6   712.3   869.2  1253.7  3227.9 11310.8  59854.6    60000  1620056317635  1620056322910
read      399.3   368.4    63.8   124.2   149.0   342.6   441.2   498.3   540.9   596.4   683.3   833.5  1225.4  3443.4 12875.7  64921.6    65000  1620056324415  1620056329705
read      423.9   364.4    63.8   131.3   158.9   360.6   462.9   523.0   570.6   638.2   737.6   905.2  1356.3  3755.6 10175.1  69845.8    70000  1620056331211  1620056336497
read      422.4   382.9    63.8   130.4   158.2   359.2   463.3   525.9   575.4   640.5   735.1   896.6  1307.6  3670.7 12657.9  74695.4    75000  1620056338003  1620056343293
read      384.7   327.2    63.8   125.5   151.2   334.5   427.9   482.7   522.7   572.9   647.6   776.9  1104.9  3389.1  9958.1  79765.4    80000  1620056344799  1620056350089
read      392.9   341.7    63.8   128.3   155.0   340.2   433.5   488.7   530.3   584.7   665.1   800.9  1136.1  3750.1 11814.5  84937.2    85000  1620056351594  1620056356878
read      391.3   306.5    63.8   130.4   158.0   342.5   433.4   489.6   531.3   586.4   665.0   793.2  1099.4  3258.4 10471.7  89733.0    90000  1620056358382  1620056363689
read      392.3   336.8    63.8   132.7   161.1   344.0   432.2   486.6   528.4   583.0   658.8   788.4  1085.0  3168.0 13341.5  95048.2    95000  1620056365196  1620056370474
read      407.4   316.6    63.8   136.6   169.3   361.4   449.3   502.4   545.0   602.4   679.9   811.4  1107.0  3437.1 10090.6  99987.4   100000  1620056371979  1620056377283
read      492.6   375.1    63.8   160.9   206.5   443.2   532.7   594.2   651.4   726.9   830.3   987.5  1350.7  2845.4 12652.8 104047.6   105000  1620056378789  1620056384075
read      529.8   334.0    68.9   210.9   269.2   473.2   556.0   625.1   686.2   769.4   869.9  1006.3  1318.5  2044.6 12587.2 107740.2   110000  1620056385579  1620056390866
read      583.2   320.4    68.9   343.3   377.7   502.1   582.0   672.5   754.0   836.4   919.5  1026.1  1308.6  2183.1 12430.6 110371.6   115000  1620056392371  1620056397655
read      610.3   397.7    68.9   348.5   382.4   514.9   622.1   722.9   798.5   873.2   956.3  1088.3  1437.4  3065.4 17153.9 106990.9   120000  1620056399159  1620056404440
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.89%,14.57%,100.00%
