ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      368.4   402.7    80.4   183.2   225.2   336.9   370.5   392.2   407.9   430.0   462.2   527.9   842.3  6883.1 12826.8   4930.6     5000  1620068412101  1620068417457
read      397.6   473.5    80.4   152.4   185.6   364.1   416.3   448.2   474.1   509.7   567.4   669.8   941.0  7248.3 20110.2  10031.8    10000  1620068418962  1620068424314
read      414.3   301.0    80.4   148.3   181.0   380.7   450.4   495.4   533.9   584.7   653.4   792.1  1147.5  3163.7 10973.6  14971.6    15000  1620068425818  1620068431106
read      453.5   426.6    80.4   147.3   180.3   396.3   483.6   543.4   591.2   654.6   753.5   940.1  1356.0  4142.5 13419.1  20051.6    20000  1620068432612  1620068437926
read      445.5   323.6    74.4   143.7   176.9   397.8   481.0   536.5   582.3   636.9   724.5   898.6  1409.0  2376.0 10063.2  24998.6    25000  1620068439430  1620068444737
read      455.6   434.9    74.4   138.1   168.9   397.6   490.9   554.2   602.7   662.6   747.5   915.1  1457.6  4783.2 13525.9  30095.2    30000  1620068446241  1620068451536
read      456.3   398.6    74.4   136.2   164.6   395.5   491.8   556.8   609.6   672.3   768.9   970.1  1510.1  3922.1 12536.3  35074.8    35000  1620068453040  1620068458322
read      458.5   359.5    68.9   137.4   167.7   410.1   505.6   568.4   616.3   674.0   758.2   917.5  1510.3  2406.9 13433.9  39988.4    40000  1620068459826  1620068465107
read      438.3   341.6    74.4   134.0   161.9   390.1   481.3   539.8   586.0   641.6   726.8   880.8  1469.7  3064.6 12335.3  45058.8    45000  1620068466617  1620068471915
read      424.9   328.1    68.9   131.1   157.4   379.9   469.6   527.4   572.9   628.0   703.6   852.7  1447.3  2737.0 10906.9  50027.8    50000  1620068473419  1620068478716
read      430.4   344.3    68.9   131.7   157.6   369.5   469.4   534.6   586.3   650.4   741.2   905.1  1485.9  2947.4 11874.1  54767.2    55000  1620068480219  1620068485518
read      420.0   347.0    68.9   130.2   155.7   365.6   459.3   516.7   562.3   621.1   702.9   861.4  1478.9  3264.1 12201.3  59898.0    60000  1620068487022  1620068492315
read      421.1   351.3    68.9   131.4   157.4   364.8   459.8   517.7   565.8   627.1   710.0   862.1  1483.8  3295.8 12038.3  65019.8    65000  1620068493820  1620068499097
read      416.2   331.1    74.4   133.0   159.2   363.7   458.7   516.1   562.7   621.7   699.6   840.9  1409.7  3185.0 10566.4  70178.8    70000  1620068500601  1620068505878
read      419.9   398.0    68.9   133.7   160.1   360.2   456.3   515.8   563.2   624.6   709.4   860.7  1429.5  3454.6 14443.1  75114.5    75000  1620068507384  1620068512665
read      409.9   342.1    68.9   132.7   159.4   355.6   450.5   507.0   551.9   611.0   690.6   837.4  1356.3  3298.0  9875.3  79926.0    80000  1620068514169  1620068519463
read      407.9   344.8    68.9   133.7   161.0   353.8   446.3   501.8   545.3   601.9   683.0   829.0  1323.8  3728.0  9030.9  85210.2    85000  1620068520967  1620068526257
read      409.5   363.8    68.9   138.2   166.8   356.9   447.3   502.4   545.6   601.4   678.6   812.1  1283.1  3821.6 12096.2  89986.6    90000  1620068527762  1620068533040
read      411.0   372.8    68.9   140.3   169.9   362.3   450.8   505.2   547.7   603.6   681.8   813.3  1168.1  3744.2 11941.5  94753.6    95000  1620068534545  1620068539848
read      454.5   312.3    68.9   162.5   202.9   409.8   498.6   556.4   604.0   664.6   749.0   886.0  1180.8  2310.3 10597.4 100121.4   100000  1620068541352  1620068546647
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.09%,24.37%,100.00%
