#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      250.3   301.8    74.4   121.7   135.1   213.6   261.6   290.6   312.0   337.5   370.0   424.1   640.8  4085.7 15237.8  29923.2    30000
read      251.2   303.6    74.4   121.4   134.3   210.8   261.3   292.5   315.6   342.3   375.8   434.1   676.9  4296.2 12420.1  29995.3    30010
read      255.9   320.3    74.4   123.7   137.0   213.3   263.3   294.1   316.7   343.9   380.4   439.8   710.0  4606.6 13897.9  30049.4    30020
read      260.9   309.5    74.4   124.0   137.1   216.5   271.2   304.5   328.1   357.5   397.6   467.6   753.1  3986.1 12209.7  30035.6    30030
read      264.3   296.3    74.4   128.4   141.8   225.0   275.4   306.8   329.8   357.7   394.5   459.2   728.6  3798.9 12912.9  30038.4    30040
read      280.3   306.1    74.4   130.7   146.2   240.5   295.1   328.1   352.3   381.3   420.1   488.0   806.9  3775.4 12790.7  30045.8    30050
read      271.2   283.6    74.4   128.3   143.2   235.3   286.9   315.9   337.8   364.2   399.2   462.0   774.9  4015.8 12245.1  29964.6    30060
read      253.3   306.4    74.4   124.1   138.4   218.8   261.7   288.9   309.9   335.1   367.3   421.4   649.5  3976.0 13589.3  30044.6    30070
read      236.1   280.6    74.4   121.0   134.0   205.2   243.3   268.0   287.6   312.4   343.8   391.6   548.6  3804.4 12665.1  30072.5    30080
read      237.0   263.6    68.9   120.7   133.2   203.1   244.3   270.4   290.5   314.9   345.7   394.6   578.2  3908.3  8770.2  30101.4    30090
read      241.1   271.8    74.4   123.0   135.8   208.2   249.9   275.7   295.7   319.6   350.6   398.8   594.0  3754.3  9527.1  30124.2    30100
read      257.8   279.4    74.4   128.7   142.4   224.4   268.9   296.2   317.6   343.7   378.2   435.2   661.6  3874.9 11488.3  30157.2    30110
read      268.1   272.8    74.4   127.9   142.3   232.7   284.9   315.0   336.9   362.5   395.5   453.0   709.4  3863.3  9566.1  30117.4    30120
read      244.8   291.9    74.4   123.9   137.8   211.9   251.7   278.9   300.9   327.3   360.0   405.4   569.7  3698.6 15137.4  30148.2    30130
read      234.3   249.1    74.4   120.0   132.8   202.4   240.8   266.6   287.2   313.0   345.2   394.7   551.2  3411.7  9242.9  30103.9    30140
read      233.1   260.5    68.9   120.2   132.7   201.8   239.3   264.5   283.8   308.2   340.3   391.0   557.7  3488.5 12056.7  30081.4    30150
read      255.1   282.3    74.4   127.4   141.0   220.2   264.3   292.0   313.5   339.6   373.9   432.6   655.9  3676.5 11195.7  30170.7    30160
read      268.7   286.5    74.4   128.2   142.7   232.9   283.8   314.6   337.3   364.1   398.6   460.5   735.7  3739.3 12304.4  30184.5    30170
read      246.2   289.9    68.9   122.7   136.7   212.9   254.1   282.1   303.6   329.3   362.1   411.0   593.8  3772.2 12868.8  30221.1    30180
read      239.9   263.5    68.9   121.2   134.5   207.1   247.5   273.9   295.2   320.9   354.6   404.4   569.2  3564.2 10167.0  30132.2    30190
