[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      401.0   556.7    80.4   202.6   244.3   345.1   402.2   446.2   474.4   508.4   548.5   616.0   825.2  7454.0 29008.3   4976.8     5000  1620056644788  1620056650151
read      423.8   459.9    74.4   152.5   190.4   377.4   472.3   517.5   546.9   580.2   622.7   692.8   913.3  8192.8 16274.8   9985.8    10000  1620056651656  1620056656988
read      446.9   568.1    68.9   143.4   176.6   403.5   517.1   568.3   602.2   640.4   693.2   788.8  1056.8  6636.1 28927.6  15064.6    15000  1620056658492  1620056663805
read      438.0   318.7    68.9   135.6   170.0   407.4   519.8   573.1   609.4   650.7   708.3   805.3  1087.9  2352.1 11072.5  20003.8    20000  1620056665310  1620056670599
read      434.1   372.8    68.9   132.6   163.5   391.0   509.2   567.4   608.3   657.2   721.3   829.8  1134.2  3262.1 13460.3  24838.0    25000  1620056672104  1620056677411
read      432.3   385.6    63.8   128.9   158.0   388.8   503.6   563.9   607.4   658.6   724.4   840.1  1164.0  3031.5 13304.6  29979.0    30000  1620056678915  1620056684205
read      423.7   351.8    68.9   128.2   155.8   377.4   491.0   552.1   597.1   651.6   721.3   831.6  1166.5  2303.9 13365.7  35034.0    35000  1620056685710  1620056691025
read      447.9   421.1    68.9   130.1   158.1   392.3   511.6   577.6   625.5   682.3   764.1   901.4  1433.1  3679.9 15856.8  40058.2    40000  1620056692530  1620056697833
read      427.7   305.3    68.9   128.6   155.9   384.3   491.8   555.0   600.8   654.5   725.6   852.4  1238.4  2677.1  8892.4  44838.4    45000  1620056699338  1620056704625
read      428.4   421.5    63.8   129.3   155.5   364.9   475.6   541.3   589.7   645.9   723.7   867.2  1635.8  3246.9 14107.1  50017.2    50000  1620056706132  1620056711406
read      406.5   376.5    63.8   124.4   149.0   348.8   454.6   514.3   561.8   615.6   685.7   816.3  1441.8  3333.5 12994.7  54931.6    55000  1620056712911  1620056718199
read      411.1   384.9    63.8   124.6   149.9   348.2   453.6   512.6   559.3   614.1   687.3   827.7  1725.3  3462.0 13175.4  59980.0    60000  1620056719705  1620056724991
read      412.1   403.4    63.8   125.5   151.3   346.6   450.6   509.5   555.0   609.9   686.0   833.9  1734.5  3727.9 14659.3  64908.8    65000  1620056726496  1620056731788
read      404.0   424.3    63.8   123.7   147.6   333.2   433.8   493.0   538.1   592.0   666.4   806.3  1988.6  3766.6 15686.9  69807.6    70000  1620056733293  1620056738575
read      407.1   462.4    63.8   125.9   151.5   340.6   439.8   496.8   538.8   590.6   663.7   800.2  1813.4  4139.9 18402.8  74817.8    75000  1620056740078  1620056745383
read      408.1   428.7    63.8   127.5   153.4   341.5   437.1   496.0   539.6   593.2   670.5   808.6  1787.6  4580.1 12287.5  79821.6    80000  1620056746887  1620056752196
read      406.0   407.4    63.8   129.5   156.5   341.3   434.9   491.2   534.4   588.2   665.3   799.9  1507.6  4750.7 12883.7  84872.6    85000  1620056753701  1620056758995
read      403.1   436.3    63.8   127.8   155.0   341.8   432.0   486.2   527.8   580.3   653.1   778.9  1451.5  4779.6 13972.3  89875.0    90000  1620056760502  1620056765801
read      394.5   418.4    63.8   129.2   156.8   337.6   426.1   479.3   519.7   571.4   641.0   764.1  1176.8  4641.9 12444.0  94903.8    95000  1620056767307  1620056772588
read      413.8   335.0    63.8   139.3   172.5   369.4   458.6   510.0   550.1   602.2   674.7   801.7  1117.3  3946.2 11458.2  99915.0   100000  1620056774093  1620056779378
read      422.8   325.4    63.8   148.4   183.6   375.4   463.4   519.7   564.2   620.7   697.0   823.0  1135.2  3857.1 10866.4 105043.8   105000  1620056780883  1620056786175
read      483.1   303.3    63.8   172.2   221.6   442.9   523.7   580.4   630.1   698.0   798.8   943.6  1210.3  1920.1  9735.9 108894.0   110000  1620056787679  1620056792959
read      536.8   325.4    68.9   285.1   328.0   468.3   553.5   634.9   701.1   771.8   848.4   947.2  1186.0  1982.5 13253.4 114199.4   115000  1620056794463  1620056799758
read      580.3   322.0    63.8   327.0   362.4   505.0   592.8   679.8   747.8   823.5   908.2  1020.7  1296.7  2498.0 13026.3 110869.4   120000  1620056801264  1620056806549
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.82%,5.10%,100.00%
