Starting measuring cpu utilization percentages
Each number represents the percentage of cpu used per cpu.
[0.0, 0.0, 0.0, 0.0]
[100.0, 18.4, 3.4, 8.7]
[100.0, 9.8, 3.4, 5.6]
[24.0, 5.0, 3.0, 1.0]
[3.0, 3.0, 2.0, 1.0]
[96.0, 6.7, 2.4, 1.1]
[100.0, 13.4, 5.6, 4.2]
[100.0, 9.8, 6.8, 4.2]
[100.0, 7.7, 2.3, 1.1]
[100.0, 7.8, 3.4, 3.2]
[6.0, 4.0, 2.0, 2.0]
[18.4, 4.0, 4.0, 1.0]
[100.0, 7.9, 3.4, 4.4]
[100.0, 8.8, 4.5, 2.2]
[100.0, 10.8, 6.8, 4.4]
[100.0, 11.7, 4.6, 8.4]
[84.0, 9.5, 4.4, 8.2]
[2.1, 1.0, 2.9, 2.0]
[40.8, 3.0, 1.1, 1.1]
[100.0, 8.2, 3.6, 6.7]
[100.0, 10.7, 5.8, 5.6]
[100.0, 7.2, 3.5, 6.7]
[100.0, 15.0, 4.6, 3.4]
[62.6, 8.7, 3.3, 7.3]
[2.0, 1.0, 2.0, 2.0]
[61.0, 5.2, 2.2, 5.3]
[100.0, 11.5, 7.6, 7.7]
[100.0, 10.4, 3.4, 5.5]
[100.0, 9.5, 3.3, 3.4]
[100.0, 5.6, 1.1, 5.6]
[42.4, 7.8, 2.1, 1.1]
[1.0, 0.0, 2.0, 2.0]
[80.4, 11.6, 4.3, 3.4]
[100.0, 11.7, 4.4, 5.7]
[100.0, 15.6, 1.1, 7.7]
[100.0, 12.0, 3.4, 6.7]
[100.0, 12.8, 6.5, 3.4]
[20.0, 5.0, 2.0, 2.0]
[3.9, 0.0, 3.0, 4.0]
[100.0, 9.0, 3.4, 4.3]
[100.0, 9.1, 4.4, 2.2]
[100.0, 12.1, 4.5, 6.4]
[100.0, 13.7, 3.3, 4.3]
[98.0, 8.9, 6.5, 3.2]
[3.9, 3.0, 2.0, 0.0]
[24.2, 0.0, 1.0, 1.0]
[100.0, 9.6, 3.4, 6.7]
[100.0, 15.2, 4.5, 9.8]
[100.0, 10.3, 2.2, 3.4]
[100.0, 6.7, 8.6, 8.8]
