ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      432.0   562.8    86.8   187.2   244.9   381.7   450.0   491.2   521.2   556.6   610.4   693.4   904.2  7777.0 24900.4   4960.4     5000  1620069435979  1620069441344
read      527.6   637.9    80.4   156.3   198.7   465.9   608.3   688.7   728.4   773.8   837.6   954.0  1190.6  7481.8 30912.2  10014.6    10000  1620069442850  1620069448168
read      586.8   579.2    80.4   145.1   180.9   471.5   676.4   800.9   895.6  1004.1  1126.7  1253.2  1534.8  7672.1 25503.7  14988.6    15000  1620069449672  1620069454962
read      588.3   489.2    74.4   143.0   177.4   449.8   666.4   834.8   946.2  1085.2  1199.0  1336.0  1607.8  3218.9 14516.5  19966.0    20000  1620069456466  1620069461785
read      580.7   532.3    74.4   141.5   171.0   413.8   626.7   814.8   960.5  1113.3  1240.0  1395.9  1720.8  4382.7 15910.0  24988.6    25000  1620069463291  1620069468590
read      596.9   579.0    74.4   140.0   169.2   401.1   585.6   781.1  1002.5  1201.6  1358.4  1558.6  1926.6  5219.4 15066.5  29979.8    30000  1620069470095  1620069475388
read      599.6   652.9    74.4   136.7   163.8   401.6   574.2   741.7   953.1  1206.4  1405.6  1649.4  2095.3  4206.0 19381.0  34936.8    35000  1620069476893  1620069482188
read      576.9   632.0    74.4   135.0   159.6   366.9   520.1   675.0   878.9  1163.4  1397.4  1684.7  2181.6  6307.5 16285.5  39906.0    40000  1620069483693  1620069488991
read      553.6   591.2    68.9   133.0   157.4   351.1   484.0   623.8   800.5  1122.9  1378.2  1685.9  2179.8  3602.0 18560.2  44969.0    45000  1620069490495  1620069495787
read      551.3   577.7    68.9   132.9   156.7   342.6   467.2   579.4   730.7  1106.0  1429.5  1791.7  2346.8  3371.0 13973.3  49913.0    50000  1620069497292  1620069502579
read      613.6  1043.0    68.9   135.2   161.7   360.5   470.6   553.5   641.9   854.1  1511.7  2099.8  3479.7 10056.8 32208.6  54933.4    55000  1620069504083  1620069509367
read      621.8  1032.3    68.9   140.5   167.8   359.1   467.3   549.4   637.4   846.1  1497.4  2168.9  3896.3  9845.6 31865.9  60071.2    60000  1620069510873  1620069516162
read      782.2  1087.4    68.9   167.7   211.0   434.0   631.5   915.6  1398.4  1620.8  1839.8  2173.1  3204.0 10799.9 35679.0  64065.6    65000  1620069517667  1620069522955
read      950.6  1086.8    74.4   247.3   287.5   534.7  1129.5  1551.6  1674.3  1794.5  1946.1  2195.0  3162.3 12070.4 31712.4  66283.6    70000  1620069524461  1620069529748
read     1082.0  1329.1    86.8   314.5   345.2   633.6  1504.2  1669.3  1779.2  1893.9  2036.7  2318.2  3192.6 16951.1 34598.3  62057.8    75000  1620069531252  1620069536551
read     1062.2  1291.9    74.4   307.3   335.6   626.1  1462.3  1649.3  1763.2  1882.1  2030.7  2342.4  3199.3 13391.1 36585.3  63075.8    80000  1620069538055  1620069543357
read     1037.7  1312.1    74.4   305.8   333.7   601.9  1443.6  1621.7  1733.4  1844.3  1980.0  2202.6  3100.2 19724.1 32448.4  64597.4    85000  1620069544860  1620069550145
read     1044.3  1313.3    80.4   299.5   327.1   618.5  1444.7  1629.3  1737.4  1849.4  1986.3  2220.2  3129.7 17040.1 33930.9  64268.7    90000  1620069551649  1620069556934
read      974.9  1206.0    80.4   277.5   303.8   558.4  1378.8  1575.3  1684.4  1790.6  1922.6  2151.4  2982.2 13387.2 32439.3  68444.2    95000  1620069558437  1620069563726
read     1064.5  1375.5    74.4   312.9   341.0   618.6  1472.6  1647.4  1755.9  1867.8  2007.6  2267.3  3144.8 22049.7 32511.1  63197.4   100000  1620069565230  1620069570505
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 80.43%,22.22%,100.00%
