ubuntu@client-measure-gzb1:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.206 -a 10.156.15.205 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (43932, 43623, 73054, 44286, 5259, 94419, 92351, 9177, 8942, 48040, 28517, 46572, 56940, 60508, 78399, 90882, 19490, 48113, 19791, 70043, 75178, 17027, 78035, 59568, 56655, 25360, 91196, 71342, 49426, 37329, 40967, 88114, 63933, 70427, 67102, 46070, 66909, 28301, 29563, 44040, 65045, 57820, 42878, 97069, 73920, 61867, 27591, 59742, 46096, 25502, 10505, 90839, 63800, 26969, 54154, 75004, 29519, 77727, 99771, 83743, 29494, 34472, 88177, 67122, 87955, 52813, 65459, 72106, 61280, 50243, 82484, 64777, 99294, 36022, 10125, 70040, 19494, 17360, 74408, 81701, 11891, 18479, 70451, 84879, 31648, 29190, 54829, 30017, 80488, 57133, 86549, 67239, 62299, 73441, 88323, 55250, 70545, 48776, 38150, 66712, 46882, 40673, 90044, 93469, 83353, 38346, 25960, 17363, 28919, 58805, 62854, 95009, 35696, 45643, 25588, 28793, 30522, 17990, 15966, 12795, 99586, 98562, 88671, 14954, 11676, 23016, 29243, 82864, 83607, 31445, 37337, 80420, 41028, 76552, 26531, 13008, 71294, 92192, 11410, 18756, 68280, 85441, 71143, 22680, 79306, 43643, 43318, 87227, 68654, 6744, 58676, 73085, 77222, 64012, 79515, 29783, 40666, 65531, 56981, 83402, 93239, 25415, 64903, 33516, 85920, 52948, 44078, 23922, 46817, 85466, 17293, 85319, 17128, 58529, 69184, 77573, 77541, 22592, 29605, 96651)
Average QPS expected = 54385
Timestamp start: 1621277880388
Timestamp end: 1621279680788

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      482.5   561.3    68.9   115.6   133.5   298.4   400.0   490.5   589.8   983.2  1320.4  1583.7  1979.0  4796.8 13485.4  43834.4    43932
read      729.7  1656.4    68.9   113.3   132.3   329.5   466.1   598.4  1039.2  1461.3  1691.4  2146.5  5798.4 31017.3 37990.4  43643.5    43623
read      848.3  1384.2    68.9   221.8   287.9   546.2   792.7   947.9  1101.4  1341.7  1663.3  2156.5  3946.1 30237.6 36578.9  73090.8    73054
read      474.7   576.5    68.9   111.5   128.4   295.8   399.1   474.1   546.7   687.2  1380.7  1674.2  2065.3  4024.9 15324.1  44270.2    44286
read      389.2  1063.7    74.4   146.2   188.8   301.4   350.7   380.0   400.4   425.8   458.7   517.4  2121.1 11800.4 32283.7   5294.2     5259
read      411.7   462.5    68.9   126.0   151.2   328.1   410.3   467.0   511.7   569.7   651.3   852.3  1981.6  3942.2 12713.5  94325.7    94419
read      379.5   429.3    68.9   125.5   149.2   315.3   399.0   452.3   492.9   542.5   609.1   725.7  1770.4  4239.3 12901.1  92338.8    92351
read      409.9   549.4    80.4   132.3   160.5   349.3   441.0   493.7   529.7   570.8   622.1   703.9  1374.6  6059.2 29265.0   9191.8     9177
read      418.2   628.3    80.4   134.7   163.7   356.3   450.2   501.6   537.5   578.1   629.6   716.4  1225.0  7498.4 36520.4   9015.4     8942
read      480.2   607.7    68.9   112.0   129.4   294.1   400.0   478.1   550.3   684.6  1386.8  1738.4  2168.2  4674.4 18546.9  47982.7    48040
read      491.1   621.7    68.9   113.8   132.2   319.4   473.4   638.5   824.5   970.9  1087.0  1234.1  1599.8  6972.5 21094.9  28538.5    28517
read      499.3   728.0    68.9   111.3   128.6   297.3   404.7   483.0   558.7   700.3  1455.6  1772.1  2264.7  6849.5 25251.3  46560.9    46572
