ubuntu@client-measure-7lrh:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.212 -a 10.156.15.209 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (75640, 86937, 29545, 37483, 55858, 27852, 80492, 19952, 32463, 59135, 91129, 96482, 90033, 13991, 65918, 98453, 56879, 84722, 44262, 89414, 52412, 55888, 57192, 33149, 89855, 61857, 46697, 63485, 57182, 50885, 53302, 17783, 44321, 21727, 27659, 59600, 34031, 91681, 63213, 45779, 14596, 73477, 23010, 26450, 79659, 82427, 51091, 99853, 34550, 66554, 38803, 9719, 86930, 10039, 62171, 7514, 91423, 91519, 91452, 13443, 66882, 52978, 72842, 89611, 37057, 20311, 65484, 12604, 33640, 72460, 34828, 81471, 39502, 79759, 51664, 39898, 87200, 82390, 90063, 34673, 41610, 71073, 88097, 65208, 37546, 65832, 72202, 56566, 56675, 85261, 92358, 43607, 5771, 49834, 62369, 7423, 75579, 11081, 87049, 18586, 57932, 15636, 65643, 33608, 6626, 69086, 47630, 60863, 65448, 83604, 75032, 27730, 21589, 81508, 84153, 77296, 86228, 85269, 25209, 22513, 24869, 98591, 93458, 96738, 24676, 95669, 13032, 10544, 91115, 42584, 7684, 86550, 81368, 25493, 51394, 62525, 71953, 59279, 47716, 82443, 35323, 43947, 11220, 39626, 77743, 80866, 31833, 15773, 98283, 56341, 63328, 82144, 46174, 11171, 76344, 33636, 96191, 52141, 75831, 56062, 35195, 73447, 82102, 93359, 52409, 8651, 95605, 70570, 85781, 90112, 96374, 87762, 31012, 79324, 49533, 28520, 89722, 95029, 87874, 19919)
Average QPS expected = 56970
Timestamp start: 1621679067341
Timestamp end: 1621680867752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      436.9   874.7    74.4   129.8   153.3   336.7   423.0   475.8   518.0   572.6   647.7   788.8  2582.8 12554.2 32165.9  75567.1    75640
read      390.0   415.5    68.9   129.8   154.0   331.1   415.8   467.0   507.0   558.2   628.4   744.0  1682.2  3890.1 11541.6  86885.0    86937
read      520.6   607.9    74.4   123.7   145.0   347.0   506.3   650.7   840.9  1015.0  1156.6  1321.1  1834.1  6752.8 23605.6  29509.3    29545
read      528.3   659.8    74.4   122.5   143.0   337.9   466.1   592.3   787.4  1090.8  1278.2  1485.4  1972.9  6330.2 28592.9  37505.9    37483
read      505.7   701.4    68.9   125.1   148.1   336.7   436.6   509.2   576.2   686.2  1099.8  1749.8  2449.5  6638.4 27434.3  55832.3    55858
read      516.1   601.5    74.4   122.0   142.6   341.0   497.7   655.9   860.1  1031.2  1152.1  1294.1  1716.1  6182.1 18538.5  27873.9    27852
read      414.0   475.8    68.9   128.5   152.8   337.5   424.1   477.5   520.4   575.8   653.2   799.7  2306.1  4652.5 13347.9  80382.0    80492
read      537.3   971.3    74.4   127.3   150.8   376.6   549.8   692.3   784.6   880.2   970.5  1105.6  2233.7 12494.6 36684.2  19901.1    19952
read      582.8  1041.4    74.4   127.2   149.2   354.5   515.1   683.1   908.7  1078.1  1225.2  1424.2  2385.5 15290.3 32167.2  32375.0    32463
read      479.1   591.4    68.9   127.9   150.9   337.5   433.2   499.7   558.8   649.7   867.9  1634.6  2347.9  5367.8 18400.7  59103.4    59135
read      392.4   456.3    68.9   131.8   156.7   332.8   416.0   467.0   507.0   557.6   627.5   741.7  1613.1  4308.6 17537.1  91213.3    91129
read      386.5   343.1    68.9   134.0   160.4   333.9   415.6   466.6   506.3   556.2   624.7   735.3  1300.8  3853.4  8811.0  96470.8    96482
read      392.0   461.8    68.9   129.6   154.5   331.0   413.4   466.0   505.9   555.8   625.6   739.0  1711.8  4195.3 13842.0  89969.1    90033
read      586.8  1539.1    74.4   127.1   152.0   396.0   529.2   604.7   657.2   716.1   791.1   939.4  4822.5 30175.4 37510.5  13939.5    13991
read      462.8   617.4    68.9   128.2   151.5   341.3   434.2   496.1   548.2   620.4   738.5  1499.3  2315.0  5424.7 24909.7  65901.4    65918
read      387.0   357.2    68.9   135.5   162.1   335.8   415.9   466.5   506.0   556.1   625.3   737.4  1218.0  3588.4 10195.7  98585.4    98453
read      490.4   570.1    74.4   127.9   150.4   335.3   438.5   515.2   585.2   699.4  1046.9  1647.2  2343.7  4199.5 17581.5  56903.6    56879
read      393.4   446.5    63.8   127.6   151.9   331.1   414.3   466.4   506.7   559.1   630.6   747.2  1882.8  4308.0 13482.8  84964.4    84722
read      528.8   676.0    68.9   120.8   142.0   333.0   443.1   544.2   661.8  1028.0  1355.5  1643.7  2212.9  6458.5 24793.7  44359.7    44262
read      394.5   346.2    68.9   133.4   158.2   337.5   424.1   476.6   518.8   573.5   651.0   788.8  1625.3  2931.8 11060.8  89562.0    89414
read      501.4   587.6    74.4   124.9   146.7   328.3   427.6   502.7   575.3   710.0  1287.1  1772.0  2346.9  4168.1 14746.3  52426.7    52412
read      488.6   609.8    74.4   123.3   145.6   328.7   425.8   493.0   551.5   642.9   978.3  1782.6  2477.6  4795.4 15155.0  55925.3    55888
read      479.4   549.2    74.4   127.0   149.9   338.4   437.8   506.9   568.4   659.6   889.1  1638.7  2372.4  3797.6 14824.0  57239.7    57192
read      525.5   646.0    74.4   122.6   143.7   343.8   494.5   639.9   846.8  1051.0  1203.6  1382.3  1829.2  6494.6 29462.8  33169.6    33149
read      387.9   319.2    68.9   131.1   155.9   335.4   419.1   470.9   513.1   568.0   641.3   769.8  1551.9  2900.4 10183.5  89915.2    89855
read      593.2  1423.8    68.9   130.1   155.2   360.7   465.4   540.8   612.2   727.8  1025.0  1716.7  4053.0 23169.9 51800.7  61856.4    61857
read      529.9   991.7    68.9   121.5   143.6   343.0   439.8   517.0   596.1   754.5  1316.5  1734.2  2287.6  7837.7 34060.9  46550.4    46697
read      471.3   568.9    68.9   128.9   153.0   341.1   437.0   502.7   559.2   636.9   800.0  1512.1  2458.5  4749.6 15910.1  63586.0    63485
read      506.4   688.3    68.9   128.4   152.3   350.0   452.5   522.7   587.8   688.7  1005.3  1653.3  2494.5  6575.0 30189.6  57236.3    57182
read      542.1   898.2    74.4   120.7   142.3   333.3   433.4   512.2   590.8   764.6  1429.3  1844.3  2481.7 11005.4 31110.8  50827.5    50885
read      539.7   947.0    74.4   121.6   144.3   335.1   434.5   509.5   581.3   709.5  1356.8  1864.4  2559.1 11705.5 31884.9  53290.7    53302
read      554.9  1185.9    74.4   123.2   146.9   372.5   540.4   671.0   750.8   829.8   921.7  1071.0  3336.1 15601.6 36557.5  17850.5    17783
read      536.0   851.4    74.4   120.0   140.9   330.4   433.2   522.1   613.8   930.7  1420.0  1720.8  2210.5 10932.3 31323.5  44402.9    44321
read      566.3  1132.4    74.4   121.1   144.0   357.4   535.9   705.7   819.0   919.1  1024.3  1175.3  3002.8 14803.9 35734.1  21755.1    21727
read      567.1   995.4    74.4   122.4   144.4   352.3   527.1   705.3   880.1  1023.3  1151.2  1320.4  2594.1 13470.6 32360.9  27626.8    27659
read      516.9   751.4    68.9   128.5   153.1   356.7   456.2   526.4   590.7   687.8   980.2  1678.9  2636.0  7343.9 30566.2  59512.1    59600
read      562.9   946.4    74.4   122.3   143.3   345.2   494.0   642.0   864.1  1073.5  1237.9  1442.6  2373.3 12897.8 32362.8  34088.0    34031
read      398.8   377.1    68.9   133.4   159.5   342.2   428.1   480.1   521.9   576.2   653.7   791.6  1609.0  3195.1 12680.8  91792.3    91681
read      471.1   631.6    68.9   128.7   152.6   353.1   448.1   507.3   557.6   627.3   739.4  1374.2  2518.0  7181.4 26645.2  63199.8    63213
read      523.8   742.3    74.4   119.0   139.8   328.3   428.7   511.2   591.5   799.6  1446.3  1785.4  2300.5  6333.9 29583.1  45715.3    45779
read      602.3  1539.0    74.4   129.4   153.9   390.3   552.4   652.7   713.5   777.8   858.3  1023.8  4430.7 30654.1 36932.5  14501.6    14596
read      473.2   680.0    68.9   134.4   161.2   364.1   455.1   514.1   563.7   629.6   726.9  1055.0  2704.4  7087.3 31073.7  73576.2    73477
read      549.7  1029.6    74.4   122.0   144.9   357.4   525.4   696.5   828.1   937.3  1049.8  1202.5  2453.8 15609.9 32109.6  23036.6    23010
read      533.7   776.0    74.4   121.4   142.5   349.8   508.7   667.5   852.8  1002.0  1133.9  1298.2  1889.0 11099.7 31139.0  26523.8    26450
read      452.7   645.6    74.4   134.6   162.1   360.9   449.5   505.2   550.0   609.8   692.4   870.2  2610.4  6847.4 30881.4  79733.9    79659
read      432.1   596.2    74.4   133.6   160.6   355.2   439.9   492.9   535.1   589.4   668.6   807.1  2389.8  6308.7 30559.3  82325.9    82427
read      525.6   733.4    74.4   123.9   146.3   340.8   446.4   528.5   606.4   763.6  1317.0  1782.3  2418.7  6628.8 30099.1  51128.8    51091
read      400.2   340.3    68.9   138.6   166.4   348.5   433.4   484.2   523.8   575.7   652.7   792.8  1461.8  2977.9 10741.8  99948.5    99853
read      513.8   627.6    74.4   118.6   139.3   336.4   455.6   572.5   726.4  1046.0  1254.4  1449.9  1865.5  6172.9 21879.3  34624.8    34550
read      441.7   598.7    68.9   127.2   150.6   344.6   435.9   491.6   536.7   596.3   683.0   941.0  2482.6  5771.6 27977.3  66541.1    66554
read      638.6  1235.8    68.9   122.7   144.6   353.6   480.5   612.7   832.9  1205.0  1457.0  1816.2  4079.3 16606.7 36049.5  38827.8    38803
read      624.3  2001.0    74.4   126.4   153.7   355.8   466.2   530.7   575.7   625.3   689.2   858.5  7632.1 31594.3 37785.2   9719.8     9719
read      396.9   394.7    68.9   132.3   157.8   340.4   427.4   480.1   521.9   574.8   648.8   784.0  1577.3  3517.7 12860.7  86979.7    86930
read      591.9  1755.1    80.4   127.1   153.3   359.4   470.1   539.1   586.8   635.6   702.2   867.0  6224.0 31257.3 38600.1  10031.4    10039
read      491.0   715.6    68.9   128.6   153.5   352.0   447.1   508.8   566.0   643.3   796.9  1566.2  2622.0  6673.1 31190.0  62058.7    62171
read      657.0  2422.3    74.4   133.2   171.4   337.0   422.3   471.4   506.5   550.1   620.8   828.7  8011.3 36479.9 55322.5   7506.6     7514
read      392.8   395.3    68.9   131.4   157.1   339.5   424.1   476.0   517.2   569.7   642.4   774.9  1450.9  3173.9 15473.9  91342.3    91423
read      430.9   598.2    74.4   137.8   168.0   363.5   444.4   494.8   536.0   590.5   670.0   802.4  1846.2  7079.6 30057.5  91722.5    91519
read      424.2   569.6    68.9   137.8   166.8   361.5   444.7   495.0   535.5   588.6   666.3   796.4  1596.6  6129.5 29460.0  91397.0    91452
read      570.8  1514.1    74.4   124.6   147.9   375.2   509.4   605.9   663.5   721.4   794.9   935.4  4269.0 30269.0 35502.1  13394.7    13443
read      501.7   713.6    74.4   128.0   154.2   364.1   455.4   517.1   575.0   654.3   796.0  1602.5  2701.1  7278.3 30571.0  66699.0    66882
read      527.5   759.9    68.9   121.8   144.7   337.3   438.5   518.4   595.0   756.9  1353.2  1803.9  2448.5  7500.2 30695.7  52984.2    52978
read      443.7   666.4    74.4   127.9   152.2   349.1   436.4   490.4   534.3   592.5   676.6   858.3  2615.6  6784.5 30842.7  72952.6    72842
read      435.5   600.8    68.9   137.8   167.5   365.5   448.4   499.5   540.9   596.1   677.7   815.9  1938.9  6639.9 29286.7  89684.1    89611
read      548.3   768.6    74.4   124.0   145.4   348.3   481.6   609.4   781.4  1083.4  1314.2  1540.9  2070.4  8622.4 31259.3  37001.5    37057
read      520.4   750.6    74.4   124.0   147.4   373.1   546.4   704.2   793.1   873.4   963.1  1099.2  2155.9  9350.0 31515.4  20212.4    20311
read      466.9   646.7    74.4   127.8   151.5   350.5   443.9   501.5   549.3   618.4   721.3  1249.1  2667.6  6580.4 26584.1  65406.4    65484
read      555.1  1369.2    74.4   124.9   149.1   373.9   509.0   594.2   650.6   706.9   778.0   913.6  4453.0 28380.5 36697.8  12610.8    12604
read      545.4   768.1    74.4   121.1   142.0   345.7   486.1   627.0   842.0  1074.6  1255.7  1462.7  2056.2  8836.8 31139.3  33568.4    33640
read      454.3   684.4    68.9   127.7   152.4   351.7   440.8   496.7   542.7   605.2   693.7   937.5  2675.6  7011.9 30995.3  72383.5    72460
read      537.8   738.6    74.4   121.3   143.0   346.2   480.9   611.1   803.6  1077.8  1276.3  1477.5  1973.6  7401.2 30655.0  34827.2    34828
read      454.7   656.0    68.9   133.7   162.0   365.9   453.3   507.7   553.7   616.7   707.5   889.9  2475.7  7197.8 31058.9  81358.5    81471
read      551.2   898.0    74.4   123.1   144.4   341.2   456.7   561.5   688.5  1079.8  1366.3  1614.7  2212.3 11542.2 31807.1  39600.3    39502
read      460.0   662.2    68.9   135.0   163.0   365.0   452.8   507.5   554.2   619.6   714.2   923.8  2512.6  6770.4 31144.8  79813.0    79759
read      544.7   863.1    74.4   123.1   146.2   342.7   445.3   524.9   601.7   754.3  1413.5  1842.5  2541.4  9771.3 31473.9  51518.1    51664
read      533.1   798.3    74.4   118.9   139.4   332.4   440.7   539.5   653.4  1052.1  1378.3  1637.8  2150.9  9195.2 31300.2  39814.9    39898
read      434.8   556.4    68.9   134.6   162.8   360.5   447.2   500.4   543.8   602.9   690.2   857.7  1901.8  6394.2 28718.6  87267.7    87200
read      442.4   659.3    74.4   133.6   161.5   362.4   447.8   499.3   541.9   599.8   683.8   831.3  2345.0  7557.4 30734.4  82460.1    82390
read      401.2   484.5    68.9   132.3   159.0   344.9   431.6   482.5   523.1   574.9   646.9   775.2  1169.0  5550.3 19127.7  90307.6    90063
read      555.1   888.3    74.4   120.2   141.8   346.7   477.9   608.6   814.1  1086.5  1288.3  1491.4  2140.4 11844.7 32261.9  34662.3    34673
read      569.2   924.0    74.4   121.9   143.6   342.9   461.8   572.8   716.1  1122.9  1423.7  1700.0  2434.8 12525.5 31903.7  41604.3    41610
read      455.6   686.0    68.9   128.7   153.5   355.0   444.0   498.6   543.8   606.6   696.4   932.6  2579.2  7280.6 31124.0  71144.2    71073
read      469.2   629.6    74.4   142.1   175.5   385.9   471.6   526.5   572.8   636.3   732.9   911.3  2377.6  6858.6 30348.5  88149.3    88097
read      494.5   691.2    74.4   129.9   155.5   360.8   456.2   519.2   574.0   649.9   787.3  1524.6  2738.6  7065.6 30407.7  65168.0    65208
read      581.8   885.7    68.9   122.6   144.3   349.4   494.0   641.2   888.3  1143.6  1346.0  1590.0  2828.2 11262.5 31831.4  37419.2    37546
read      472.3   625.9    74.4   128.9   153.8   356.1   448.7   507.5   558.6   628.4   735.4  1365.7  2618.6  6012.0 29046.8  65971.1    65832
read      436.9   624.9    74.4   128.8   153.0   348.8   437.7   491.4   533.5   589.6   672.3   832.7  2614.6  6348.4 30285.9  72098.2    72202
