ubuntu@client-measure-lc9m:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.31 -a 10.156.0.30 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622162154459
Timestamp end: 1622163954843

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.2  1418.6    80.4   149.0   179.4   283.2   323.1   355.5   386.9   417.4   454.0   516.6  1897.2 29324.7 34253.0   5006.8     5031
read      507.0   950.9    68.9   119.4   143.5   358.1   461.3   528.6   586.0   668.7   800.5  1344.4  2949.4 12140.5 32276.3  54807.5    54838
read      517.8  1068.5    63.8   125.8   155.3   369.4   458.3   520.8   577.3   653.2   763.4  1079.3  3185.5 13013.3 32468.3  74995.8    74868
read      555.4  1093.9    68.9   114.9   135.4   348.9   508.3   630.4   765.8   966.3  1141.2  1337.4  2878.6 17096.7 32028.8  30068.0    30015
read      512.7   922.8    68.9   117.3   138.5   347.0   464.7   552.1   633.9   771.1  1094.5  1439.7  2048.6 11413.7 31983.8  40701.1    40743
read      539.0   887.8    68.9   115.7   136.5   366.2   571.5   723.5   853.2   967.7  1075.5  1218.8  1702.7  8839.1 31645.4  23673.5    23648
read      523.5  1038.8    68.9   150.9   195.4   402.1   479.1   534.4   582.2   653.1   751.3   902.5  3791.3 12772.0 32390.6  97642.0    97712
read      534.3  1022.4    63.8   117.1   139.7   338.9   447.0   529.6   606.5   733.8  1032.9  1616.1  3173.7 13851.9 32098.8  53716.2    53672
read      495.2   840.8    63.8   118.8   142.9   350.2   452.0   522.8   582.1   667.8   822.8  1466.6  2515.5  9460.9 31304.3  55381.3    55395
read      478.9   896.4    68.9   111.9   129.6   335.6   466.3   549.8   618.9   721.8   917.7  1187.2  2237.4  8842.4 31611.9  29477.5    29425
read      476.3  1195.0    68.9   116.2   136.4   342.6   451.0   525.7   582.3   656.8   754.5   908.1  2531.8 28252.9 32156.0  15183.0    15173
read      502.4   998.0    68.9   129.7   159.9   371.9   458.2   520.0   572.7   643.8   749.8   951.3  3339.2 12453.4 32178.6  82421.3    82475
read      488.7   884.9    63.8   135.9   169.1   386.1   469.8   527.5   575.3   640.6   744.5   922.1  2370.0  9882.3 32055.8  90583.2    90555
