ubuntu@client-measure-s921:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.3 -a 10.156.0.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (28975, 38481, 23638, 36454, 55424, 54016, 37812, 75728, 38526, 5380, 28098, 34711, 22898, 42210, 78967, 45502, 17600, 8533, 9923, 98338, 26615, 91059, 58807, 5962, 34581, 18368, 92050, 80981, 67742, 69753, 41519, 51609, 59200, 56785, 26776, 52732, 24193, 43644, 58406, 7879, 44257, 94953, 50390, 84467, 42008, 18679, 11365, 9665, 42961, 65249, 52117, 39440, 78371, 89669, 61416, 53619, 16604, 87404, 8488, 23150, 95653, 30112, 57057, 31998, 31527, 89270, 17782, 35727, 99420, 72244, 95743, 15889, 43104, 92225, 80025, 49884, 50125, 10326, 36425, 35339, 30186, 64761, 29062, 84576, 69600, 26008, 57626, 97817, 6977, 80881, 97335, 77101, 23507, 11815, 76008, 94950, 85308, 17945, 20947, 20977, 63311, 75142, 69326, 90269, 88042, 90019, 60663, 36804, 48060, 71972, 84229, 30181, 79468, 13828, 76448, 69248, 13442, 51982, 51337, 41428, 56488, 69792, 25812, 86944, 64959, 24142, 49124, 93575, 71581, 82678, 96376, 16402, 21669, 7998, 56582, 28344, 80423, 96815, 78184, 79364, 70210, 20019, 98827, 74443, 5643, 92102, 98608, 13557, 95982, 47764, 31892, 54676, 25104, 68273, 61800, 50073, 76828, 90303, 81404, 54772, 9768, 60566, 9700, 51454, 10429, 55213, 18567, 22271, 51997, 21622, 68864, 20482, 95889, 9430, 82230, 69827, 50147, 96315, 37901, 46815)
Average QPS expected = 52009
Timestamp start: 1622057525094
Timestamp end: 1622059325557

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      357.8   646.2    63.8   103.8   117.0   253.1   352.9   415.4   467.6   538.6   645.9   829.7  1587.5  8307.0 30113.8  29009.0    28975
read      461.2   981.2    63.8   102.7   117.9   278.3   374.1   452.4   526.9   683.1   958.9  1262.8  3459.2 13722.7 31767.9  38569.7    38481
read      401.7   800.3    63.8   101.5   116.2   266.1   367.6   453.4   542.3   664.1   783.9   934.3  1772.3  8445.9 31724.7  23614.7    23638
read      445.9   799.0    63.8   104.2   120.3   284.8   376.7   457.0   540.3   774.8  1016.9  1231.2  2125.4  7952.3 30172.7  36425.8    36454
read      459.4   634.2    63.8   103.2   120.5   281.9   369.5   442.2   530.5   823.2  1221.8  1510.3  2027.9  6039.2 21131.3  55449.6    55424
read      472.6   797.9    63.8   103.1   120.3   279.4   365.9   434.6   508.5   745.6  1215.8  1581.1  2546.1  7800.2 30851.2  54053.9    54016
read      419.5   745.6    63.8   102.3   117.2   269.2   358.3   425.4   487.2   609.1   911.5  1224.6  2161.6  7713.6 30907.5  37882.4    37812
read      561.7  1157.9    63.8   118.5   146.1   315.2   396.7   466.1   538.9   652.9  1167.0  1922.4  4607.4 13855.3 35525.9  75754.2    75728
read      440.9   937.3    63.8   102.2   117.2   262.8   350.8   413.9   471.2   569.3   836.7  1232.8  2892.4 11059.1 32214.3  38589.8    38526
read      360.4  1270.8    74.4   122.5   146.5   239.8   293.6   327.3   352.2   382.3   423.2   495.6  2565.4 28230.3 35884.3   5381.2     5380
read      385.5   683.1    63.8   105.3   120.3   272.0   367.3   434.8   496.4   590.0   722.5   922.0  1734.7  7092.3 31542.2  28119.7    28098
read      444.0   916.8    63.8   105.6   121.4   279.1   368.5   428.6   481.7   567.9   767.3  1106.8  3453.2 10161.5 32238.6  34742.0    34711
read      393.4   815.6    63.8   105.2   119.4   269.7   366.0   432.6   490.9   578.4   698.8   899.2  2652.7  7792.7 32030.2  22921.8    22898
read      442.3   900.1    63.8   104.4   119.3   268.9   361.0   423.6   478.1   570.2   813.1  1229.3  3894.3  9376.0 32192.1  42236.9    42210
read      657.3  1428.9    63.8   138.0   174.7   349.5   434.1   508.5   585.3   683.9   978.6  1919.0  6088.1 17364.5 35563.4  79041.8    78967
read      460.1   902.1    63.8   105.8   121.6   280.4   374.0   445.0   511.7   632.3   957.0  1355.2  3630.7  8580.4 31891.1  45557.1    45502
