ubuntu@client-measure-s921:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.3 -a 10.156.0.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (33563, 8802, 74514, 69529, 78328, 39904, 92882, 17893, 94843, 88470, 61392, 30903, 49502, 78936, 94747, 6283, 7344, 83874, 56990, 48867, 50630, 32338, 40447, 93307, 25674, 55727, 7244, 12375, 73850, 17481, 13816, 71436, 19817, 42177, 98676, 14510, 48160, 42787, 97236, 31788, 5154, 43497, 58100, 89333, 19416, 48931, 87912, 88077, 99391, 63721, 28604, 82585, 40919, 49285, 52499, 8921, 75435, 60392, 40070, 22129, 29196, 61758, 8969, 27745, 82204, 98530, 24750, 9147, 66009, 98096, 47506, 76892, 32557, 9766, 24889, 62318, 8267, 15119, 32641, 9097, 89271, 24745, 21608, 27582, 96801, 35432, 68405, 97525, 51190, 43053, 87788, 97338, 42089, 35519, 13280, 93669, 30779, 58892, 93460, 39917, 23876, 34459, 62328, 79775, 36967, 35860, 47459, 47372, 7168, 60235, 61690, 99993, 16486, 8813, 68971, 6959, 66927, 37043, 69768, 94229, 32698, 14982, 92233, 20951, 88825, 34015, 96997, 9083, 40643, 69687, 68566, 34684, 47990, 28305, 89174, 10556, 7082, 48166, 44299, 39675, 41711, 56364, 79981, 78634, 58309, 87196, 25110, 63786, 75790, 38740, 91055, 92008, 48478, 65934, 69897, 78223, 70860, 30164, 77911, 60847, 88832, 51963, 17998, 58077, 84235, 44660, 23715, 95652, 19191, 54488, 95559, 64480, 62177, 10891, 36552, 83748, 24208, 22660, 27431, 25274)
Average QPS expected = 51183
Timestamp start: 1622063513238
Timestamp end: 1622065313774

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      375.5   648.6    63.8   107.5   123.3   286.1   393.9   451.4   491.0   537.1   604.8   807.2  1601.5  6356.0 31312.7  33577.7    33563
read      374.7   709.4    80.4   128.9   156.2   286.7   364.1   417.0   444.7   473.6   520.2   607.0  2993.0  7900.0 31275.3   8776.0     8802
read      453.2   857.9    68.9   118.0   140.6   325.7   412.4   466.9   513.9   575.7   666.2   958.7  3098.7 10826.1 32073.8  74592.7    74514
read      571.3  1144.8    68.9   119.5   143.5   315.8   405.1   479.0   551.3   676.7  1281.9  1924.4  3752.4 11804.5 32441.7  69527.2    69529
read      712.3  1714.7    68.9   150.9   191.7   358.7   446.6   528.7   598.3   682.7   928.3  2526.0  7424.2 30078.1 37804.6  78417.4    78328
read      446.8   987.0    68.9   106.5   121.7   292.0   383.9   448.3   503.0   581.4   773.9  1174.0  3336.7 11303.3 36143.7  39792.2    39904
read      424.3   721.7    63.8   122.1   149.0   337.5   411.3   458.7   499.8   558.7   640.3   781.4  2238.3  9202.4 31008.0  92899.8    92882
read     1326.9  3125.4    68.9   135.6   172.4   515.0   860.6  1225.0  1595.4  2013.7  2774.0  4070.7 14108.3 37241.6 51012.8  17880.2    17893
read      850.2  1347.1    93.8   346.0   366.4   471.3   761.9   870.5  1028.3  1447.7  1719.5  2032.4  4386.3 25515.2 36514.7  94998.5    94843
read      586.9  1078.7    68.9   248.7   293.9   425.5   479.0   545.0   633.6   728.2   817.3   920.0  4631.7 12440.0 35032.8  88466.7    88470
read      548.6  1195.7    68.9   115.7   136.0   310.1   400.6   472.6   536.9   637.0  1019.1  1811.0  3848.6 13388.3 35643.9  61419.7    61392
read      390.4   882.3    68.9   105.8   120.8   275.6   369.8   447.3   496.7   546.4   632.3   866.3  2126.4  9116.9 36604.1  30909.9    30903
