./mcperf -s 10.156.15.221 --loadonly && ./mcperf -s 10.156.15.221 -a 10.156.15.223 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1621789363970
Timestamp end: 1621791164376

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      277.4   417.4    74.4   147.3   175.3   251.1   277.6   292.9   304.6   318.4   339.0   372.2   502.9  6663.3 15636.0   5052.5     5031
read      347.9   245.0    63.8   114.3   136.6   320.4   400.1   445.5   478.9   520.0   572.3   648.0   868.8  2082.5  7520.9  54769.3    54838
read      425.7   657.3    63.8   117.7   142.2   336.4   420.5   471.9   515.6   574.7   662.4   851.8  2257.2  7621.8 30389.9  74839.4    74868
read      405.4   695.6    63.8   112.9   132.7   318.8   393.7   443.3   484.0   535.2   607.8   843.5  2195.3  7234.9 31126.9  29919.5    30015
read      444.8   947.8    63.8   109.4   127.3   300.7   387.1   441.0   487.2   549.2   666.2  1101.6  2782.6 12783.0 33689.6  40760.5    40743
read      385.5   667.8    68.9   106.4   121.6   273.7   361.9   423.8   477.3   560.7   701.5   916.2  2226.0  7925.0 30699.5  23663.0    23648
read      438.8   724.3    63.8   131.4   163.5   355.9   427.2   470.8   509.6   571.0   661.5   804.9  2369.4  9237.6 31110.3  97862.4    97712
read      540.1   941.9    63.8   117.0   138.4   320.3   418.0   492.7   572.0   762.5  1299.2  1811.4  3040.1 10194.9 32163.0  53696.0    53672
read      479.2   817.2    63.8   111.2   130.5   296.3   385.1   445.8   502.6   592.5   980.8  1645.4  2766.6  7656.5 31496.5  55407.3    55395
read      399.6   736.4    63.8   103.9   119.3   273.0   359.8   418.0   465.7   530.6   660.7   945.5  2634.4  9193.2 30624.3  29389.7    29425
read      348.6   698.9    68.9   107.4   124.0   269.4   343.9   393.7   434.4   493.5   576.2   703.8  1197.7  7304.7 32371.8  15139.2    15173
read      482.9   940.0    63.8   121.8   151.0   348.4   417.8   467.0   517.0   594.1   702.9  1115.1  2906.0 12224.1 32121.6  82404.5    82475
read      487.9  1058.4    59.1   126.8   159.9   359.7   427.0   471.0   517.0   591.1   691.6   854.2  3191.6 13111.0 34565.9  90583.7    90555
