ubuntu@client-measure-4brn:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.231 -a 10.156.15.230 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (48062, 15472, 66738, 9015, 46761, 97827, 78388, 93237, 78827, 56131, 51936, 45094, 8629, 10073, 59188, 45544, 70109, 37633, 16658, 52048, 23330, 75902, 21482, 87126, 77182, 64867, 12279, 75260, 65924, 91370, 64515, 67444, 88040, 57140, 98571, 49407, 94723, 75084, 48581, 95456, 41678, 62559, 65060, 25369, 52206, 24658, 72359, 34445, 23944, 48343, 81504, 26134, 87404, 97316, 40636, 41594, 80911, 35186, 21270, 46094, 88504, 56303, 90015, 86570, 42676, 33031, 89508, 27973, 21047, 88662, 54014, 10487, 74425, 86447, 63109, 9480, 58453, 33382, 15766, 65390, 48929, 45973, 51126, 12158, 48455, 53683, 45257, 83521, 14670, 79692, 70408, 34139, 90749, 78039, 18338, 76364, 86516, 86777, 7205, 29022, 76070, 91596, 64739, 44391, 72399, 43377, 37209, 5987, 76358, 77738, 95049, 41857, 35980, 64838, 81690, 22891, 19850, 23658, 90906, 52744, 42298, 46712, 26377, 83500, 39645, 96794, 16848, 8241, 44488, 88745, 19058, 17673, 15170, 30099, 28486, 86469, 49789, 61094, 51004, 48085, 23424, 51481, 84055, 59590, 55196, 9597, 28273, 27798, 28865, 7929, 24384, 30475, 80948, 88869, 11307, 89536, 8640, 94675, 22176, 68688, 92209, 93689, 81855, 38963, 39165, 23014, 92021, 72336, 41247, 49114, 18564, 68159, 40291, 42868, 20373, 64358, 95326, 40472, 39909, 73439)
Average QPS expected = 52939
Timestamp start: 1621968344862
Timestamp end: 1621970145426

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      532.4  1175.4    63.8   101.8   120.6   301.6   394.8   461.5   524.5   642.0   981.9  1544.5  4301.4 14318.9 32522.8  48082.1    48062
read      354.1   682.8    63.8   100.0   115.2   250.3   342.1   409.0   463.0   529.8   617.6   759.9  1534.6  8333.4 31314.9  15545.6    15472
read      701.2  1327.8    63.8   130.0   168.9   389.4   500.4   590.1   687.5   925.4  1512.6  2036.9  5488.7 13681.0 35145.2  66749.3    66738
read      333.0   725.7    68.9   109.2   130.5   243.0   319.1   368.8   405.6   452.6   511.2   612.7  1790.9  8399.9 35401.8   9019.0     9015
read      485.1   943.2    63.8   102.0   120.3   296.5   390.6   457.6   520.8   641.9   970.1  1454.4  4224.0 11999.7 32160.3  46690.3    46761
read      539.8  1132.3    63.8   142.6   195.1   414.4   488.8   536.8   580.9   648.6   758.1   934.1  4252.3 13861.5 32435.6  97922.6    97827
read      503.6  1140.0    59.1   114.0   144.0   357.2   433.7   485.2   531.1   596.6   704.5   967.0  4147.2 13193.3 35294.3  78367.8    78388
read      446.5   713.1    59.1   119.6   152.9   372.5   459.1   513.2   556.2   610.3   688.9   862.5  1758.2  8864.2 31580.8  93384.1    93237
read      545.0  1313.2    59.1   119.3   153.4   382.3   469.2   523.7   565.8   627.1   730.6   979.4  4732.2 17993.6 36318.6  78930.0    78827
read      508.3   927.3    63.8   105.5   127.4   323.0   422.7   494.2   564.8   697.5  1103.4  1594.8  3240.3  6978.4 32283.4  55996.5    56131
read      561.5  1015.1    63.8   105.2   127.8   336.5   453.2   547.5   673.8   986.0  1376.7  1710.4  2960.3  9074.0 32837.8  52035.9    51936
read      567.5  1014.8    63.8   105.0   127.9   345.0   469.0   572.4   715.5  1005.8  1336.2  1664.6  3086.1  8528.0 32439.2  45072.5    45094
read      305.1   631.5    68.9   113.1   133.6   235.7   295.6   336.0   367.3   405.0   462.3   564.8  1177.6  5770.0 31367.9   8719.4     8629
read      311.6   617.4    68.9   111.6   131.1   238.5   302.1   344.8   379.5   421.4   474.7   593.5  1221.8  6707.9 30790.9  10036.2    10073
read      488.0  1053.2    63.8   106.9   129.8   335.1   423.9   479.7   531.4   613.4   755.2  1370.2  2750.1 12938.7 32466.4  59233.5    59188
read      513.2   751.2    63.8   103.2   123.7   329.5   430.6   523.9   655.9   934.9  1264.0  1559.4  2197.5  7230.8 31140.5  45549.1    45544
read      492.5   918.4    59.1   111.6   138.2   353.9   441.8   501.8   552.1   634.5   779.4  1369.7  2773.7 10103.4 32327.0  70162.2    70109
read      517.9   575.2    63.8   103.5   124.6   339.0   458.4   595.1   839.3  1063.6  1249.4  1458.5  1890.8  5074.7 15353.8  37645.5    37633
read      394.8   896.4    63.8   102.0   118.6   269.8   361.2   436.1   507.7   594.3   712.7   853.8  1829.8 11242.3 38155.6  16699.1    16658
read      495.8   787.4    63.8   104.2   125.5   327.0   427.9   502.1   581.8   767.0  1107.3  1555.4  2318.2  8391.3 31627.1  52024.3    52048
read      478.5  1809.6    63.8   102.0   118.7   294.6   406.0   490.9   566.2   677.7   828.2  1044.7  2731.2 15039.3 78584.1  23404.6    23330
read      573.1  1247.4    63.8   121.9   158.5   379.3   468.7   530.8   583.3   667.1   836.4  1500.2  5050.0 13740.3 36080.6  75905.1    75902
read      460.7  1089.1    63.8   101.7   118.2   292.3   400.1   484.4   562.2   658.3   807.2  1038.2  3442.4 13489.4 32345.0  21513.1    21482
read      545.3  1200.6    63.8   129.0   171.4   387.6   464.8   519.0   566.9   635.3   747.9   995.6  5015.1 14436.8 35828.2  87265.1    87126
read      546.4  1160.7    63.8   120.4   156.1   369.3   454.9   512.9   566.4   643.2   783.8  1395.7  5119.6 12501.8 32419.1  77288.0    77182
read      558.1  1100.9    63.8   113.0   140.1   343.8   437.5   507.4   579.6   716.3  1153.1  1667.2  4746.8 12010.3 34087.7  64793.7    64867
read      394.9  1164.8    68.9   102.8   120.2   250.5   329.7   388.9   436.8   495.3   576.5   726.5  3158.8 19612.5 36644.6  12354.4    12279
read      563.7  1240.2    63.8   120.2   155.7   371.9   458.7   516.9   569.4   647.9   804.9  1431.6  5252.5 14502.8 35358.9  75278.7    75260
read      544.6  1135.1    63.8   112.0   138.8   334.5   428.3   492.0   550.3   662.6  1030.3  1614.0  4780.7 12792.6 35533.9  65890.5    65924
read      508.2  1036.5    63.8   127.4   167.1   372.2   447.4   497.4   540.8   607.6   716.0   927.7  4582.1 12110.3 32500.8  91454.2    91370
read      509.5   961.3    63.8   108.2   132.1   319.2   410.5   474.0   533.6   636.3  1008.1  1585.5  3886.1  9168.4 32133.8  64547.7    64515
read      513.0   973.7    63.8   110.3   135.7   323.2   411.3   473.2   532.4   630.2   943.7  1590.3  3965.1  9437.4 32217.7  67413.2    67444
read      492.1   973.4    63.8   121.6   157.3   364.6   443.1   493.7   536.1   597.8   700.8   919.1  4499.9 11008.1 32183.4  87981.7    88040
read      488.9   820.7    63.8   103.8   124.5   301.8   394.0   464.3   535.7   708.5  1199.4  1579.8  2567.7  7781.0 31708.0  57170.2    57140
read      427.5   609.5    59.1   123.8   158.2   362.7   442.8   493.9   534.1   585.8   666.1   816.0  1435.2  8359.7 30820.5  98497.7    98571
read      488.9   773.1    63.8   105.7   125.7   306.4   398.7   470.9   551.2   788.8  1233.4  1545.9  2284.4  7823.4 31363.0  49365.2    49407
read      427.6   675.9    63.8   119.5   150.9   351.2   429.6   478.2   519.1   574.3   656.0   812.6  1676.0  8785.4 30526.8  94788.0    94723
read      513.0   928.8    63.8   118.4   150.6   355.8   444.8   502.4   551.2   627.6   776.4  1423.3  4160.6  9961.6 31833.4  75031.2    75084
read      479.0   661.8    63.8   103.9   124.0   308.0   400.8   471.7   551.9   780.1  1227.0  1521.1  2163.7  5905.3 24259.2  48630.9    48581
read      413.1   662.9    59.1   119.4   149.1   343.2   416.8   461.2   499.2   554.3   640.1   790.8  1585.2  8538.4 30906.4  95510.4    95456
read      473.3   717.4    63.8   102.1   120.5   299.6   391.9   471.2   571.8   867.8  1178.0  1407.0  2094.1  7927.3 30695.6  41674.8    41678
