./mcperf -s 10.156.15.226 --loadonly && ./mcperf -s 10.156.15.226 -a 10.156.15.227 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1621941720857
Timestamp end: 1621943521419

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      387.9   386.3    93.8   166.7   198.6   353.3   408.2   439.8   464.5   495.6   535.9   606.1  1111.7  5778.0 12444.8   4953.8     5031
read      619.8  1412.9    74.4   135.1   161.0   414.6   525.5   596.4   658.8   738.9   871.7  1415.9  4962.7 28390.2 36701.0  54530.0    54838
read      474.3   647.1    68.9   136.1   163.2   403.2   497.9   553.0   600.2   666.4   756.5   915.8  1964.6  7739.5 30347.3  74866.2    74868
read      602.2  1247.5    74.4   128.5   149.5   406.5   543.0   630.9   708.1   838.1  1111.3  1533.7  3837.8 24310.9 32499.3  30134.6    30015
read      588.0  1136.0    74.4   128.3   149.4   393.5   527.1   620.9   703.1   837.5  1143.9  1581.8  3899.2 17720.0 35578.3  40851.8    40743
read      608.7   824.3    74.4   132.9   156.6   431.6   624.9   803.2   946.3  1068.6  1198.8  1383.5  2197.2  8816.3 31478.1  23711.0    23648
read      684.0  1052.4    80.4   315.4   390.0   537.9   607.8   673.5   752.7   900.7  1006.1  1138.3  3505.0 12692.5 35259.2  97929.0    97712
read      704.4  1486.1    74.4   141.7   170.8   419.8   547.4   650.4   758.5   954.9  1444.1  2003.4  4890.5 28954.3 40446.5  53532.0    53672
read      652.2  1273.9    74.4   138.5   165.2   393.9   508.3   596.5   686.0   863.1  1416.7  2032.1  4603.1 20009.7 36257.0  55440.4    55395
read      591.7  1331.0    74.4   129.5   151.4   416.9   542.5   618.5   674.6   745.8   890.2  1295.8  4056.8 26684.5 36914.5  29452.8    29425
read      516.7  1109.3    80.4   133.5   156.4   401.4   505.1   570.1   622.9   696.4   811.3  1008.1  3025.3 15973.4 41993.8  15135.8    15173
read      519.1   864.0    74.4   146.0   181.9   424.7   517.7   575.9   625.2   692.3   794.2   981.7  2399.7 10405.5 32133.3  82618.2    82475
read      543.8   596.0    74.4   169.5   219.5   475.4   571.5   639.4   693.7   762.2   861.3  1048.4  1606.1  7481.6 30338.7  90759.0    90555
read      668.9  1265.7    74.4   136.2   162.1   412.2   546.2   649.0   755.8  1001.1  1494.9  1956.3  4401.4 16556.1 36851.4  47936.4    47944
read      554.6   920.3    74.4   127.0   147.8   393.5   535.1   627.7   710.5   871.0  1103.6  1386.1  2715.6  8115.5 32513.9  28384.0    28313
read      536.7   926.2    74.4   128.5   149.1   389.2   524.8   612.0   683.5   806.7  1030.2  1307.3  2371.2  9805.4 32387.3  28546.8    28504
read      515.3   832.9    80.4   130.3   152.1   392.2   518.0   594.6   661.4   768.3   943.4  1173.5  2118.1  8146.4 31768.0  22951.2    22886
read      587.4  1027.2    74.4   129.9   151.6   395.5   542.1   650.3   748.9   940.4  1221.2  1531.3  3223.1  8091.6 32436.7  35667.4    35717
read      533.9  1185.1    80.4   137.2   161.2   402.9   512.4   584.6   647.6   734.1   846.8  1004.6  3130.1 17427.0 39755.4  14801.2    14828
read      800.0  1837.2    80.4   254.5   329.5   517.6   606.9   680.4   752.1   859.4   987.9  1227.1  8710.2 31164.8 37644.9  81638.2    81704
read      566.8   986.4    74.4   140.0   167.1   408.6   521.1   595.6   663.7   753.0   923.0  1590.6  2839.1 12294.5 32454.8  55920.2    55771
read      529.7   826.6    74.4   153.7   190.6   442.2   538.8   603.0   656.2   724.4   822.5  1005.9  1826.6  9473.9 32098.3  85102.2    85226
