timestamp, process name, event
1621968342.2331438, controller, START
1621968342.4297187, ferret, START
1621968342.6970692, memchached, 4
1621968342.7162888, canneal, START
1621968346.0602732, canneal, PAUSE
1621968346.117833, ferret, PAUSE
1621968346.4025807, ferret, UNPAUSE
1621968349.2535334, dedup, START
1621968351.102686, dedup, PAUSE
1621968351.145658, ferret, PAUSE
1621968351.4469314, ferret, UNPAUSE
1621968357.8390934, dedup, UNPAUSE
1621968365.5721464, dedup, PAUSE
1621968365.6361997, ferret, PAUSE
1621968365.9221873, ferret, UNPAUSE
1621968376.160622, dedup, UNPAUSE
1621968385.7449276, dedup, PAUSE
1621968385.78386, ferret, PAUSE
1621968386.0617275, ferret, UNPAUSE
1621968396.8156605, ferret, PAUSE
1621968397.119707, canneal, UNPAUSE
1621968397.4296944, freqmine, START
1621968398.5491416, dedup, UNPAUSE
1621968398.8441222, dedup, PAUSE
1621968398.89969, canneal, PAUSE
1621968398.936261, freqmine, PAUSE
1621968399.2153347, canneal, UNPAUSE
1621968399.4937146, freqmine, UNPAUSE
1621968400.0497327, canneal, PAUSE
1621968400.0723474, freqmine, PAUSE
1621968400.3489532, canneal, UNPAUSE
1621968400.636735, freqmine, UNPAUSE
1621968400.9310238, canneal, PAUSE
1621968400.979018, freqmine, PAUSE
1621968401.251355, ferret, UNPAUSE
1621968403.0773742, ferret, PAUSE
1621968403.361453, canneal, UNPAUSE
1621968403.6439838, freqmine, UNPAUSE
1621968404.1910892, dedup, UNPAUSE
1621968404.486913, dedup, PAUSE
1621968404.537756, canneal, PAUSE
1621968404.5879464, freqmine, PAUSE
1621968404.8619745, canneal, UNPAUSE
1621968405.1628377, freqmine, UNPAUSE
1621968405.7130623, dedup, UNPAUSE
1621968406.0103908, dedup, PAUSE
1621968406.0477126, canneal, PAUSE
1621968406.0889347, freqmine, PAUSE
1621968406.382587, canneal, UNPAUSE
1621968406.6677299, freqmine, UNPAUSE
1621968406.956841, dedup, UNPAUSE
1621968407.2501762, dedup, PAUSE
1621968407.4143653, canneal, PAUSE
1621968407.4613566, freqmine, PAUSE
1621968407.7398305, canneal, UNPAUSE
1621968408.0335448, freqmine, UNPAUSE
1621968408.3228595, dedup, UNPAUSE
1621968408.6173332, dedup, PAUSE
1621968408.7186203, canneal, PAUSE
1621968408.7555523, freqmine, PAUSE
1621968409.0315402, canneal, UNPAUSE
1621968409.312778, freqmine, UNPAUSE
1621968409.5931134, dedup, UNPAUSE
1621968409.890795, dedup, PAUSE
1621968409.935775, canneal, PAUSE
1621968409.9610035, freqmine, PAUSE
1621968410.2348688, canneal, UNPAUSE
1621968410.5196338, freqmine, UNPAUSE
1621968410.811081, dedup, UNPAUSE
1621968411.3453898, dedup, PAUSE
1621968411.4019177, canneal, PAUSE
1621968411.4549286, freqmine, PAUSE
1621968411.727812, canneal, UNPAUSE
1621968412.0085826, freqmine, UNPAUSE
1621968412.300047, dedup, UNPAUSE
1621968412.6300626, dedup, PAUSE
1621968412.6867137, canneal, PAUSE
1621968412.7207272, freqmine, PAUSE
1621968413.0011413, canneal, UNPAUSE
1621968413.27654, freqmine, UNPAUSE
1621968413.559477, dedup, UNPAUSE
1621968413.8783333, dedup, PAUSE
1621968413.9309294, canneal, PAUSE
1621968413.995227, freqmine, PAUSE
1621968414.2810638, canneal, UNPAUSE
1621968414.5664423, freqmine, UNPAUSE
1621968415.1204154, canneal, PAUSE
1621968415.1678271, freqmine, PAUSE
1621968415.468176, canneal, UNPAUSE
1621968415.7599611, dedup, UNPAUSE
1621968417.8635166, dedup, PAUSE
1621968417.9356134, canneal, PAUSE
1621968418.215738, canneal, UNPAUSE
1621968418.5081093, dedup, UNPAUSE
1621968421.648784, dedup, PAUSE
1621968421.6949675, canneal, PAUSE
1621968421.969545, canneal, UNPAUSE
1621968422.2527447, freqmine, UNPAUSE
1621968422.5428371, canneal, PAUSE
1621968422.5819364, freqmine, PAUSE
1621968422.8825278, canneal, UNPAUSE
1621968423.1761162, freqmine, UNPAUSE
1621968423.7241876, canneal, PAUSE
1621968423.7619312, freqmine, PAUSE
1621968424.0566301, canneal, UNPAUSE
1621968424.3392503, freqmine, UNPAUSE
1621968424.6323168, canneal, PAUSE
1621968424.700329, freqmine, PAUSE
1621968424.9919744, canneal, UNPAUSE
1621968425.2704906, freqmine, UNPAUSE
1621968425.5857177, canneal, PAUSE
1621968425.6447048, freqmine, PAUSE
1621968425.9621704, canneal, UNPAUSE
1621968426.2403905, freqmine, UNPAUSE
1621968426.7860484, canneal, PAUSE
1621968426.8795598, freqmine, PAUSE
1621968427.1733243, canneal, UNPAUSE
1621968427.4587555, freqmine, UNPAUSE
1621968427.7549877, canneal, PAUSE
1621968427.8593554, freqmine, PAUSE
1621968428.1900105, canneal, UNPAUSE
1621968428.4790893, freqmine, UNPAUSE
1621968428.7998002, canneal, PAUSE
1621968428.8431623, freqmine, PAUSE
1621968429.2462952, canneal, UNPAUSE
1621968429.5330482, freqmine, UNPAUSE
1621968429.827707, canneal, PAUSE
1621968429.8745332, freqmine, PAUSE
1621968430.1692812, canneal, UNPAUSE
1621968430.445297, freqmine, UNPAUSE
1621968431.0112894, canneal, PAUSE
1621968431.0517077, freqmine, PAUSE
1621968431.3427835, canneal, UNPAUSE
1621968431.6372097, freqmine, UNPAUSE
1621968433.1173067, canneal, PAUSE
1621968433.1560397, freqmine, PAUSE
1621968433.5349412, canneal, UNPAUSE
1621968433.8215513, freqmine, UNPAUSE
1621968434.3729968, canneal, PAUSE
1621968434.4200146, freqmine, PAUSE
1621968434.6994145, canneal, UNPAUSE
1621968434.991457, freqmine, UNPAUSE
1621968435.8056273, canneal, PAUSE
1621968435.8431451, freqmine, PAUSE
1621968436.1261075, canneal, UNPAUSE
1621968436.409119, freqmine, UNPAUSE
1621968436.9592707, canneal, PAUSE
1621968437.0302374, freqmine, PAUSE
1621968437.3120797, canneal, UNPAUSE
1621968437.5868976, freqmine, UNPAUSE
1621968438.9268708, canneal, PAUSE
1621968438.9484305, freqmine, PAUSE
1621968439.2260492, ferret, UNPAUSE
1621968467.2847004, dedup, UNPAUSE
1621968485.8091187, dedup, PAUSE
1621968485.9137352, ferret, PAUSE
1621968486.1935575, canneal, UNPAUSE
1621968486.476576, freqmine, UNPAUSE
1621968487.021935, canneal, PAUSE
1621968487.0859654, freqmine, PAUSE
1621968487.367246, canneal, UNPAUSE
1621968487.6553118, freqmine, UNPAUSE
1621968488.2039442, canneal, PAUSE
1621968488.235459, freqmine, PAUSE
1621968488.5166395, canneal, UNPAUSE
1621968488.7944963, freqmine, UNPAUSE
1621968489.601546, dedup, UNPAUSE
1621968489.9095287, dedup, PAUSE
1621968489.950132, canneal, PAUSE
1621968489.9928424, freqmine, PAUSE
1621968490.2701442, canneal, UNPAUSE
1621968490.559569, freqmine, UNPAUSE
1621968491.0971837, canneal, PAUSE
1621968491.1312604, freqmine, PAUSE
1621968491.4037368, canneal, UNPAUSE
1621968491.684546, freqmine, UNPAUSE
1621968491.9788673, canneal, PAUSE
1621968492.020989, freqmine, PAUSE
1621968492.298003, canneal, UNPAUSE
1621968492.579425, freqmine, UNPAUSE
1621968493.1144168, canneal, PAUSE
1621968493.1586657, freqmine, PAUSE
1621968493.4374554, canneal, UNPAUSE
1621968493.714568, freqmine, UNPAUSE
1621968494.0126636, canneal, PAUSE
1621968494.0424576, freqmine, PAUSE
1621968494.3143632, canneal, UNPAUSE
1621968494.60544, freqmine, UNPAUSE
1621968494.8983502, canneal, PAUSE
1621968494.9302473, freqmine, PAUSE
1621968495.2061934, canneal, UNPAUSE
1621968495.4950986, freqmine, UNPAUSE
1621968503.4925842, canneal, PAUSE
1621968503.5628574, freqmine, PAUSE
1621968503.839305, canneal, UNPAUSE
1621968504.1159458, freqmine, UNPAUSE
1621968505.4358022, canneal, PAUSE
1621968505.4790025, freqmine, PAUSE
1621968505.7786205, canneal, UNPAUSE
1621968506.0562234, freqmine, UNPAUSE
1621968506.3610895, canneal, PAUSE
1621968506.3968666, freqmine, PAUSE
1621968506.6795442, canneal, UNPAUSE
1621968506.959858, freqmine, UNPAUSE
1621968507.2566824, canneal, PAUSE
1621968507.4554763, freqmine, PAUSE
1621968507.742889, canneal, UNPAUSE
1621968508.0198166, freqmine, UNPAUSE
1621968508.3194554, canneal, PAUSE
1621968508.3704154, freqmine, PAUSE
1621968508.6721687, canneal, UNPAUSE
1621968508.9601595, freqmine, UNPAUSE
1621968509.5124505, canneal, PAUSE
1621968509.5583518, freqmine, PAUSE
1621968509.8366761, canneal, UNPAUSE
1621968510.124851, freqmine, UNPAUSE
1621968510.676506, canneal, PAUSE
1621968510.7259543, freqmine, PAUSE
1621968511.0096817, canneal, UNPAUSE
1621968511.286617, freqmine, UNPAUSE
1621968511.8552186, canneal, PAUSE
1621968511.8913062, freqmine, PAUSE
1621968512.177927, canneal, UNPAUSE
1621968512.4550648, freqmine, UNPAUSE
1621968512.7488186, canneal, PAUSE
1621968512.7934165, freqmine, PAUSE
1621968513.0809474, canneal, UNPAUSE
1621968513.3669071, freqmine, UNPAUSE
1621968513.6646888, canneal, PAUSE
1621968513.7504532, freqmine, PAUSE
1621968514.035164, canneal, UNPAUSE
1621968514.3210251, freqmine, UNPAUSE
1621968514.6188102, canneal, PAUSE
1621968514.673328, freqmine, PAUSE
1621968515.0452518, canneal, UNPAUSE
1621968515.3236108, freqmine, UNPAUSE
1621968527.7183998, dedup, UNPAUSE
1621968535.8136435, dedup, PAUSE
1621968535.8726685, canneal, PAUSE
1621968535.9031272, freqmine, PAUSE
1621968536.1789331, canneal, UNPAUSE
1621968536.4634497, freqmine, UNPAUSE
1621968537.7796035, canneal, PAUSE
1621968537.8181486, freqmine, PAUSE
1621968538.0926306, canneal, UNPAUSE
1621968538.376979, freqmine, UNPAUSE
1621968539.9555166, canneal, PAUSE
1621968539.9937885, freqmine, PAUSE
1621968540.2710247, canneal, UNPAUSE
1621968540.5509717, freqmine, UNPAUSE
1621968542.1300507, canneal, PAUSE
1621968542.1938922, freqmine, PAUSE
1621968542.4915357, canneal, UNPAUSE
1621968542.7852762, dedup, UNPAUSE
1621968545.663509, splash2x-fft, START
1621968555.4870186, dedup, PAUSE
1621968555.5486236, splash2x-fft, PAUSE
1621968555.6191394, canneal, PAUSE
1621968555.8998322, canneal, UNPAUSE
1621968556.191861, dedup, UNPAUSE
1621968565.7942684, splash2x-fft, UNPAUSE
1621968575.440049, dedup, FINISH
1621968585.6061964, splash2x-fft, PAUSE
1621968585.6433172, canneal, PAUSE
1621968585.9221876, canneal, UNPAUSE
1621968586.2232563, splash2x-fft, UNPAUSE
1621968605.6169145, freqmine, UNPAUSE
1621968615.7750406, splash2x-fft, PAUSE
1621968615.8173206, canneal, PAUSE
1621968615.9029355, freqmine, PAUSE
1621968616.2381072, canneal, UNPAUSE
1621968616.5279932, splash2x-fft, UNPAUSE
1621968686.475874, splash2x-fft, PAUSE
1621968686.5360897, canneal, PAUSE
1621968686.842165, canneal, UNPAUSE
1621968694.0055358, splash2x-fft, UNPAUSE
1621968706.1390734, splash2x-fft, PAUSE
1621968706.1681912, canneal, PAUSE
1621968706.4652855, canneal, UNPAUSE
1621968707.523386, splash2x-fft, UNPAUSE
1621968709.8834734, splash2x-fft, PAUSE
1621968709.934915, canneal, PAUSE
1621968710.2306151, canneal, UNPAUSE
1621968715.8798501, splash2x-fft, UNPAUSE
1621968737.312476, splash2x-fft, PAUSE
1621968737.3589756, canneal, PAUSE
1621968737.641239, canneal, UNPAUSE
1621968745.578121, splash2x-fft, UNPAUSE
1621968748.2005777, freqmine, UNPAUSE
1621968755.7981617, splash2x-fft, PAUSE
1621968755.8577025, canneal, PAUSE
1621968755.884222, freqmine, PAUSE
1621968756.1594722, canneal, UNPAUSE
1621968756.4431171, splash2x-fft, UNPAUSE
1621968775.7750556, freqmine, UNPAUSE
1621968785.9679153, splash2x-fft, PAUSE
1621968786.0018878, canneal, PAUSE
1621968786.0337539, freqmine, PAUSE
1621968786.313413, canneal, UNPAUSE
1621968786.605265, splash2x-fft, UNPAUSE
1621968795.9034827, freqmine, UNPAUSE
