timestamp, process name, event
1622051687.80256, controller, START
1622051688.005049, ferret, START
1622051688.2791867, memchached, 4
1622051688.2988043, canneal, START
1622051691.1706448, canneal, PAUSE
1622051691.2389088, ferret, PAUSE
1622051691.5403972, ferret, UNPAUSE
1622051708.1360192, dedup, START
1622051731.1374426, dedup, PAUSE
1622051731.1737204, ferret, PAUSE
1622051731.4750855, canneal, UNPAUSE
1622051731.7709217, freqmine, START
1622051732.7815285, dedup, UNPAUSE
1622051733.3354402, dedup, PAUSE
1622051733.396287, canneal, PAUSE
1622051733.4681463, freqmine, PAUSE
1622051733.7517664, canneal, UNPAUSE
1622051734.036083, freqmine, UNPAUSE
1622051735.3700562, dedup, UNPAUSE
1622051735.6716707, dedup, PAUSE
1622051735.7396746, canneal, PAUSE
1622051735.7753754, freqmine, PAUSE
1622051736.057885, canneal, UNPAUSE
1622051736.3362486, freqmine, UNPAUSE
1622051740.2434852, canneal, PAUSE
1622051740.3001242, freqmine, PAUSE
1622051740.5800238, canneal, UNPAUSE
1622051740.8671525, freqmine, UNPAUSE
1622051742.9812744, canneal, PAUSE
1622051744.6715593, freqmine, PAUSE
1622051747.0755544, canneal, UNPAUSE
1622051748.7003813, dedup, UNPAUSE
1622051750.744284, freqmine, UNPAUSE
1622051758.2922761, dedup, PAUSE
1622051758.4023936, canneal, PAUSE
1622051758.4499688, freqmine, PAUSE
1622051758.7423983, dedup, UNPAUSE
1622051759.0403886, splash2x-fft, START
1622051764.9475904, canneal, UNPAUSE
1622051765.2319832, freqmine, UNPAUSE
1622051771.3508065, freqmine, PAUSE
1622051771.3943932, dedup, PAUSE
1622051771.4302218, splash2x-fft, PAUSE
1622051772.0699534, canneal, PAUSE
1622051772.3511243, canneal, UNPAUSE
1622051772.6452518, freqmine, UNPAUSE
1622051772.9488716, canneal, PAUSE
1622051772.9910467, freqmine, PAUSE
1622051773.2786562, ferret, UNPAUSE
1622051805.4413776, ferret, PAUSE
1622051805.736568, canneal, UNPAUSE
1622051806.0212462, freqmine, UNPAUSE
1622051806.5918968, canneal, PAUSE
1622051806.6520832, freqmine, PAUSE
1622051806.9474366, canneal, UNPAUSE
1622051807.2342682, freqmine, UNPAUSE
1622051807.802295, canneal, PAUSE
1622051807.8508751, freqmine, PAUSE
1622051808.179752, canneal, UNPAUSE
1622051808.4660807, freqmine, UNPAUSE
1622051808.785596, canneal, PAUSE
1622051808.836912, freqmine, PAUSE
1622051809.154538, canneal, UNPAUSE
1622051809.4439764, freqmine, UNPAUSE
1622051809.995917, canneal, PAUSE
1622051810.097065, freqmine, PAUSE
1622051810.3906424, canneal, UNPAUSE
1622051810.681968, freqmine, UNPAUSE
1622051810.9811301, canneal, PAUSE
1622051811.017737, freqmine, PAUSE
1622051811.2891295, ferret, UNPAUSE
1622051811.3325276, dedup, UNPAUSE
1622051821.1460037, dedup, PAUSE
1622051821.1850743, ferret, PAUSE
1622051821.4742475, canneal, UNPAUSE
1622051821.7605858, freqmine, UNPAUSE
1622051822.318201, canneal, PAUSE
1622051822.3545508, freqmine, PAUSE
1622051822.6307085, canneal, UNPAUSE
1622051822.9084282, freqmine, UNPAUSE
1622051823.4634452, canneal, PAUSE
1622051823.556993, freqmine, PAUSE
1622051823.8478582, canneal, UNPAUSE
1622051824.1473587, dedup, UNPAUSE
1622051825.7348468, splash2x-fft, UNPAUSE
1622051826.0360913, dedup, PAUSE
1622051826.111365, splash2x-fft, PAUSE
1622051826.1958938, canneal, PAUSE
1622051826.4741638, canneal, UNPAUSE
1622051826.77341, freqmine, UNPAUSE
1622051827.1080985, canneal, PAUSE
1622051827.1999576, freqmine, PAUSE
1622051827.5074315, canneal, UNPAUSE
1622051827.7937777, freqmine, UNPAUSE
1622051828.100548, canneal, PAUSE
1622051828.2086267, freqmine, PAUSE
1622051828.4894726, canneal, UNPAUSE
1622051828.7802835, freqmine, UNPAUSE
1622051829.0756986, canneal, PAUSE
1622051829.1477923, freqmine, PAUSE
1622051829.4438012, canneal, UNPAUSE
1622051829.735758, freqmine, UNPAUSE
1622051830.0421062, canneal, PAUSE
1622051830.0836604, freqmine, PAUSE
1622051830.3904505, canneal, UNPAUSE
1622051830.6722772, freqmine, UNPAUSE
1622051830.9655285, canneal, PAUSE
1622051831.011027, freqmine, PAUSE
1622051831.3057246, ferret, UNPAUSE
1622051907.0520012, dedup, UNPAUSE
1622051921.257931, dedup, PAUSE
1622051921.3162804, ferret, PAUSE
1622051921.6271296, canneal, UNPAUSE
1622051921.911312, freqmine, UNPAUSE
1622051922.2042108, dedup, UNPAUSE
1622051922.5059469, dedup, PAUSE
1622051922.548059, canneal, PAUSE
1622051922.5809057, freqmine, PAUSE
1622051922.858432, ferret, UNPAUSE
1622051937.9595368, ferret, PAUSE
1622051938.2584188, canneal, UNPAUSE
1622051938.54556, freqmine, UNPAUSE
1622051939.113833, canneal, PAUSE
1622051939.1629663, freqmine, PAUSE
1622051939.4554498, canneal, UNPAUSE
1622051939.750519, freqmine, UNPAUSE
1622051940.3217049, canneal, PAUSE
1622051940.8695884, freqmine, PAUSE
1622051941.1718764, dedup, UNPAUSE
1622051941.473647, canneal, UNPAUSE
1622051942.0216475, splash2x-fft, UNPAUSE
1622051942.3321567, dedup, PAUSE
1622051942.4074967, splash2x-fft, PAUSE
1622051942.4602075, canneal, PAUSE
1622051942.7457952, canneal, UNPAUSE
1622051943.033981, freqmine, UNPAUSE
1622051943.3323865, canneal, PAUSE
1622051943.376316, freqmine, PAUSE
