timestamp, process name, event
1622057522.6032338, controller, START
1622057522.8429086, ferret, START
1622057523.274691, memchached, 4
1622057523.2870803, canneal, START
1622057535.7385066, canneal, PAUSE
1622057535.7715359, ferret, PAUSE
1622057536.0659325, ferret, UNPAUSE
1622057610.5537455, dedup, START
1622057612.0116704, dedup, PAUSE
1622057612.0566776, ferret, PAUSE
1622057612.3448577, ferret, UNPAUSE
1622057615.6951795, dedup, UNPAUSE
1622057637.1775982, dedup, PAUSE
1622057637.2417045, ferret, PAUSE
1622057637.5315437, ferret, UNPAUSE
1622057640.3846884, dedup, UNPAUSE
1622057641.4862084, dedup, PAUSE
1622057641.536053, ferret, PAUSE
1622057641.8272874, ferret, UNPAUSE
1622057642.370551, dedup, UNPAUSE
1622057644.740847, dedup, PAUSE
1622057644.8799672, ferret, PAUSE
1622057645.16498, ferret, UNPAUSE
1622057648.2591121, dedup, UNPAUSE
1622057655.8194146, dedup, PAUSE
1622057655.860054, ferret, PAUSE
1622057656.1469815, ferret, UNPAUSE
1622057696.0044162, dedup, UNPAUSE
1622057715.660476, dedup, PAUSE
1622057715.7194304, ferret, PAUSE
1622057716.0202136, canneal, UNPAUSE
1622057716.3167138, freqmine, START
1622057717.998758, dedup, UNPAUSE
1622057718.5548198, dedup, PAUSE
1622057718.592663, canneal, PAUSE
1622057718.6398242, freqmine, PAUSE
1622057718.9274623, canneal, UNPAUSE
1622057719.212135, dedup, UNPAUSE
1622057719.515907, dedup, PAUSE
1622057719.5698729, canneal, PAUSE
1622057719.85393, canneal, UNPAUSE
1622057720.1360228, freqmine, UNPAUSE
1622057720.6924272, dedup, UNPAUSE
1622057720.999638, dedup, PAUSE
1622057721.0608366, canneal, PAUSE
1622057721.1169558, freqmine, PAUSE
1622057721.4049892, canneal, UNPAUSE
1622057721.698669, freqmine, UNPAUSE
1622057725.6097982, dedup, UNPAUSE
1622057735.5939825, dedup, PAUSE
1622057735.6390517, canneal, PAUSE
1622057735.6975682, freqmine, PAUSE
1622057736.0203557, canneal, UNPAUSE
