timestamp, process name, event
1621939697.0993204, controller, START
1621939698.191524, ferret, START
1621939698.8496428, memchached, 4
1621939698.869693, canneal, START
1621939705.4127069, canneal, PAUSE
1621939705.4644897, ferret, PAUSE
1621939705.749862, ferret, UNPAUSE
1621939715.5173535, dedup, START
1621939730.0370805, dedup, PAUSE
1621939730.0970278, ferret, PAUSE
1621939730.3983748, canneal, UNPAUSE
1621939730.6946266, dedup, UNPAUSE
1621939731.004485, dedup, PAUSE
1621939731.0586195, canneal, PAUSE
1621939731.3543744, canneal, UNPAUSE
1621939731.6527486, dedup, UNPAUSE
1621939732.2342477, dedup, PAUSE
1621939732.2783551, canneal, PAUSE
1621939732.5640888, canneal, UNPAUSE
1621939732.860244, dedup, UNPAUSE
1621939733.7094102, dedup, PAUSE
1621939733.7693195, canneal, PAUSE
1621939734.055784, canneal, UNPAUSE
1621939735.2147157, dedup, UNPAUSE
1621939743.596581, splash2x-fft, START
1621939744.5256689, dedup, PAUSE
1621939744.5614305, splash2x-fft, PAUSE
1621939744.5937738, canneal, PAUSE
1621939744.879836, ferret, UNPAUSE
1621939745.7007742, dedup, UNPAUSE
1621939755.1393743, dedup, PAUSE
1621939756.623553, ferret, PAUSE
1621939757.5722454, dedup, UNPAUSE
1621939757.8704584, splash2x-fft, UNPAUSE
1621939758.693858, canneal, UNPAUSE
1621939759.0070708, dedup, PAUSE
1621939759.061517, splash2x-fft, PAUSE
1621939759.1249316, canneal, PAUSE
1621939759.42676, canneal, UNPAUSE
1621939759.717658, freqmine, START
1621939760.951477, canneal, PAUSE
1621939761.0020525, freqmine, PAUSE
1621939761.2930884, canneal, UNPAUSE
1621939761.5852432, dedup, UNPAUSE
1621939761.8957345, dedup, PAUSE
1621939762.0704129, canneal, PAUSE
1621939762.3678637, dedup, UNPAUSE
1621939762.6812081, canneal, UNPAUSE
1621939762.9963164, dedup, PAUSE
1621939763.0905235, canneal, PAUSE
1621939763.381882, canneal, UNPAUSE
1621939763.6879458, dedup, UNPAUSE
1621939763.992298, dedup, PAUSE
1621939764.0374362, canneal, PAUSE
1621939764.3224542, canneal, UNPAUSE
1621939764.6244419, freqmine, UNPAUSE
1621939765.210887, dedup, UNPAUSE
1621939769.2118297, dedup, PAUSE
1621939769.2480614, canneal, PAUSE
1621939769.2829795, freqmine, PAUSE
1621939769.5636775, ferret, UNPAUSE
1621939770.1304896, dedup, UNPAUSE
1621939795.1394587, dedup, PAUSE
1621939795.1983192, ferret, PAUSE
1621939795.5240028, canneal, UNPAUSE
1621939795.8250344, freqmine, UNPAUSE
1621939796.6434948, dedup, UNPAUSE
1621939796.9569397, dedup, PAUSE
1621939797.034434, canneal, PAUSE
1621939797.1117086, freqmine, PAUSE
1621939797.3989232, canneal, UNPAUSE
1621939797.6844745, freqmine, UNPAUSE
1621939798.0070086, canneal, PAUSE
1621939798.0768433, freqmine, PAUSE
1621939798.3580863, canneal, UNPAUSE
1621939798.658505, freqmine, UNPAUSE
1621939798.9670694, canneal, PAUSE
1621939799.042838, freqmine, PAUSE
1621939799.3248806, canneal, UNPAUSE
1621939799.6318944, freqmine, UNPAUSE
1621939800.1937976, dedup, UNPAUSE
1621939801.5686362, dedup, PAUSE
1621939801.6308866, canneal, PAUSE
1621939801.674354, freqmine, PAUSE
1621939801.9545045, ferret, UNPAUSE
1621939816.8456438, dedup, UNPAUSE
1621939820.538705, dedup, PAUSE
1621939820.5775297, ferret, PAUSE
1621939820.9157813, ferret, UNPAUSE
1621939825.3072824, dedup, UNPAUSE
1621939830.2722087, dedup, PAUSE
1621939830.4199843, ferret, PAUSE
1621939830.732018, canneal, UNPAUSE
1621939831.0234594, dedup, UNPAUSE
1621939833.413598, dedup, PAUSE
1621939833.4595392, canneal, PAUSE
1621939833.7463741, canneal, UNPAUSE
