timestamp, process name, event
1622162156.7097874, controller, START
1622162156.974001, ferret, START
1622162157.2891064, memchached, 4
1622162157.30958, canneal, START
1622162165.0851555, canneal, PAUSE
1622162165.1200037, ferret, PAUSE
1622162165.4052277, canneal, UNPAUSE
1622162165.6934738, freqmine, START
1622162166.4407349, dedup, START
1622162172.2220893, dedup, PAUSE
1622162172.4299152, canneal, PAUSE
1622162172.4666772, freqmine, PAUSE
1622162172.7460406, canneal, UNPAUSE
1622162173.0417519, freqmine, UNPAUSE
1622162173.3383975, dedup, UNPAUSE
1622162173.9288487, dedup, PAUSE
1622162174.2375667, canneal, PAUSE
1622162174.2834632, freqmine, PAUSE
1622162174.5636508, canneal, UNPAUSE
1622162174.8593462, freqmine, UNPAUSE
1622162175.9322865, dedup, UNPAUSE
1622162176.2411027, dedup, PAUSE
1622162176.3287275, canneal, PAUSE
1622162176.3961356, freqmine, PAUSE
1622162176.6817443, canneal, UNPAUSE
1622162176.9644597, freqmine, UNPAUSE
1622162178.032629, canneal, PAUSE
1622162178.1057155, freqmine, PAUSE
1622162178.3903997, canneal, UNPAUSE
1622162178.6772676, freqmine, UNPAUSE
1622162178.9805896, canneal, PAUSE
1622162179.0774925, freqmine, PAUSE
1622162179.4008994, canneal, UNPAUSE
1622162179.6910095, freqmine, UNPAUSE
1622162180.241894, canneal, PAUSE
1622162180.285895, freqmine, PAUSE
1622162180.5994048, canneal, UNPAUSE
1622162180.8955188, freqmine, UNPAUSE
1622162181.2060175, canneal, PAUSE
1622162181.2672217, freqmine, PAUSE
1622162181.5738149, canneal, UNPAUSE
1622162181.8702478, freqmine, UNPAUSE
1622162182.1808805, canneal, PAUSE
1622162182.2372453, freqmine, PAUSE
1622162182.5505462, canneal, UNPAUSE
1622162182.850467, freqmine, UNPAUSE
1622162183.166075, canneal, PAUSE
1622162183.2206948, freqmine, PAUSE
1622162183.5068908, canneal, UNPAUSE
1622162183.7963095, freqmine, UNPAUSE
1622162184.10578, canneal, PAUSE
1622162184.1979573, freqmine, PAUSE
1622162184.5048883, canneal, UNPAUSE
1622162184.7918987, freqmine, UNPAUSE
1622162193.0896797, dedup, UNPAUSE
1622162194.1707778, dedup, PAUSE
1622162194.2564843, canneal, PAUSE
1622162194.2871356, freqmine, PAUSE
1622162194.5664139, canneal, UNPAUSE
1622162194.8505816, freqmine, UNPAUSE
1622162199.5404682, canneal, PAUSE
1622162200.3961787, freqmine, PAUSE
1622162201.8827991, canneal, UNPAUSE
1622162203.1552246, freqmine, UNPAUSE
1622162215.0504847, canneal, PAUSE
1622162215.1066854, freqmine, PAUSE
1622162215.4014049, canneal, UNPAUSE
1622162215.7029803, dedup, UNPAUSE
1622162216.000304, dedup, PAUSE
1622162216.0789306, canneal, PAUSE
1622162216.3722181, canneal, UNPAUSE
1622162216.6608934, dedup, UNPAUSE
1622162216.9614935, dedup, PAUSE
1622162217.0144796, canneal, PAUSE
1622162217.3054695, canneal, UNPAUSE
1622162217.6056564, freqmine, UNPAUSE
1622162217.9115827, canneal, PAUSE
1622162218.0286784, freqmine, PAUSE
1622162218.347246, canneal, UNPAUSE
1622162218.6413095, dedup, UNPAUSE
1622162218.9411354, dedup, PAUSE
1622162218.9816854, canneal, PAUSE
1622162219.2691882, canneal, UNPAUSE
1622162219.568868, dedup, UNPAUSE
1622162219.866896, dedup, PAUSE
1622162219.9614744, canneal, PAUSE
1622162220.2445283, canneal, UNPAUSE
1622162220.534417, freqmine, UNPAUSE
1622162220.8468156, canneal, PAUSE
1622162220.953768, freqmine, PAUSE
1622162221.2618868, dedup, UNPAUSE
1622162228.4751167, splash2x-fft, START
1622162231.2124565, canneal, UNPAUSE
1622162231.5169601, dedup, PAUSE
1622162231.553823, splash2x-fft, PAUSE
1622162231.59076, canneal, PAUSE
1622162231.8703847, canneal, UNPAUSE
1622162232.1538622, freqmine, UNPAUSE
1622162232.9680648, canneal, PAUSE
1622162233.024224, freqmine, PAUSE
1622162233.336664, canneal, UNPAUSE
1622162233.618472, freqmine, UNPAUSE
1622162234.1791945, canneal, PAUSE
1622162234.2688017, freqmine, PAUSE
1622162234.5592725, canneal, UNPAUSE
1622162234.8510675, freqmine, UNPAUSE
1622162235.1515915, canneal, PAUSE
1622162235.2506502, freqmine, PAUSE
1622162235.5323303, canneal, UNPAUSE
1622162235.822136, freqmine, UNPAUSE
1622162236.373457, canneal, PAUSE
1622162236.424421, freqmine, PAUSE
1622162236.7054312, canneal, UNPAUSE
1622162236.9841988, freqmine, UNPAUSE
1622162237.2748132, canneal, PAUSE
1622162237.3467019, freqmine, PAUSE
1622162237.6358495, canneal, UNPAUSE
1622162237.9231622, freqmine, UNPAUSE
1622162238.4810998, canneal, PAUSE
1622162238.5217664, freqmine, PAUSE
1622162238.8049579, canneal, UNPAUSE
1622162239.1029847, freqmine, UNPAUSE
1622162239.4047859, canneal, PAUSE
1622162239.4386804, freqmine, PAUSE
1622162239.7227018, canneal, UNPAUSE
1622162240.021205, freqmine, UNPAUSE
1622162240.577063, canneal, PAUSE
1622162240.6144633, freqmine, PAUSE
1622162240.892907, canneal, UNPAUSE
1622162241.175258, freqmine, UNPAUSE
1622162241.7407823, canneal, PAUSE
1622162241.7852945, freqmine, PAUSE
1622162242.0643818, canneal, UNPAUSE
1622162242.3522654, freqmine, UNPAUSE
1622162242.6681814, canneal, PAUSE
1622162242.7604961, freqmine, PAUSE
1622162243.0499675, canneal, UNPAUSE
1622162243.3376205, freqmine, UNPAUSE
1622162243.8911805, canneal, PAUSE
1622162243.9283779, freqmine, PAUSE
1622162244.2352266, canneal, UNPAUSE
1622162244.5257566, freqmine, UNPAUSE
1622162244.8268945, canneal, PAUSE
1622162244.8606088, freqmine, PAUSE
1622162245.1388829, ferret, UNPAUSE
1622162266.1182454, ferret, PAUSE
1622162266.5739405, dedup, UNPAUSE
1622162266.8683817, canneal, UNPAUSE
1622162269.2430987, splash2x-fft, UNPAUSE
1622162269.5797114, dedup, PAUSE
1622162269.6497912, splash2x-fft, PAUSE
1622162269.6906304, canneal, PAUSE
1622162269.97456, canneal, UNPAUSE
1622162270.2582004, freqmine, UNPAUSE
