Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622147895142
Timestamp end: 1622149695769

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      374.8   389.5    93.8   179.7   213.9   360.4   399.4   419.9   433.3   451.0   470.2   508.3   677.8  6978.3 14507.2   4999.8     5031
read      399.9   333.7    68.9   128.6   151.5   363.4   456.7   508.0   546.4   594.0   657.6   758.6  1227.9  2679.4  9968.1  54751.2    54838
read      386.4   292.1    74.4   131.6   154.9   346.3   439.9   492.3   532.0   582.2   649.2   759.8  1048.0  2293.1  8949.1  75031.0    74868
read      407.6   302.1    68.9   129.9   153.8   384.6   482.1   533.5   569.1   610.4   663.2   748.4  1109.6  2301.3 11911.4  30215.4    30015
read      398.2   293.6    68.9   127.2   149.7   369.8   467.4   520.7   559.4   603.7   656.9   743.1  1057.0  2047.8 10380.7  40754.8    40743
read      405.6   276.7    74.4   132.8   157.1   390.5   486.8   531.3   561.7   595.9   639.6   718.3  1055.6  3006.0  9662.0  23556.4    23648
read      588.1   731.4    74.4   206.5   270.9   490.8   576.6   647.0   720.7   818.8   930.3  1089.7  2086.6  9191.3 31259.2  97511.0    97712
read      656.2  1155.8    74.4   139.0   167.0   408.6   537.7   639.9   747.0   969.0  1500.8  2034.2  3589.5 14127.3 35763.3  53652.0    53672
read      673.9  1191.7    74.4   142.1   169.9   398.5   524.0   623.3   732.6   998.0  1538.8  2099.9  4503.5 15170.7 32295.0  55512.8    55395
read      490.3   649.1    74.4   129.7   149.8   381.6   506.5   581.2   637.6   723.0   901.1  1195.1  2092.4  7352.2 30778.6  29389.2    29425
read     1028.1  6149.5    80.4   136.9   162.8   416.7   523.6   601.3   683.7   838.6  1135.3  2148.3  8540.4 134908.6 157575.9  15148.6    15173
read      490.2   795.8    74.4   141.9   172.7   392.8   480.8   537.1   585.4   652.8   750.8   924.1  2272.6  9428.6 31671.7  82308.4    82475
read      452.0   525.3    68.9   144.4   175.8   392.3   484.8   539.6   584.9   642.3   729.7   880.7  1401.9  6897.0 22479.9  90499.0    90555
read      539.2   987.5    74.4   130.8   154.3   375.4   484.8   554.7   615.5   697.3   874.7  1567.7  2809.8 13362.1 35257.4  48131.6    47944
read      510.9   870.1    74.4   126.3   146.8   376.5   500.9   574.4   635.5   739.5   960.5  1244.5  2197.1  8814.8 32103.8  28281.6    28313
read      514.4   678.2    80.4   126.2   147.3   382.1   510.9   592.9   667.5   816.2  1066.8  1332.3  2111.5  6261.9 30891.6  28461.2    28504
read      523.5   980.1    74.4   126.7   148.1   381.6   498.9   567.5   626.4   727.5   921.8  1174.8  2687.9 13386.2 36355.9  22871.6    22886
read      544.7   772.8    74.4   128.0   147.9   372.9   504.6   597.9   691.5   933.3  1229.7  1510.1  2292.7  7022.0 31338.9  35648.2    35717
read      474.4   647.0    80.4   132.7   155.7   394.4   487.1   542.2   588.5   654.4   753.0   949.6  2200.9  6656.6 31150.3  14843.6    14828
read      551.4  1081.4    74.4   147.8   184.1   421.8   504.2   557.9   608.6   683.6   795.3   978.6  4241.6 12851.7 33348.9  81563.0    81704
read      548.7   859.7    74.4   133.0   158.1   372.1   479.8   551.4   617.5   723.0  1040.7  1747.2  2756.7  9428.2 31536.5  55920.2    55771
read      562.5  1066.4    74.4   155.8   195.9   431.3   518.3   578.1   632.0   711.4   822.8  1007.6  3719.5 12908.4 32325.9  85235.8    85226
read      556.0  1065.1    74.4   143.0   175.3   410.5   501.9   563.1   620.0   698.3   818.9  1101.0  3547.1 12757.6 32275.8  75096.0    75020
read      483.2   718.9    80.4   138.0   162.1   404.1   496.1   552.4   602.9   671.0   769.3   937.6  2150.3  8363.7 31168.6  12379.4    12441
read      535.0   929.3    68.9   134.6   159.9   382.9   492.2   561.4   620.5   701.3   870.9  1490.6  2734.0 10305.6 35282.1  56446.4    56208
read      466.4   690.3    80.4   129.4   151.4   395.4   495.0   549.6   593.8   658.9   765.3   954.7  1815.9  9896.9 30430.4  17381.8    17446
read      527.8   795.7    80.4   163.0   203.2   431.9   519.0   578.0   631.4   708.8   821.6  1000.0  2188.3  9865.1 31505.1  87145.4    86943
read      620.1  1220.6    74.4   138.4   164.8   392.6   509.5   589.7   662.2   784.2  1166.5  1877.5  4526.8 14351.2 37573.0  48980.0    49138
read      668.5  1114.5    74.4   136.1   161.2   390.2   530.0   665.4   869.8  1281.2  1612.7  1980.9  3418.9 12413.6 33861.9  49774.6    49839
read      587.3   911.1    74.4   131.7   154.1   367.2   490.8   584.1   684.9   945.5  1411.3  1866.8  2763.0  8629.3 31388.7  47705.8    47752
read      540.2   959.9    74.4   126.4   146.9   383.1   508.0   586.0   650.8   764.3  1000.1  1301.5  2884.4 13196.2 35501.2  27063.6    27181
read      419.3   701.6    86.8   154.0   193.0   360.1   423.7   463.4   494.8   530.7   574.7   642.4  1797.5  8212.1 30080.4   6155.2     6170
read      445.6   926.0    86.8   149.6   186.9   374.1   445.5   490.7   523.6   561.0   611.3   691.6  1666.9 14077.7 35891.3   7277.2     7187
read      542.6   632.1    80.4   187.7   243.8   469.0   550.4   616.1   677.6   759.9   864.7  1009.0  1441.5  8705.3 29245.2  99357.8    99387
read      457.4   568.0    74.4   148.1   181.4   396.3   484.5   537.5   581.0   639.9   730.1   883.6  1396.8  7056.6 27625.0  92008.6    91970
read      573.2  1078.7    74.4   149.0   186.2   430.1   512.2   571.1   628.3   719.4   850.1  1119.5  3373.4 12749.8 36472.3  79593.0    79658
read      549.9   970.5    74.4   135.0   161.8   383.6   486.5   555.5   619.2   713.0   923.3  1639.5  2826.7 10889.5 32488.5  59336.4    59230
read      597.9  1112.7    74.4   148.6   187.5   431.1   522.2   584.4   645.4   738.9   884.3  1472.7  4141.5 13394.0 35333.5  78098.8    78081
read      560.0  1084.4    68.9   139.4   167.6   386.9   487.6   554.5   610.3   684.3   804.6  1499.3  4117.9 11795.7 36291.6  64434.4    64242
read      537.4   767.8    74.4   128.9   149.3   368.1   496.5   586.3   667.4   845.5  1195.7  1552.5  2336.1  6689.5 31048.8  37721.2    37702
read      596.3  1028.3    74.4   129.0   150.0   372.6   499.5   599.6   707.8  1020.8  1378.2  1728.0  2933.5 11498.2 36221.5  40747.2    40686
read      478.9   677.9    74.4   124.2   143.0   362.9   484.1   557.3   613.7   689.8   864.5  1190.5  2295.1  7198.4 30330.6  30389.6    30376
