Random waveform, supplied seed
Total number of intervals = 225 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559)
Average QPS expected = 50540
Timestamp start: 1622152774202
Timestamp end: 1622154574820

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      418.7   707.5    93.8   174.3   219.2   366.9   421.2   452.1   475.5   508.0   551.2   635.7  1360.8  7754.6 32522.2   5002.1     5031
read      558.9  1030.8    74.4   136.2   161.8   399.3   514.9   588.0   647.6   731.0   882.8  1360.2  3461.5 11830.5 32388.2  54720.2    54838
read      506.7   929.4    74.4   137.7   167.2   395.3   492.5   550.1   598.8   664.7   761.7   981.9  2373.2 12366.4 32250.1  74737.1    74868
read      596.7   794.5    74.4   131.6   154.4   399.0   568.0   745.9   952.5  1152.7  1306.7  1485.0  2106.7  8996.8 31358.5  30121.4    30015
read      551.4   865.2    74.4   134.9   159.7   398.9   521.6   603.6   672.3   771.4  1017.1  1491.3  2534.5 10214.8 31654.9  40671.6    40743
read      592.7   904.3    74.4   129.6   152.9   408.0   583.7   765.1   916.3  1058.8  1192.9  1350.6  2238.5 10924.1 31976.7  23579.9    23648
read      609.6   794.1    74.4   236.8   301.4   501.0   590.7   664.6   730.7   813.2   919.4  1082.5  2326.8  9204.2 31682.7  97576.8    97712
read      544.2   890.3    68.9   135.6   162.3   392.9   505.5   580.7   641.8   730.7   906.5  1489.1  2801.8 11051.9 32145.1  53643.1    53672
read      531.5   862.8    74.4   133.2   158.9   383.4   496.2   569.6   629.0   712.1   878.2  1467.6  2669.2  9617.2 31721.4  55404.6    55395
read      586.7   740.4    74.4   130.0   152.8   400.7   564.9   724.3   950.3  1145.8  1294.2  1466.9  1959.4  8656.7 30705.4  29461.6    29425
read      484.4   783.6    74.4   131.5   155.4   393.7   496.0   565.1   626.6   710.8   820.2   988.0  1635.9 10701.6 32497.9  15246.0    15173
read      529.1  1003.3    74.4   146.0   179.9   417.5   509.1   565.0   612.2   679.0   780.8   965.1  3181.8 11109.4 32460.1  82510.0    82475
read      534.2   815.0    74.4   157.9   200.9   441.9   531.5   589.2   640.2   716.3   826.4  1009.9  1994.4  9514.9 31789.7  90642.8    90555
read      624.2  1063.2    74.4   134.9   159.2   388.9   517.5   622.2   740.0  1046.7  1428.2  1826.4  3395.6 11212.5 36474.8  48052.5    47944
read      567.6   825.4    74.4   130.8   152.8   397.6   548.8   673.4   830.2  1030.5  1213.6  1402.2  2019.9  7913.6 31742.3  28289.1    28313
read      589.8   842.2    74.4   130.7   152.6   396.7   560.4   713.6   926.6  1122.5  1272.8  1443.0  2072.5  8827.8 32004.1  28464.9    28504
read      510.2   849.2    80.4   129.8   150.9   387.4   501.3   571.5   631.8   724.5   884.6  1199.2  2785.9  8458.6 31929.3  22964.5    22886
read      561.7   821.2    74.4   128.5   150.0   379.5   518.1   625.9   748.9  1019.7  1280.7  1496.8  2176.5  7937.2 31827.9  35897.6    35717
read      507.9   922.5    80.4   133.9   158.0   397.7   500.7   573.3   636.4   723.4   832.9  1000.1  2461.6 10006.9 36289.8  14824.0    14828
read      460.6   685.5    74.4   138.8   167.0   379.3   472.7   532.4   579.6   639.7   728.1   897.4  1707.8  8539.6 31503.0  81667.0    81704
read      624.6  1153.4    74.4   138.0   165.6   388.5   507.0   602.1   699.5   906.4  1361.0  1801.3  4118.8 12384.0 36066.1  55767.2    55771
read      449.1   522.5    74.4   139.3   167.7   381.0   475.2   534.7   581.1   640.3   730.0   893.9  1592.7  5744.9 25708.9  85143.6    85226
read      587.2  1138.5    74.4   147.3   182.9   415.9   514.0   581.4   638.4   722.3   850.7  1251.0  4942.8 12318.1 35236.7  75042.2    75020
read      489.8   973.2    80.4   135.8   161.4   392.2   487.0   552.7   609.5   682.1   773.2   922.8  2493.7  9404.2 36147.3  12387.4    12441
read      600.4  1081.8    74.4   135.8   162.3   381.1   497.1   582.4   663.1   806.1  1269.5  1749.4  4285.6  9932.2 35584.3  56181.9    56208
read      496.7   673.4    80.4   131.8   155.1   397.3   508.2   585.9   659.9   761.5   888.6  1095.1  1829.8  7215.1 31044.0  17378.4    17446
read      456.2   618.3    74.4   142.0   172.1   387.4   478.9   535.8   581.5   640.1   727.4   881.5  1525.8  7626.0 30487.2  86879.4    86943
read      650.8  1182.2    74.4   136.5   162.1   395.2   525.7   637.5   771.1  1097.4  1448.0  1839.4  4332.5 15469.3 35443.8  49109.0    49138
read      632.4  1102.1    74.4   135.4   160.3   387.4   510.5   618.9   740.4  1080.8  1449.3  1839.5  3820.9 10966.0 32488.9  49718.1    49839
