timestamp, process name, event
1622152775.7394588, controller, START
1622152776.0988088, ferret, START
1622152776.4621077, memchached, 4
1622152776.4843478, canneal, START
1622152783.0343692, canneal, PAUSE
1622152783.0884597, ferret, PAUSE
1622152783.4587994, canneal, UNPAUSE
1622152783.7603045, freqmine, START
1622152784.4905846, dedup, START
1622152790.600239, dedup, PAUSE
1622152790.6592867, canneal, PAUSE
1622152790.696469, freqmine, PAUSE
1622152790.975127, canneal, UNPAUSE
1622152791.2671447, freqmine, UNPAUSE
1622152795.701361, canneal, PAUSE
1622152795.739328, freqmine, PAUSE
1622152796.0555093, canneal, UNPAUSE
1622152796.3461046, freqmine, UNPAUSE
1622152796.8948634, canneal, PAUSE
1622152796.96317, freqmine, PAUSE
1622152797.3020024, canneal, UNPAUSE
1622152797.596151, freqmine, UNPAUSE
1622152798.1412413, canneal, PAUSE
1622152798.1931405, freqmine, PAUSE
1622152798.5003057, canneal, UNPAUSE
1622152798.7869785, freqmine, UNPAUSE
1622152807.0831747, canneal, PAUSE
1622152807.1592002, freqmine, PAUSE
1622152807.4927716, canneal, UNPAUSE
1622152808.4852548, freqmine, UNPAUSE
1622152811.9267228, canneal, PAUSE
1622152813.0272357, freqmine, PAUSE
1622152814.3301349, canneal, UNPAUSE
1622152815.0298626, freqmine, UNPAUSE
1622152822.5626094, dedup, UNPAUSE
1622152822.871724, dedup, PAUSE
1622152823.5615218, canneal, PAUSE
1622152823.6271923, freqmine, PAUSE
1622152824.224714, canneal, UNPAUSE
1622152824.5127487, dedup, UNPAUSE
1622152824.810005, dedup, PAUSE
1622152824.8757124, canneal, PAUSE
1622152825.1555297, canneal, UNPAUSE
1622152825.4429343, dedup, UNPAUSE
1622152825.7495198, dedup, PAUSE
1622152825.7902296, canneal, PAUSE
1622152826.0852292, canneal, UNPAUSE
1622152826.377297, dedup, UNPAUSE
1622152826.703619, dedup, PAUSE
1622152826.7711935, canneal, PAUSE
1622152827.0657501, canneal, UNPAUSE
1622152827.3628085, dedup, UNPAUSE
1622152827.6700528, dedup, PAUSE
1622152827.7165234, canneal, PAUSE
1622152828.0146906, canneal, UNPAUSE
1622152828.3274453, dedup, UNPAUSE
1622152828.6505904, dedup, PAUSE
1622152828.7496178, canneal, PAUSE
1622152829.0462282, canneal, UNPAUSE
1622152829.349565, dedup, UNPAUSE
1622152829.6710281, dedup, PAUSE
1622152829.7110343, canneal, PAUSE
