#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      266.1   278.1    74.4   128.1   141.4   224.8   275.3   307.0   331.3   361.9   403.5   477.9   765.6  3784.7 10686.0  30040.4    30000
read      246.2   280.9    74.4   122.7   136.2   211.2   254.8   283.1   305.0   331.5   365.5   418.4   608.9  3767.5 11077.7  29992.5    30010
read      248.4   252.1    68.9   122.8   137.0   214.8   258.6   288.6   311.9   339.5   373.6   427.4   603.4  3350.8 10981.0  30062.0    30020
read      276.7   297.9    74.4   129.6   144.9   240.3   292.6   323.1   345.7   372.6   407.2   468.8   793.3  4076.0 12314.4  30057.2    30030
read      256.5   278.7    74.4   128.8   142.6   222.7   267.0   294.0   314.7   339.7   372.4   428.9   681.5  3487.8 11704.7  30005.0    30040
read      242.0   295.3    74.4   122.0   134.9   206.7   247.2   273.7   295.0   320.7   355.2   406.9   603.3  3922.3 12733.1  30005.3    30050
read      244.3   309.8    74.4   122.7   136.3   209.2   249.2   276.0   298.8   327.3   362.9   413.7   571.0  4185.7 15125.2  30026.8    30060
read      257.5   314.7    74.4   124.9   139.2   219.0   264.3   293.8   317.1   345.2   380.4   432.4   670.9  4254.1 15197.2  30080.0    30070
read      273.3   262.8    68.9   128.7   143.3   236.6   291.2   322.4   345.2   372.5   408.1   470.5   783.7  3447.0  9769.1  30092.8    30080
read      274.4   298.9    68.9   129.8   144.7   235.5   287.0   317.9   341.6   369.9   407.3   473.6   772.9  3883.6 12353.8  30174.8    30090
read      256.0   283.3    74.4   126.5   139.8   219.8   265.5   293.5   314.9   341.0   376.3   438.9   719.4  3624.4 12166.6  30156.7    30100
read      241.4   272.3    74.4   124.1   136.8   209.1   250.7   276.5   296.0   319.3   350.0   400.4   585.1  3495.0 12402.6  30096.1    30110
read      237.5   258.1    68.9   120.6   132.9   203.5   246.4   273.5   294.0   318.1   349.2   400.4   614.8  3606.0  9477.5  30136.3    30120
read      243.8   274.1    74.4   120.2   133.1   206.1   251.2   280.8   303.6   331.8   368.3   426.5   648.8  3842.3 10783.4  30119.7    30130
read      247.8   278.3    74.4   121.9   135.2   209.4   253.6   283.6   307.3   336.4   372.7   432.5   660.9  3839.4 12470.3  30087.8    30140
read      248.1   309.7    68.9   122.1   135.7   210.9   255.2   284.6   306.8   333.4   366.8   421.9   636.1  4026.4 15471.2  30096.6    30150
