[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      369.3   480.7    80.4   198.7   238.7   333.8   372.5   395.2   411.4   430.8   457.4   507.7   773.0  7639.4 21376.0   4926.4     5000  1620056450985  1620056456373
read      393.5   364.9    68.9   156.7   200.6   367.9   416.3   441.3   461.1   488.7   551.3   687.5   945.1  5351.9 13262.3   9987.8    10000  1620056457878  1620056463224
read      401.8   311.9    68.9   140.8   177.4   375.4   435.0   468.2   499.6   561.1   642.0   750.7   964.9  4339.0 10470.9  14937.2    15000  1620056464729  1620056470015
read      426.8   355.5    68.9   136.0   170.0   389.2   459.0   511.3   575.4   640.0   715.3   820.0  1099.4  3045.2 12722.1  20024.6    20000  1620056471520  1620056476826
read      436.0   404.6    68.9   133.3   165.2   392.6   468.4   533.7   593.7   659.4   735.5   843.7  1194.7  4106.7 14280.1  25034.0    25000  1620056478331  1620056483629
read      434.3   375.1    68.9   129.7   160.7   390.8   471.5   545.1   606.3   668.3   738.3   849.9  1193.8  4036.1 10140.7  30140.6    30000  1620056485133  1620056490434
read      430.7   315.6    63.8   132.7   161.7   383.6   470.2   541.4   597.6   664.7   740.8   863.3  1253.7  3254.8  9551.7  34926.6    35000  1620056491937  1620056497222
read      429.8   368.6    68.9   131.7   160.2   380.5   470.5   542.4   597.8   664.0   741.8   862.1  1225.6  3451.5 10255.3  39983.8    40000  1620056498727  1620056504004
read      423.3   310.0    63.8   130.1   158.4   379.0   469.5   539.6   592.1   656.1   731.4   846.3  1189.1  2950.1 10872.8  44977.6    45000  1620056505511  1620056510787
read      416.0   322.6    63.8   126.8   153.7   366.3   460.7   530.3   583.1   645.9   725.4   848.0  1213.0  2735.7 10067.1  49873.4    50000  1620056512292  1620056517574
read      413.0   355.4    63.8   124.7   150.3   356.7   456.6   528.8   583.4   649.2   731.9   856.3  1241.2  2731.1 14015.2  55052.2    55000  1620056519078  1620056524356
read      405.4   287.5    63.8   127.3   153.3   354.9   451.4   518.2   569.5   629.6   704.0   819.8  1196.5  2933.7  8270.3  59970.7    60000  1620056525859  1620056531143
read      404.5   356.5    68.9   125.2   150.7   349.5   444.9   508.2   558.2   619.2   692.2   812.2  1268.4  3564.7 10841.6  64824.2    65000  1620056532647  1620056537918
read      405.6   356.4    63.8   124.3   151.0   345.4   444.9   514.0   565.1   627.7   708.2   837.1  1245.9  3186.7 12911.4  70091.8    70000  1620056539423  1620056544709
read      387.7   317.8    63.8   124.3   149.2   330.0   420.2   481.7   530.8   590.5   672.2   802.5  1188.3  3302.6 10752.9  74936.4    75000  1620056546214  1620056551512
read      397.9   385.2    63.8   127.5   153.8   338.5   432.1   494.8   542.0   599.2   673.4   793.0  1171.9  4236.1 12589.8  80133.4    80000  1620056553015  1620056558294
read      391.6   328.0    63.8   127.5   153.5   336.5   428.9   490.2   535.3   591.7   667.1   784.6  1132.1  3900.8 10101.7  84780.6    85000  1620056559799  1620056565082
read      407.6   411.1    63.8   131.5   159.8   347.6   442.7   503.2   548.0   605.0   680.0   803.4  1181.3  4373.2 13443.5  89829.0    90000  1620056566588  1620056571892
read      411.4   370.8    63.8   136.8   166.5   352.3   446.4   506.9   554.2   612.6   688.7   815.8  1216.0  4433.7 10197.5  94923.8    95000  1620056573397  1620056578684
read      416.1   337.2    63.8   142.0   174.3   362.8   458.3   518.1   563.4   619.4   693.3   820.6  1139.5  3770.3 12078.9  99987.8   100000  1620056580188  1620056585462
read      409.8   313.5    63.8   144.0   177.6   360.6   449.2   505.2   549.0   604.1   678.7   799.3  1085.5  3537.3 12310.3 104836.0   105000  1620056586966  1620056592253
read      491.4   365.9    68.9   184.3   235.9   445.4   525.7   583.5   636.3   709.5   802.3   927.8  1184.1  2823.1 13757.8 109697.6   110000  1620056593757  1620056599044
read      568.5   325.3    80.4   330.9   362.7   485.1   579.9   678.1   750.7   818.1   888.4   992.9  1261.6  2469.5 12848.0 112252.5   115000  1620056600548  1620056605833
read      557.3   337.7    74.4   300.3   338.8   485.4   575.5   656.7   719.9   792.1   876.8   996.3  1267.7  2541.6 13527.4 114243.1   120000  1620056607337  1620056612615
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.86%,12.06%,100.00%
