ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      431.0   574.0    80.4   187.6   233.4   376.9   434.6   470.2   500.5   537.7   590.6   689.2  1143.8  8293.5 20045.9   4963.0     5000  1620069110762  1620069116120
read      500.1   356.6    80.4   154.2   195.7   442.8   568.7   654.0   709.1   760.7   819.5   928.7  1203.3  4368.9 10236.1  10044.4    10000  1620069117628  1620069122954
read      551.0   577.0    80.4   140.4   172.6   430.8   612.3   763.5   836.3   915.3  1026.0  1185.8  1471.5  7817.6 19740.1  14986.6    15000  1620069124458  1620069129762
read      573.3   485.8    74.4   133.3   162.2   414.2   589.3   807.0   965.9  1130.9  1243.1  1380.4  1701.4  3996.3 12568.0  19998.8    20000  1620069131266  1620069136564
read      589.7   513.2    74.4   139.3   170.2   410.3   593.3   808.2  1018.4  1175.2  1303.2  1464.2  1792.2  3911.4 13783.5  24961.6    25000  1620069138069  1620069143363
read      558.2   618.9    74.4   131.2   158.1   369.8   520.7   697.5   920.3  1158.2  1305.5  1474.1  1807.9  5827.1 17044.4  30052.2    30000  1620069144867  1620069150170
read      573.7   545.0    74.4   133.2   159.1   379.4   522.2   656.2   881.1  1209.5  1404.2  1637.1  2098.8  3615.8 12126.5  34851.0    35000  1620069151675  1620069156978
read      556.5   570.0    68.9   133.0   157.4   356.3   491.0   629.7   822.3  1176.9  1396.0  1655.1  2070.5  3979.7 14447.3  39749.8    40000  1620069158483  1620069163766
read      552.2   661.8    68.9   132.9   156.7   349.6   468.4   575.1   714.3  1117.2  1412.3  1727.5  2246.3  5200.3 19553.3  44966.4    45000  1620069165270  1620069170554
read      560.3   668.9    68.9   132.6   157.5   348.3   460.9   563.3   681.7  1071.1  1459.8  1836.3  2475.8  6129.7 19487.4  49955.2    50000  1620069172058  1620069177348
read      541.2   633.9    68.9   129.9   153.7   334.0   437.2   522.2   614.0   922.3  1444.2  1884.4  2573.2  4027.0 15245.4  54910.2    55000  1620069178853  1620069184127
read      601.1   802.2    68.9   140.2   167.8   365.5   489.7   598.2   732.5  1069.2  1495.9  1962.2  2876.2  7197.9 31012.4  59886.4    60000  1620069185633  1620069190908
read      814.5   918.3    74.4   176.4   222.0   458.5   691.4  1162.8  1524.2  1720.6  1923.4  2252.4  3086.3  7191.0 30792.1  63699.9    65000  1620069192413  1620069197721
read      935.5  1119.7    68.9   235.9   277.9   523.2  1010.0  1530.3  1658.6  1782.6  1926.7  2186.3  3183.3 12652.2 31868.1  66674.4    70000  1620069199225  1620069204508
read      996.7  1314.9    74.4   284.5   311.7   572.9  1398.5  1580.7  1688.0  1798.1  1927.2  2138.6  2986.5 17492.1 35454.3  66861.6    75000  1620069206013  1620069211302
read     1083.4  1357.9    68.9   319.6   348.7   640.8  1506.0  1665.6  1771.9  1888.9  2027.9  2281.5  3173.3 16941.5 32369.8  62154.0    80000  1620069212808  1620069218102
read     1044.2  1316.2    80.4   298.5   325.6   612.0  1449.0  1636.7  1742.7  1857.7  1998.9  2243.0  3146.5 16718.1 35245.3  64303.8    85000  1620069219606  1620069224894
read     1021.5  1261.5    80.4   292.1   320.6   601.5  1426.9  1623.2  1725.7  1833.6  1969.5  2190.9  2992.5 16380.8 35341.9  65394.6    90000  1620069226398  1620069231697
read     1077.7  1579.2    86.8   313.7   342.6   595.9  1425.2  1627.2  1738.8  1853.1  1999.9  2263.2  3472.9 25240.6 36720.5  62995.2    95000  1620069233202  1620069238487
read     1023.4  1334.7    74.4   294.3   321.5   588.8  1404.6  1599.9  1715.7  1833.9  1980.4  2279.6  3140.3 16947.9 35145.7  65681.0   100000  1620069239992  1620069245280
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 79.75%,21.00%,100.00%
