ubuntu@client-measure-gzb1:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.206 -a 10.156.15.205 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (9669, 15158, 19345, 86758, 63911, 81761, 65938, 55664, 98459, 63009, 37872, 37110, 58408, 46151, 92997, 49080, 16149, 46013, 67397, 64328, 61214, 80406, 91673, 29045, 90071, 82030, 30457, 68509, 35608, 91725, 39504, 8586, 56337, 7767, 54331, 11658, 97648, 22706, 38941, 52870, 66883, 66024, 69235, 75453, 82204, 14035, 51982, 54866, 67872, 66260, 46376, 74579, 9069, 90966, 13876, 43494, 98562, 81164, 96939, 73720, 23930, 90920, 98929, 82706, 79228, 51036, 23971, 20082, 24575, 97110, 5920, 90092, 55820, 49856, 44542, 35235, 94365, 37332, 84996, 89076, 80003, 67346, 49238, 14549, 42868, 25851, 80549, 28824, 72220, 80666, 6108, 19880, 48337, 80578, 38115, 45311, 42083, 31496, 51545, 19221, 87732, 7686, 32533, 83323, 96118, 59804, 42951, 83843, 91055, 87382, 7805, 30182, 96391, 89837, 36273, 57563, 87766, 5532, 26205, 37719, 36176, 32770, 74006, 79024, 43229, 10959, 28870, 91333, 10777, 7693, 52694, 47689, 19843, 97961, 66879, 98136, 57473, 87217, 89671, 97946, 84020, 29322, 89526, 39042, 46508, 24870, 24856, 71604, 82093, 38516, 32927, 64951, 82585, 53501, 38118, 86061, 35288, 26716, 81992, 48525, 93262, 34306, 49710, 68077, 81313, 43783, 6305, 89143, 64883, 84048, 28620, 62673, 86805, 98837, 63713, 87853, 47722, 87703, 80556, 54481)
Average QPS expected = 56373
Timestamp start: 1621283664330
Timestamp end: 1621285464738

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      495.9  1224.8    74.4   142.8   172.8   371.5   463.2   514.8   548.6   589.1   641.3   761.1  3172.5 24249.2 37701.0   9674.5     9669
read      463.3   622.8    80.4   130.8   152.2   378.6   519.5   615.5   673.2   735.1   810.4   891.4  1268.9  8388.3 30090.2  15066.9    15158
read      479.9   586.5    74.4   126.7   147.9   367.3   536.8   665.7   750.2   827.4   898.6  1004.5  1375.6  6706.8 22482.6  19411.8    19345
read      388.6   434.3    68.9   127.6   149.8   316.3   397.0   448.7   489.8   541.2   613.0   745.1  1986.9  4109.9 10943.2  86806.0    86758
read      445.6   521.0    68.9   120.4   139.7   291.8   382.8   446.3   503.2   592.6   911.0  1655.1  2331.4  3691.5 10708.8  63881.8    63911
read      382.8   456.5    68.9   126.9   148.4   311.8   395.1   446.5   486.4   536.3   603.6   722.2  2157.8  4129.2 14377.6  81696.2    81761
read      449.7   573.7    68.9   127.6   148.9   315.3   409.7   471.9   524.9   595.5   738.2  1509.5  2417.8  5174.9 17156.5  65849.6    65938
read      474.5   596.7    68.9   118.2   135.9   294.9   390.0   454.6   509.5   597.1  1279.1  1896.5  2435.2  3677.9 14860.1  55570.5    55664
read      377.0   373.3    68.9   130.3   154.0   319.7   396.6   445.7   484.7   534.7   602.9   718.5  1723.6  3532.7  9575.8  98482.9    98459
read      456.9   532.5    68.9   123.6   143.2   301.4   395.0   462.6   523.8   624.1  1001.4  1649.7  2299.2  3573.2 13184.3  63102.9    63009
read      486.8   567.7    68.9   119.8   138.6   304.7   417.0   504.7   587.3  1018.2  1321.1  1541.4  1922.9  4783.7 16010.0  37863.7    37872
read      513.1   674.4    68.9   124.4   144.6   326.7   455.5   573.8   731.3  1019.0  1223.5  1445.6  1938.8  7624.8 29069.1  37157.6    37110
read      487.4   662.3    68.9   127.4   149.1   332.2   432.0   501.9   565.5   661.1   925.0  1651.3  2464.3  6206.2 27263.7  58511.3    58408
read      504.8   796.2    74.4   116.9   134.7   309.1   406.0   480.2   548.2   674.3  1455.5  1779.3  2265.8  9590.1 30938.0  46188.0    46151
read      428.6   591.9    68.9   138.0   165.6   351.9   433.0   484.1   526.4   583.5   665.3   809.4  2064.1  6945.4 28095.9  93007.5    92997
read      522.0   846.7    74.4   119.1   138.2   317.3   419.8   495.7   567.0   699.6  1402.9  1825.4  2537.3  9224.0 31537.3  49086.5    49080
read      516.5   938.3    68.9   129.8   152.4   390.1   543.8   645.3   711.1   787.9   865.1   990.6  2412.4 12755.0 35585.6  16220.3    16149
read      510.7   827.1    74.4   117.2   135.0   311.1   409.4   485.7   557.2   701.6  1461.2  1775.4  2258.3  9186.6 30679.8  45982.0    46013
read      515.7   731.8    74.4   133.2   158.9   352.6   448.9   520.8   584.2   673.1   898.7  1697.3  2809.1  6915.9 30699.2  67481.4    67397
read      506.7   641.7    74.4   130.7   154.5   343.3   443.8   515.8   581.1   681.2  1016.5  1734.2  2613.1  5764.3 21218.0  64274.2    64328
read      498.2   685.0    74.4   128.7   150.9   336.1   436.4   508.4   575.6   677.2  1001.7  1666.3  2510.8  6661.3 28043.8  61284.8    61214
read      427.0   622.0    68.9   129.1   152.7   336.9   420.9   474.3   519.7   578.4   658.9   813.1  2555.1  6871.1 30136.6  80453.2    80406
read      415.0   555.3    68.9   134.6   160.8   346.2   427.7   478.1   519.9   575.0   651.0   782.1  1873.6  6606.4 28686.5  91605.5    91673
read      529.7   796.0    74.4   123.7   143.6   341.4   514.6   674.1   851.6   989.4  1115.1  1275.8  1868.0 10986.3 31507.4  29084.4    29045
read      426.8   610.3    68.9   132.4   158.6   344.6   424.5   475.3   519.0   577.4   658.8   808.3  2312.1  6397.2 30620.2  90015.9    90071
read      425.6   628.0    74.4   128.9   153.4   340.3   424.8   477.6   522.3   579.2   657.2   803.1  2580.1  7160.9 30333.9  82185.1    82030
read     1662.2  3187.2    74.4   152.4   202.2   908.7  1615.5  2025.0  2313.0  2711.2  3344.3  4477.3 11984.8 36094.0 50115.1  30396.2    30457
read      652.7   694.7    68.9   141.8   176.4   445.9   755.8   896.8   975.5  1083.6  1286.9  1734.0  2557.0  6028.3 27561.7  68405.7    68509
read      517.1   706.5    74.4   124.7   144.1   332.5   477.4   613.2   812.0  1023.3  1191.7  1382.9  1808.4  7523.6 30455.4  35620.6    35608
read      438.8   700.7    74.4   135.6   163.0   349.8   430.0   483.3   528.2   587.8   670.9   820.8  2330.6  8843.1 31075.0  91530.5    91725
read      520.7   658.9    68.9   123.8   143.0   330.6   457.8   574.8   715.2  1038.4  1289.5  1522.0  1975.3  6939.8 20325.9  39447.7    39504
read      543.7  1584.8    80.4   142.8   175.2   363.8   455.7   505.9   538.6   577.0   629.7   757.1  4804.5 31087.4 37656.3   8590.5     8586
read      515.8   845.0    68.9   121.4   141.7   320.9   419.9   495.1   567.0   687.4  1261.9  1802.1  2513.5 10704.1 31060.0  56366.4    56337
read      554.1  1734.6    80.4   142.9   177.4   350.1   433.9   480.8   512.2   547.7   596.8   732.1  5896.0 31414.5 42416.4   7677.2     7767
read      516.4   867.5    63.8   120.8   141.0   320.4   420.1   496.8   569.8   694.2  1261.1  1788.6  2508.3  9721.3 31428.9  54190.2    54331
read      511.7  1166.7    74.4   133.9   159.0   374.6   494.5   561.7   606.0   654.7   720.6   849.0  3352.2 14220.1 36804.5  11638.6    11658
read      428.3   509.3    68.9   138.7   168.0   357.9   436.9   486.9   528.8   587.1   672.9   836.6  1912.1  5812.1 17322.7  97722.4    97648
read      511.4   760.5    74.4   124.2   145.4   364.1   541.7   687.1   801.3   889.8   990.1  1124.8  1699.3 10896.2 31443.6  22662.1    22706
read      525.8   717.9    74.4   122.3   142.0   329.9   458.4   578.9   742.5  1055.1  1277.7  1502.0  2017.8  7705.1 28790.9  38968.0    38941
