ubuntu@client-measure-7lrh:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.212 -a 10.156.15.209 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (43849, 73140, 59466, 56292, 7733, 66380, 65953, 9830, 55663, 72284, 13155, 78329, 50354, 57928, 44228, 82393, 41990, 85372, 46582, 27150, 62946, 16270, 76415, 90729, 25634, 45251, 82101, 89251, 64017, 58527, 48042, 63753, 88777, 93100, 57762, 12524, 20282, 57237, 21519, 36642, 85400, 54272, 76163, 41628, 91655, 8528, 21794, 5517, 53229, 19430, 93077, 64038, 37958, 65275, 18654, 67366, 10713, 78709, 82046, 9946, 17542, 83461, 39095, 79447, 30170, 91442, 32581, 37955, 15710, 71810, 28758, 98455, 98013, 78405, 6036, 36458, 28576, 80599, 19405, 47767, 93253, 69494, 56381, 77977, 25344, 12722, 15735, 24822, 75313, 10237, 58120, 44995, 49144, 57479, 97969, 8514, 75847, 50090, 87774, 36410, 71719, 12700, 29144, 35245, 74881, 50576, 88397, 64238, 70860, 23426, 78345, 32780, 61518, 57976, 93228, 27836, 96390, 65178, 5947, 67548, 23830, 34731, 67773, 19891, 48577, 15098, 59261, 35046, 50396, 93163, 71672, 91175, 12942, 7867, 23941, 86010, 43028, 49998, 54507, 20101, 57861, 60734, 83402, 10196, 30013, 10068, 62462, 50441, 90611, 25717, 14108, 31738, 28902, 55097, 71180, 87386, 73876, 72730, 9836, 56654, 7460, 30325, 29300, 92817, 52675, 19738, 35663, 64959, 34167, 86409, 5312, 26082, 60627, 97112, 40677, 64812, 34043, 11894, 63971, 58717)
Average QPS expected = 50557
Timestamp start: 1621673885867
Timestamp end: 1621675686292

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      606.2  1114.0    74.4   127.7   149.4   355.1   467.6   571.3   689.2  1115.3  1519.4  1828.4  2975.9 15763.2 32074.7  43868.1    43849
read      629.8   728.3    74.4   145.9   184.4   415.6   525.7   640.0   751.8   997.2  1606.6  1916.1  2783.9  6457.5 24592.9  73051.0    73140
read      527.1   663.5    68.9   130.4   155.2   355.3   456.0   529.5   598.5   716.2  1139.7  1809.0  2666.2  5837.1 18895.0  59352.3    59466
read      537.6   708.8    74.4   128.3   152.0   351.7   451.6   527.3   600.9   737.5  1315.7  1897.4  2615.7  6688.0 25011.1  56422.3    56292
read      621.4  1954.2    80.4   137.4   171.9   373.4   467.7   516.7   549.5   591.6   652.7   834.2  6231.4 31592.2 37378.8   7777.2     7733
read      618.0   752.2    68.9   139.8   174.0   391.8   503.0   617.1   730.4  1151.2  1587.3  1887.8  2840.5  7373.4 30138.6  66423.2    66380
read      634.0   691.6    74.4   143.2   178.8   402.4   527.3   651.3   779.1  1395.5  1643.4  1925.0  2727.3  4658.6 18552.2  66026.3    65953
read      615.4  1786.0    74.4   133.9   162.4   400.2   514.6   572.6   612.7   659.4   725.2   869.6  5863.8 31104.2 40030.7   9788.8     9830
read      547.2   649.0    68.9   129.8   154.3   359.0   464.0   546.3   630.9   816.4  1402.6  1878.7  2564.4  4921.0 17343.8  55628.0    55663
read      625.1   717.5    68.9   144.2   181.2   411.0   520.6   636.0   749.6  1041.9  1604.7  1900.3  2708.3  7331.3 22922.7  72221.7    72284
read      626.5  1709.5    74.4   132.0   158.0   421.4   562.2   642.9   698.4   759.1   840.2  1009.1  4783.1 31327.7 37055.9  13145.8    13155
read      481.4   562.2    68.9   135.7   163.3   369.3   457.6   518.2   573.6   651.7   774.3  1462.1  2521.2  5339.6 15387.0  78328.5    78329
read      570.0   753.2    74.4   128.2   151.0   359.2   468.5   559.0   653.9   931.5  1505.6  1927.5  2623.1  7649.4 26895.3  50478.8    50354
read      572.9   876.9    74.4   130.2   156.2   366.3   468.4   547.4   629.5   788.7  1423.5  1920.3  2783.8  9299.4 31276.9  57780.3    57928
read      556.1   812.7    74.4   119.8   140.1   348.1   451.5   535.0   613.2   815.4  1538.9  1888.2  2513.8  7791.1 30959.8  44273.5    44228
read      466.4   532.4    74.4   133.6   160.7   366.2   455.1   513.5   563.9   634.2   744.0  1171.4  2316.8  4816.6 15557.0  82285.0    82393
read      593.4   987.9    74.4   124.9   146.2   361.7   478.3   579.4   689.2  1125.5  1517.5  1824.9  2609.5 12886.6 32308.6  42013.1    41990
read      449.6   532.0    74.4   133.6   160.2   360.2   448.7   504.7   550.6   616.3   715.0   957.0  2192.0  4768.1 17241.3  85380.9    85372
read      564.3   884.9    74.4   122.2   143.1   352.3   454.1   533.6   608.6   771.0  1566.8  1956.5  2553.0  8782.9 31177.8  46621.0    46582
read      633.8  1165.1    74.4   129.4   152.8   396.5   579.7   754.9   945.0  1116.6  1271.5  1472.9  3266.3 15958.7 32425.7  27173.1    27150
read      620.7   844.3    74.4   141.9   174.7   397.1   514.6   615.9   717.4   960.5  1569.2  1936.8  2938.1  7965.1 30659.8  62859.3    62946
read      594.8  1077.4    74.4   133.7   161.0   448.4   611.4   723.8   795.1   872.7   979.5  1149.8  3314.4 13121.4 32215.8  16321.4    16270
read      579.6   664.0    74.4   145.2   179.5   408.1   513.6   602.2   687.4   821.7  1388.7  1796.2  2674.7  5870.8 20967.7  76409.8    76415
read      401.8   394.7    74.4   133.5   159.2   344.7   430.4   482.9   524.6   578.2   652.5   781.1  1406.6  4134.7 12458.1  90615.6    90729
read      605.5   990.1    74.4   126.5   150.0   401.2   585.1   752.0   928.6  1084.2  1229.9  1405.6  2536.3 12336.3 32277.7  25594.1    25634
read      579.6   972.6    74.4   121.1   141.5   354.5   457.2   540.5   623.3   898.4  1595.1  1943.0  2541.1 12475.5 31619.6  45285.0    45251
read      455.1   554.1    68.9   134.1   161.0   364.1   452.7   510.2   560.3   627.0   728.0   963.5  2195.0  4711.5 17070.0  82084.2    82101
read      404.5   429.4    74.4   132.6   157.8   342.7   429.5   482.8   525.0   578.9   652.2   778.3  1705.9  4309.1 12659.1  89270.0    89251
read      597.4   723.5    74.4   139.8   171.4   396.0   508.8   603.9   697.3   891.7  1514.8  1905.9  2841.6  5445.8 29246.1  64011.1    64017
read      557.8   796.4    74.4   131.4   157.3   371.9   476.9   556.8   632.0   768.7  1279.0  1834.2  2758.7  7903.1 31006.2  58546.1    58527
read      550.9   817.9    74.4   118.0   138.2   345.3   443.4   519.8   592.7   744.5  1568.9  1959.5  2505.6  8554.1 30544.9  48148.6    48042
read      595.7   748.2    74.4   136.6   167.4   392.0   499.2   589.1   680.8   870.6  1531.1  1924.1  2803.6  6538.6 29081.2  63805.3    63753
read      451.9   575.3    74.4   136.9   166.6   373.5   460.2   513.7   559.4   621.5   707.1   876.5  2197.6  5846.8 28050.4  88808.4    88777
read      427.5   495.3    68.9   137.2   166.2   364.8   450.7   502.7   544.4   599.7   678.5   814.1  1706.4  5089.6 17028.9  92919.8    93100
read      559.1   765.0    68.9   130.6   155.3   364.8   470.3   551.5   630.6   792.4  1362.8  1872.7  2745.9  7328.1 29547.8  57814.0    57762
read      588.8  1396.6    74.4   131.8   159.0   413.6   547.1   628.1   675.6   731.7   805.4   949.0  4775.8 23355.9 35289.5  12535.1    12524
read      587.6   995.3    74.4   129.0   155.0   420.7   605.7   753.8   855.1   954.5  1063.6  1216.5  2991.7 10918.4 32390.8  20210.0    20282
read      565.3   816.5    68.9   128.5   153.0   362.7   467.0   550.1   631.5   805.7  1411.5  1937.8  2727.1  7926.4 31146.7  57164.7    57237
read      569.1   847.5    74.4   127.7   153.3   408.5   591.4   745.4   863.7   976.4  1089.3  1247.2  2230.0 11599.6 31923.7  21475.5    21519
read      603.0   994.5    74.4   124.7   147.1   373.2   510.7   638.5   860.8  1199.7  1413.3  1645.2  2351.4 13026.9 32060.6  36672.0    36642
read      452.4   574.7    74.4   135.3   163.7   371.3   457.6   512.0   558.3   621.0   713.4   894.6  2156.2  5358.0 27759.1  85424.1    85400
read      578.0   887.2    74.4   123.7   147.1   360.7   461.9   545.3   631.1   849.0  1531.0  1975.6  2726.1  9646.6 31580.8  54151.2    54272
read      471.0   575.5    74.4   133.2   159.7   371.0   461.3   520.8   571.1   638.4   743.2  1091.3  2508.1  5007.9 23745.8  76181.3    76163
read      600.1  1012.5    74.4   126.3   148.1   367.8   487.7   602.4   747.7  1188.3  1481.4  1769.6  2446.7 13060.6 32022.1  41593.6    41628
read      462.7   605.5    74.4   143.1   175.1   385.6   471.2   526.9   572.7   634.2   730.4   905.5  2008.7  6944.3 29919.2  91667.8    91655
read      618.1  1820.8    80.4   138.2   171.7   388.3   484.5   541.5   584.7   639.2   707.7   901.9  6020.8 31543.3 40039.1   8456.8     8528
read      614.6  1238.8    68.9   125.3   150.7   410.3   598.1   772.3   893.4  1000.1  1117.7  1276.2  2988.6 19520.0 35597.2  21820.7    21794
read      688.8  2454.0    86.8   151.2   189.3   347.8   412.5   450.9   478.9   515.1   574.4   858.3  9510.7 32128.6 42625.3   5476.6     5517
read      602.8   999.2    74.4   127.5   152.2   371.2   479.8   573.6   672.8   968.5  1553.6  1940.2  2774.1 12082.3 32005.0  53196.5    53229
read      600.9  1080.8    74.4   128.0   154.2   446.8   621.2   757.0   848.0   941.8  1051.3  1207.6  2859.2 15646.8 35292.6  19348.5    19430
read      471.1   609.5    74.4   143.4   177.9   392.4   477.0   532.1   578.5   641.2   738.7   920.4  2055.3  6922.8 30374.6  92948.6    93077
read      647.9   829.5    74.4   141.3   177.3   409.2   531.3   646.5   777.6  1290.7  1636.4  1951.6  2907.5  8573.2 30751.3  63834.4    64038
read      583.3   890.8    68.9   120.4   141.3   366.1   486.6   590.7   712.3  1192.3  1477.3  1743.7  2353.0 12073.7 31596.0  37895.2    37958
read      647.3   852.0    68.9   141.3   177.3   410.1   534.3   644.3   756.5  1194.1  1632.8  1960.8  2958.1  8309.7 30841.1  65206.5    65275
read      626.0  1213.1    74.4   131.8   159.1   449.0   630.2   767.3   858.8   952.6  1061.9  1229.7  3306.8 17327.8 37135.1  18706.2    18654
