Random waveform, random seed
Total number of intervals = 180 (17132, 37117, 89673, 34628, 59881, 89367, 22327, 33471, 82956, 15408, 41732, 31220, 63771, 10778, 29842, 88717, 21748, 89081, 60267, 26521, 42280, 29071, 45475, 48503, 16563, 73978, 88861, 77042, 93066, 69220, 12424, 55378, 30640, 97618, 85039, 58800, 67346, 60995, 97726, 7845, 42561, 91528, 46177, 59819, 5509, 9412, 54468, 42148, 81687, 59401, 12459, 73945, 90348, 71881, 87978, 46716, 94089, 59916, 12082, 86492, 65681, 99086, 64636, 10192, 65211, 82082, 51623, 95724, 78000, 27413, 10905, 80808, 9293, 52904, 72168, 63075, 7599, 90999, 87111, 15322, 16893, 10981, 25702, 49554, 6659, 61244, 98721, 97313, 87954, 37366, 81696, 28767, 69342, 71892, 73359, 26875, 90424, 30119, 88066, 9317, 77015, 99441, 48740, 13400, 7025, 37518, 76387, 99742, 58788, 58774, 17790, 70039, 9367, 60618, 41680, 99296, 79366, 92192, 94423, 71821, 30028, 75054, 26490, 82176, 9424, 69280, 72538, 18156, 57111, 87759, 76812, 18077, 55442, 63564, 51273, 14929, 66544, 62529, 36669, 57722, 91786, 17835, 66840, 99324, 65992, 14469, 21502, 42741, 79655, 16114, 32315, 37087, 61910, 81178, 50675, 40681, 34699, 5294, 6505, 42402, 77254, 30299, 61651, 15730, 37265, 9483, 19380, 96754, 6185, 69083, 82171, 23825, 35656, 35016, 21239, 92037, 62051, 89009, 81765, 43388)
Average QPS expected = 53152
Timestamp start: 1620941837463
Timestamp end: 1620943637857

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      512.0   665.6    74.4   134.2   159.1   408.7   555.0   676.8   753.7   830.9   941.2  1080.0  1481.5  9114.6 31021.8  17095.8    17132
read      534.2   543.4    74.4   128.4   148.5   350.6   477.4   595.1   788.6  1111.8  1340.0  1566.5  1999.5  3572.6 14019.6  37115.3    37117
read      426.4   399.4    74.4   133.4   159.9   362.6   452.6   505.6   549.2   611.3   703.4   886.7  1794.6  3683.3 12825.5  89529.7    89673
read      521.5   567.4    74.4   126.6   148.2   353.0   489.3   606.7   784.1  1033.7  1228.6  1443.6  1871.2  5211.2 16368.6  34697.5    34628
read      432.0   496.0    74.4   125.9   147.5   347.0   446.2   504.7   551.8   617.5   717.7  1025.8  1994.1  4273.1 19510.4  59961.3    59881
read      406.0   360.4    74.4   133.4   159.0   353.2   442.4   497.5   541.0   596.1   676.0   809.4  1296.0  3725.1 11425.8  89233.5    89367
read      787.0  1728.9    74.4   133.5   159.5   419.5   622.8   831.6   962.1  1101.1  1358.2  2656.2  5057.1 31437.0 38728.4  22302.1    22327
read      531.3   557.3    74.4   129.8   151.7   359.2   498.7   639.7   850.1  1063.2  1233.4  1442.4  1854.7  4828.5 15660.2  33543.2    33471
read      455.5   452.6    68.9   136.3   164.1   376.2   464.3   520.5   569.6   639.5   747.4   993.4  2026.0  3964.9 12876.3  82991.1    82956
read      505.3   600.5    80.4   138.7   163.9   420.9   553.6   662.3   738.4   811.9   899.9  1053.6  1423.1  7700.0 30565.2  15384.0    15408
read      548.4   576.7    68.9   130.9   152.4   356.0   480.9   591.7   748.4  1107.1  1395.1  1676.2  2206.8  4168.7 12772.9  41643.0    41732
read      548.7   573.3    80.4   128.9   150.0   367.6   519.0   687.6   909.9  1106.8  1266.2  1460.9  1875.6  4774.7 15544.1  31217.5    31220
read      475.9   630.9    74.4   129.7   153.7   376.7   468.3   528.6   578.9   648.3   760.3  1225.0  2145.2  6660.7 28616.9  63774.8    63771
read      573.2  1388.3    80.4   140.2   168.5   409.8   522.6   593.3   643.6   701.2   777.0   927.5  4676.9 28662.8 39217.4  10778.5    10778
read      635.5  1138.7    74.4   130.6   153.7   383.0   544.3   734.2   972.6  1169.4  1342.3  1574.2  3128.2 15783.1 35750.9  29886.6    29842
read      502.4   594.2    74.4   146.7   184.5   421.7   503.8   560.9   614.7   691.6   809.7  1039.7  2075.5  7153.8 28262.7  88589.0    88717
