ubuntu@client-measure-s921:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.3 -a 10.156.0.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (11844, 79565, 15697, 48259, 84331, 30408, 7802, 84229, 36774, 17294, 9305, 62265, 73723, 61999, 65720, 98216, 71947, 49069, 23517, 88987, 8064, 22292, 28353, 35027, 6322, 96265, 58602, 66936, 96979, 79968, 51310, 73720, 24716, 11779, 44817, 11627, 47661, 18622, 97429, 42776, 90659, 88093, 76718, 46630, 71147, 9697, 97973, 75404, 6585, 51077, 52101, 62388, 51517, 29869, 62281, 52723, 66103, 72465, 13937, 14218, 84316, 67332, 17456, 58407, 17486, 6232, 16704, 71134, 73587, 58316, 5710, 69413, 27608, 58818, 87132, 88118, 30247, 50462, 68557, 85756, 46132, 61091, 98199, 72004, 55098, 75723, 45997, 73203, 62627, 73969, 20711, 45040, 47859, 12365, 96513, 35022, 30627, 70558, 84057, 90896, 80565, 10213, 28763, 87819, 34336, 80752, 16787, 39583, 15366, 86158, 59468, 86204, 67936, 89799, 69388, 75686, 9026, 30279, 17781, 22762, 27602, 48910, 6343, 73358, 23125, 57641, 75946, 90668, 33526, 56952, 76070, 94840, 42682, 39681, 37425, 36793, 46706, 25807, 96109, 86376, 12434, 26282, 6929, 33566, 63026, 41859, 72316, 76254, 50956, 96358, 96056, 53725, 93124, 94532, 93226, 94892, 60866, 22573, 81969, 49716, 75432, 95526, 82419, 12994, 32306, 66440, 26769, 20188, 94947, 39067, 81119, 11922, 73068, 82835, 68321, 97383, 33576, 45910, 37653, 61214)
Average QPS expected = 54007
Timestamp start: 1622065588207
Timestamp end: 1622067388802

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      384.1   786.9    74.4   111.9   132.1   286.9   364.3   414.5   454.8   504.7   578.2   728.5  2244.0 10516.7 31950.4  11810.7    11844
read      733.2  1898.0    68.9   155.6   200.7   368.1   452.6   521.4   589.3   667.9   812.2  2035.0  8573.8 30747.0 38137.7  79477.9    79565
read      562.2  1454.2    68.9   106.8   124.3   300.1   398.7   470.0   538.6   632.9   797.8  1852.7  4069.4 25060.3 37543.4  15753.5    15697
read      539.1  1139.6    63.8   107.1   123.6   297.0   400.1   475.1   542.9   670.3  1060.2  1667.1  4132.5 11554.7 32371.6  48352.2    48259
read      720.9  1755.6    68.9   174.2   222.3   374.9   457.8   536.6   606.9   690.4   850.1  1908.2  8342.6 30302.6 36951.8  84287.4    84331
read      445.3   974.3    68.9   102.9   116.9   277.1   380.7   448.5   500.0   581.3   762.0  1098.7  3729.4 12151.9 35632.5  30314.9    30408
read      386.0  1159.5    74.4   120.9   149.5   268.4   328.6   368.2   397.9   435.8   492.7   620.9  2246.1 24228.9 34068.2   7813.2     7802
read      671.0  1517.4    68.9   160.7   211.7   381.4   462.2   542.0   618.0   706.2   855.9  1753.8  7854.2 21383.3 36399.3  84225.7    84229
read      484.7  1062.6    63.8   103.9   119.0   284.4   385.1   455.7   514.8   616.1   894.0  1297.0  3970.3 10724.7 32470.4  36861.7    36774
read      411.2   820.8    68.9   103.1   117.9   289.5   379.7   437.4   489.9   565.2   672.1   864.0  2935.2  9421.2 32039.3  17233.6    17294
read      376.1   877.8    74.4   115.0   137.6   277.5   339.4   378.8   411.9   454.6   517.3   651.2  2438.2 10630.2 35445.5   9318.2     9305
read      674.7  1564.1    68.9   119.5   144.5   325.1   418.3   501.8   583.9   746.0  1432.2  2290.1  6047.0 26098.0 36547.8  62116.1    62265
