ubuntu@client-measure-4brn:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.231 -a 10.156.15.230 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (14062, 32060, 16585, 54644, 57097, 37686, 54352, 74844, 99040, 43301, 76765, 87500, 6840, 60963, 37698, 59071, 58308, 74780, 67907, 77725, 75927, 69132, 53106, 35191, 14095, 11716, 28411, 68609, 96132, 97587, 47541, 84043, 44794, 97226, 60559, 90573, 65375, 82824, 79053, 65160, 80086, 41102, 78111, 90919, 81866, 32433, 19286, 41229, 29427, 50920, 64490, 41293, 54000, 58496, 93283, 91002, 45229, 95963, 14789, 79130, 34067, 26565, 20877, 77258, 99767, 8830, 58449, 58468, 95958, 32473, 33238, 68093, 67553, 27313, 44308, 88120, 59843, 24822, 79411, 96192, 71509, 8976, 56768, 27465, 27940, 29743, 38082, 58883, 38366, 84257, 19468, 62758, 88718, 52134, 46784, 90925, 88744, 99159, 48553, 99849, 64120, 93158, 82964, 48902, 75986, 98843, 55771, 90009, 79870, 17518, 59785, 89542, 24762, 10279, 93338, 70029, 21928, 71282, 91371, 77451, 31910, 66855, 62236, 62200, 18139, 50002, 33967, 56007, 69016, 94181, 93479, 61836, 74786, 69211, 48757, 8528, 28816, 28591, 47212, 66158, 41185, 49840, 65448, 84122, 44805, 90139, 86111, 18687, 47533, 57355, 7251, 34878, 70901, 51104, 28024, 20957, 7646, 26697, 43775, 75824, 47769, 33413, 52072, 41418, 72342, 40636, 35219, 99437, 76985, 71981, 51196, 54676, 22050, 34334, 59267, 37271, 19083, 44289, 56771, 76028)
Average QPS expected = 56385
Timestamp start: 1621972230378
Timestamp end: 1621974030909

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.8   702.5    63.8   103.8   120.7   253.5   339.7   404.5   457.6   520.1   601.2   738.1  1264.0  8648.6 31488.3  14039.4    14062
read      382.5   809.6    63.8    98.6   112.5   253.7   345.4   411.6   467.8   551.1   714.0   971.6  2737.7  6591.2 32270.1  32016.1    32060
read      338.3   616.5    63.8    97.2   111.1   246.6   330.6   396.7   453.5   522.6   613.4   767.4  1227.0  7256.6 30660.5  16603.6    16585
read      504.6   973.5    59.1   103.8   123.5   303.7   399.9   466.4   531.8   642.7  1016.4  1642.2  3299.1  8558.4 32336.0  54563.9    54644
read      540.0  1161.4    63.8   104.4   125.4   308.8   400.1   465.8   532.2   656.8  1113.5  1768.0  3450.2 12977.0 35530.5  57093.4    57097
read      515.9  1368.4    63.8   101.1   117.6   281.8   380.5   449.9   512.0   622.3   891.0  1392.8  3731.5 29017.0 37268.5  37604.1    37686
read      525.1  1165.5    63.8   102.5   122.3   301.1   394.6   460.6   524.5   639.9  1042.3  1673.8  3498.2 13002.5 35771.4  54289.5    54352
read      645.2  1472.7    59.1   124.4   160.2   354.0   441.4   506.2   571.8   676.8   975.0  2097.9  5970.8 24235.4 36173.8  74921.4    74844
read      499.1   765.3    59.1   138.3   184.9   414.5   501.4   547.7   585.4   638.4   736.3   944.0  2348.9  9087.7 31296.0  99076.6    99040
read      483.6  1022.9    63.8   101.3   118.8   292.4   389.0   456.9   519.7   631.1   952.6  1440.7  3590.5 10344.1 32505.8  43344.5    43301
read      689.1  1559.1    63.8   136.0   181.7   378.9   463.8   536.7   612.1   724.8  1062.7  2001.8  7085.2 28519.7 37018.9  76866.9    76765
read      719.2  1601.0    63.8   216.1   277.1   433.5   516.4   583.8   647.2   737.2   873.1  1548.3  8170.0 27555.4 37164.9  87409.5    87500
read      336.5  1209.4    63.8   108.0   130.7   221.8   275.8   312.7   340.4   371.9   415.7   496.1  2119.9 21494.5 37491.8   6790.9     6840
read      612.9  1418.2    63.8   108.1   132.0   328.1   422.9   489.8   555.7   686.5  1148.4  1938.4  5496.0 23188.7 35743.6  61036.6    60963
read      393.1   753.3    63.8    97.8   112.5   260.9   348.6   407.8   459.5   539.0   715.6  1057.4  3193.6  6113.4 31741.3  37672.9    37698
read      616.8  1401.2    63.8   107.7   131.5   330.1   426.9   493.1   559.8   694.4  1173.9  1990.7  5202.6 19527.9 36696.8  59111.3    59071
read      582.5  1171.7    63.8   106.7   130.6   327.4   424.2   496.2   569.3   720.9  1277.0  1866.2  4331.4 11782.2 32332.4  58278.5    58308
read      681.3  1396.2    63.8   132.6   173.0   370.1   461.6   542.6   631.1   780.7  1434.6  2116.4  5474.1 17629.4 36145.4  74619.7    74780
read      679.6  1376.3    63.8   120.3   154.8   367.6   467.3   545.6   636.8   863.0  1531.9  2090.0  5485.6 16638.9 36011.1  67994.1    67907
