./mcperf -s 10.156.15.226 --loadonly && ./mcperf -s 10.156.15.226 -a 10.156.15.227 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1621939699430
Timestamp end: 1621941500021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      442.7   631.4    93.8   178.6   217.4   385.4   444.6   480.2   507.2   544.1   594.6   685.0  1748.9  8616.4 18621.4   5013.6     5031
read      766.9  1830.4    74.4   143.8   172.5   406.6   521.0   599.4   675.4   795.5  1157.4  2744.5  7428.1 31156.9 37605.4  54597.6    54838
read      839.5  1883.3    74.4   223.0   290.8   496.9   591.2   683.3   779.0   912.0  1130.0  1973.9  8379.5 31245.1 38446.5  74939.2    74868
read      752.1  1590.3    80.4   131.6   154.5   402.6   548.9   653.6   767.8   992.7  1380.6  2894.3  5856.4 29697.1 36112.9  30061.4    30015
read      722.8  1589.0    80.4   132.7   155.7   402.2   537.6   631.5   718.5   866.2  1225.5  2716.9  5384.0 30460.2 37145.9  40814.2    40743
read      505.2   980.7    80.4   126.8   146.1   373.2   489.9   558.9   612.5   687.4   814.5  1057.5  3597.9 13751.4 35907.1  23662.8    23648
read      678.9   939.6    80.4   350.3   402.1   545.1   611.5   686.8   788.7   916.3  1020.7  1135.6  2251.2 10039.7 32376.2  97694.2    97712
read      778.3  1616.5    74.4   148.8   180.7   430.7   556.8   665.8   785.4  1042.3  1616.8  2430.5  5514.7 30493.7 37231.7  53589.4    53672
read      815.7  1777.0    80.4   151.8   188.6   448.2   576.1   690.5   809.4  1050.0  1606.8  2360.3  6482.6 31082.4 37220.7  55575.8    55395
read      556.1  1103.2    74.4   128.8   148.0   376.1   502.4   580.7   641.2   732.5   898.4  1269.7  4026.6 12712.7 32366.3  29475.0    29425
read      493.2   808.3    80.4   139.2   162.0   400.8   504.4   568.8   622.3   697.6   800.8   981.6  2450.5  9814.0 32011.8  15231.2    15173
read      645.9  1242.5    74.4   172.0   226.6   494.5   578.6   638.7   707.9   807.8   942.0  1137.3  4736.4 15458.6 36100.2  82351.0    82475
read      579.2   589.1    74.4   190.5   250.5   507.0   597.0   664.3   728.0   816.6   937.3  1118.9  1673.2  6824.5 29044.1  90481.8    90555
read      655.0  1173.0    80.4   139.2   164.6   407.7   539.0   644.7   753.4   973.1  1449.7  1935.4  3984.9 13881.5 32460.9  47834.0    47944
read      489.5   758.4    74.4   126.7   145.6   371.2   496.6   569.5   624.5   700.3   836.1  1093.0  3245.1  7163.3 31673.9  28472.2    28313
read      531.1  1029.6    74.4   125.9   145.2   372.3   491.9   565.0   619.6   693.2   834.0  1156.4  3985.2 13279.7 32231.2  28650.6    28504
read      462.1   760.2    80.4   127.8   147.0   379.0   487.6   550.6   598.5   658.4   752.8   948.6  1839.0  9645.9 32072.2  22877.8    22886
read      572.3  1187.9    80.4   125.8   145.2   368.6   493.7   570.4   629.8   714.5   865.8  1352.7  4195.8 16790.2 35803.7  35802.6    35717
read      459.1   782.2    80.4   133.4   155.8   377.0   469.0   527.2   572.8   634.0   735.1   909.2  1680.0 11805.8 31668.4  14919.2    14828
read      553.3   998.8    74.4   151.4   190.5   448.1   535.7   588.6   639.8   723.1   849.3  1051.9  2502.5 13293.4 32372.9  81591.4    81704
read      821.7  1950.5    74.4   146.2   180.1   431.7   550.2   654.2   757.1   927.2  1480.4  2410.0  8299.1 31423.4 39411.7  55525.8    55771
read      818.2  1793.4    80.4   315.8   366.1   522.3   608.7   688.1   780.8   883.4  1010.4  1314.7  8260.5 31171.3 37915.0  85091.4    85226
