timestamp, process name, event
1622160242.911941, controller, START
1622160243.3714046, ferret, START
1622160243.6887925, memchached, 4
1622160243.711188, canneal, START
1622160252.5329, canneal, PAUSE
1622160252.603703, ferret, PAUSE
1622160252.8946228, canneal, UNPAUSE
1622160253.1863554, freqmine, START
1622160253.8878384, dedup, START
1622160262.5577216, dedup, PAUSE
1622160262.964525, canneal, PAUSE
1622160263.0181038, freqmine, PAUSE
1622160263.3142705, dedup, UNPAUSE
1622160263.6120427, splash2x-fft, START
1622160277.005385, canneal, UNPAUSE
1622160284.5599082, dedup, PAUSE
1622160285.1101007, splash2x-fft, PAUSE
1622160285.6923919, canneal, PAUSE
1622160286.2996895, ferret, UNPAUSE
1622160298.4268432, dedup, UNPAUSE
1622160302.3556023, dedup, PAUSE
1622160302.42346, ferret, PAUSE
1622160302.7845, dedup, UNPAUSE
1622160303.0976193, splash2x-fft, UNPAUSE
1622160312.5315912, canneal, UNPAUSE
1622160312.836346, dedup, PAUSE
1622160313.072218, splash2x-fft, PAUSE
1622160313.107619, canneal, PAUSE
1622160313.392096, canneal, UNPAUSE
1622160313.6842535, freqmine, UNPAUSE
1622160313.9729743, dedup, UNPAUSE
1622160314.976553, dedup, PAUSE
1622160315.0159981, canneal, PAUSE
1622160315.0674574, freqmine, PAUSE
1622160315.3499823, canneal, UNPAUSE
1622160315.6440709, freqmine, UNPAUSE
1622160315.9365888, dedup, UNPAUSE
1622160316.2578306, dedup, PAUSE
1622160316.311513, canneal, PAUSE
1622160316.3468962, freqmine, PAUSE
1622160316.631937, ferret, UNPAUSE
1622160334.0506823, dedup, UNPAUSE
1622160335.6854572, dedup, PAUSE
1622160335.721274, ferret, PAUSE
1622160336.0166137, ferret, UNPAUSE
1622160340.6508956, dedup, UNPAUSE
1622160342.2726815, dedup, PAUSE
1622160342.3124971, ferret, PAUSE
1622160342.6020026, ferret, UNPAUSE
1622160342.8995261, dedup, UNPAUSE
1622160352.5340612, dedup, PAUSE
1622160352.660685, ferret, PAUSE
1622160352.9479833, canneal, UNPAUSE
1622160353.2469127, dedup, UNPAUSE
1622160362.3895233, dedup, PAUSE
1622160362.4472954, canneal, PAUSE
1622160362.7406352, canneal, UNPAUSE
1622160363.0424316, freqmine, UNPAUSE
1622160363.353403, canneal, PAUSE
1622160363.4416623, freqmine, PAUSE
1622160363.8196306, canneal, UNPAUSE
1622160364.1141067, freqmine, UNPAUSE
1622160364.4225674, canneal, PAUSE
1622160364.48123, freqmine, PAUSE
1622160364.7884023, canneal, UNPAUSE
1622160365.0883415, freqmine, UNPAUSE
1622160365.3968446, canneal, PAUSE
1622160365.4611456, freqmine, PAUSE
1622160365.7615428, canneal, UNPAUSE
1622160366.0527413, freqmine, UNPAUSE
1622160366.3637412, canneal, PAUSE
1622160366.4393249, freqmine, PAUSE
1622160366.7361696, canneal, UNPAUSE
1622160367.0285463, freqmine, UNPAUSE
1622160367.333701, canneal, PAUSE
1622160367.398974, freqmine, PAUSE
1622160367.7528138, canneal, UNPAUSE
1622160368.0406342, freqmine, UNPAUSE
1622160368.3495653, canneal, PAUSE
1622160368.3935359, freqmine, PAUSE
1622160368.7148528, canneal, UNPAUSE
1622160369.0131443, freqmine, UNPAUSE
1622160369.342178, canneal, PAUSE
1622160369.3873098, freqmine, PAUSE
1622160369.8521893, dedup, UNPAUSE
1622160370.154776, splash2x-fft, UNPAUSE
1622160372.538227, canneal, UNPAUSE
1622160372.8652637, dedup, PAUSE
1622160372.9062119, splash2x-fft, PAUSE
1622160372.9432428, canneal, PAUSE
1622160373.2295024, ferret, UNPAUSE
1622160385.2765503, dedup, UNPAUSE
1622160393.112261, dedup, PAUSE
1622160393.1544404, ferret, PAUSE
1622160393.4426987, ferret, UNPAUSE
1622160395.284248, dedup, UNPAUSE
1622160412.728378, dedup, PAUSE
1622160412.7746127, ferret, PAUSE
1622160413.06032, ferret, UNPAUSE
1622160414.8921216, dedup, UNPAUSE
1622160415.1850128, dedup, PAUSE
1622160415.2154596, ferret, PAUSE
1622160415.499465, ferret, UNPAUSE
1622160415.551194, dedup, UNPAUSE
1622160415.853869, dedup, PAUSE
1622160415.8846679, ferret, PAUSE
1622160416.1612947, ferret, UNPAUSE
1622160416.20817, dedup, UNPAUSE
1622160416.5316186, dedup, PAUSE
1622160416.5636406, ferret, PAUSE
1622160416.8409288, ferret, UNPAUSE
1622160416.8850398, dedup, UNPAUSE
1622160417.1897037, dedup, PAUSE
1622160417.225113, ferret, PAUSE
1622160417.5263994, ferret, UNPAUSE
1622160424.4675896, dedup, UNPAUSE
1622160431.2965496, dedup, FINISH
1622160435.1908853, ferret, PAUSE
1622160435.4758515, ferret, UNPAUSE
1622160452.8726757, ferret, PAUSE
1622160453.1678357, canneal, UNPAUSE
1622160453.4529712, freqmine, UNPAUSE
1622160453.7591906, canneal, PAUSE
1622160453.8139994, freqmine, PAUSE
1622160454.1146154, canneal, UNPAUSE
1622160454.4073126, freqmine, UNPAUSE
1622160454.7031345, canneal, PAUSE
1622160454.7853415, freqmine, PAUSE
1622160455.082845, canneal, UNPAUSE
1622160455.36891, freqmine, UNPAUSE
1622160455.666803, canneal, PAUSE
1622160455.7143073, freqmine, PAUSE
1622160455.9982958, canneal, UNPAUSE
1622160456.2894394, freqmine, UNPAUSE
1622160456.609192, canneal, PAUSE
1622160456.6551962, freqmine, PAUSE
1622160457.0181394, canneal, UNPAUSE
1622160457.3083608, freqmine, UNPAUSE
1622160457.6066773, canneal, PAUSE
1622160457.6958075, freqmine, PAUSE
1622160458.0087404, canneal, UNPAUSE
1622160458.3009632, freqmine, UNPAUSE
1622160458.5971963, canneal, PAUSE
1622160458.680899, freqmine, PAUSE
1622160458.9696493, canneal, UNPAUSE
1622160459.2694938, freqmine, UNPAUSE
1622160459.5786233, canneal, PAUSE
1622160459.6412725, freqmine, PAUSE
1622160460.0388186, canneal, UNPAUSE
1622160460.3263137, freqmine, UNPAUSE
1622160460.6242113, canneal, PAUSE
1622160460.734031, freqmine, PAUSE
1622160461.0565944, canneal, UNPAUSE
1622160461.3498483, freqmine, UNPAUSE
1622160461.6613877, canneal, PAUSE
1622160461.7007813, freqmine, PAUSE
1622160461.9997199, canneal, UNPAUSE
1622160462.2860947, freqmine, UNPAUSE
1622160462.587599, canneal, PAUSE
1622160462.7297928, freqmine, PAUSE
1622160463.0191793, canneal, UNPAUSE
1622160463.315304, freqmine, UNPAUSE
1622160463.6227515, canneal, PAUSE
1622160463.7093623, freqmine, PAUSE
1622160463.988977, canneal, UNPAUSE
1622160464.274628, freqmine, UNPAUSE
1622160464.5796006, canneal, PAUSE
1622160464.6381924, freqmine, PAUSE
1622160464.965301, canneal, UNPAUSE
1622160465.2511852, freqmine, UNPAUSE
1622160465.5729206, canneal, PAUSE
1622160465.6247923, freqmine, PAUSE
1622160465.9424481, canneal, UNPAUSE
1622160466.235214, freqmine, UNPAUSE
1622160466.53999, canneal, PAUSE
1622160466.5977106, freqmine, PAUSE
1622160466.9116414, canneal, UNPAUSE
1622160467.2070763, freqmine, UNPAUSE
1622160467.510636, canneal, PAUSE
1622160467.5592992, freqmine, PAUSE
1622160467.8486092, ferret, UNPAUSE
1622160473.767173, splash2x-fft, UNPAUSE
1622160482.588757, splash2x-fft, PAUSE
1622160482.6247087, ferret, PAUSE
1622160482.9376848, ferret, UNPAUSE
1622160500.6017027, splash2x-fft, UNPAUSE
1622160502.441987, splash2x-fft, PAUSE
1622160502.4938748, ferret, PAUSE
1622160502.780872, canneal, UNPAUSE
1622160503.0664284, freqmine, UNPAUSE
1622160503.3658884, canneal, PAUSE
1622160503.4135532, freqmine, PAUSE
1622160503.7456589, canneal, UNPAUSE
1622160504.0337687, freqmine, UNPAUSE
1622160504.3327515, canneal, PAUSE
1622160504.4124193, freqmine, PAUSE
1622160504.6910067, canneal, UNPAUSE
1622160504.9807518, freqmine, UNPAUSE
1622160505.2804458, canneal, PAUSE
1622160505.3336704, freqmine, PAUSE
1622160505.6413126, canneal, UNPAUSE
1622160505.9303489, freqmine, UNPAUSE
1622160506.2391982, canneal, PAUSE
1622160506.2900746, freqmine, PAUSE
1622160506.5931013, canneal, UNPAUSE
1622160506.8930018, freqmine, UNPAUSE
1622160507.1938772, canneal, PAUSE
1622160507.2373893, freqmine, PAUSE
1622160507.5627067, canneal, UNPAUSE
1622160507.8518999, freqmine, UNPAUSE
1622160508.1518176, canneal, PAUSE
1622160508.2054448, freqmine, PAUSE
1622160508.5124698, canneal, UNPAUSE
1622160508.8065257, freqmine, UNPAUSE
1622160509.1041799, canneal, PAUSE
1622160509.1742053, freqmine, PAUSE
1622160509.522255, canneal, UNPAUSE
1622160509.828899, freqmine, UNPAUSE
1622160510.1283712, canneal, PAUSE
1622160510.1798062, freqmine, PAUSE
1622160510.5618942, canneal, UNPAUSE
1622160510.8589308, freqmine, UNPAUSE
1622160511.1456983, canneal, PAUSE
1622160511.1923842, freqmine, PAUSE
1622160511.4931123, canneal, UNPAUSE
1622160511.785842, freqmine, UNPAUSE
1622160512.0832357, canneal, PAUSE
1622160512.133526, freqmine, PAUSE
1622160512.427589, ferret, UNPAUSE
1622160545.1288497, splash2x-fft, UNPAUSE
1622160572.557162, splash2x-fft, PAUSE
1622160572.6670656, ferret, PAUSE
1622160572.9562025, canneal, UNPAUSE
1622160573.255416, splash2x-fft, UNPAUSE
1622160574.8696208, splash2x-fft, PAUSE
1622160574.9317489, canneal, PAUSE
1622160575.21421, canneal, UNPAUSE
1622160575.5103874, freqmine, UNPAUSE
1622160575.825113, canneal, PAUSE
1622160575.873238, freqmine, PAUSE
1622160576.1651533, canneal, UNPAUSE
1622160576.4692543, splash2x-fft, UNPAUSE
1622160576.774031, splash2x-fft, PAUSE
1622160576.8498418, canneal, PAUSE
1622160577.1347914, canneal, UNPAUSE
1622160577.425539, splash2x-fft, UNPAUSE
1622160577.720003, splash2x-fft, PAUSE
1622160577.7912583, canneal, PAUSE
1622160578.080585, canneal, UNPAUSE
1622160578.370208, freqmine, UNPAUSE
1622160578.6783342, canneal, PAUSE
1622160578.7788644, freqmine, PAUSE
1622160579.0834394, canneal, UNPAUSE
1622160579.3743286, splash2x-fft, UNPAUSE
1622160580.1914353, splash2x-fft, PAUSE
1622160580.2306674, canneal, PAUSE
1622160580.514989, canneal, UNPAUSE
1622160580.8088975, freqmine, UNPAUSE
1622160581.117885, canneal, PAUSE
1622160581.1619222, freqmine, PAUSE
1622160581.4724731, canneal, UNPAUSE
1622160581.7652094, freqmine, UNPAUSE
1622160582.0805047, canneal, PAUSE
1622160582.162959, freqmine, PAUSE
1622160582.5221066, canneal, UNPAUSE
1622160582.8084028, freqmine, UNPAUSE
1622160583.105558, canneal, PAUSE
1622160583.1523352, freqmine, PAUSE
1622160583.437171, canneal, UNPAUSE
1622160583.7314684, freqmine, UNPAUSE
1622160584.5545855, canneal, PAUSE
1622160584.622303, freqmine, PAUSE
1622160584.9314985, canneal, UNPAUSE
1622160585.2203193, freqmine, UNPAUSE
1622160585.5268545, canneal, PAUSE
1622160585.576444, freqmine, PAUSE
1622160585.8733659, canneal, UNPAUSE
1622160586.171642, freqmine, UNPAUSE
1622160586.4978712, canneal, PAUSE
1622160586.5359597, freqmine, PAUSE
1622160586.8201945, canneal, UNPAUSE
1622160587.112365, freqmine, UNPAUSE
1622160587.4113123, canneal, PAUSE
1622160587.5337694, freqmine, PAUSE
1622160587.949061, splash2x-fft, UNPAUSE
1622160588.2381768, canneal, UNPAUSE
1622160589.5691764, splash2x-fft, PAUSE
1622160589.6128376, canneal, PAUSE
1622160589.8967543, canneal, UNPAUSE
1622160590.1817234, splash2x-fft, UNPAUSE
1622160593.0681322, freqmine, UNPAUSE
1622160593.3970263, splash2x-fft, PAUSE
1622160593.4307885, canneal, PAUSE
1622160593.482964, freqmine, PAUSE
1622160593.7994313, canneal, UNPAUSE
1622160594.0895538, freqmine, UNPAUSE
1622160594.3906267, canneal, PAUSE
1622160594.4375405, freqmine, PAUSE
1622160594.7377818, canneal, UNPAUSE
1622160595.030261, freqmine, UNPAUSE
1622160595.3287413, canneal, PAUSE
1622160595.3874137, freqmine, PAUSE
1622160595.6891735, canneal, UNPAUSE
1622160595.9826999, freqmine, UNPAUSE
1622160596.2836628, canneal, PAUSE
1622160596.315853, freqmine, PAUSE
1622160596.6058288, canneal, UNPAUSE
1622160596.8987248, freqmine, UNPAUSE
