timestamp, process name, event
1621972227.9457877, controller, START
1621972228.1556382, ferret, START
1621972228.4079244, memchached, 4
1621972228.4238281, canneal, START
1621972261.1273375, canneal, PAUSE
1621972261.1656332, ferret, PAUSE
1621972261.447664, ferret, UNPAUSE
1621972283.6353204, dedup, START
1621972291.14284, dedup, PAUSE
1621972291.1729596, ferret, PAUSE
1621972291.4686334, ferret, UNPAUSE
1621972312.369434, ferret, PAUSE
1621972313.5948262, canneal, UNPAUSE
1621972315.0457351, freqmine, START
1621972317.37877, dedup, UNPAUSE
1621972317.6864457, dedup, PAUSE
1621972317.7596574, canneal, PAUSE
1621972317.790223, freqmine, PAUSE
1621972318.0671089, canneal, UNPAUSE
1621972318.3608255, dedup, UNPAUSE
1621972319.4343553, dedup, PAUSE
1621972319.4788768, canneal, PAUSE
1621972319.7532935, canneal, UNPAUSE
1621972320.036829, freqmine, UNPAUSE
1621972320.5818222, dedup, UNPAUSE
1621972320.8732495, dedup, PAUSE
1621972320.9043806, canneal, PAUSE
1621972320.9326332, freqmine, PAUSE
1621972321.2073112, ferret, UNPAUSE
1621972330.1550522, dedup, UNPAUSE
1621972330.985072, dedup, PAUSE
1621972331.0384235, ferret, PAUSE
1621972331.327269, ferret, UNPAUSE
1621972352.249509, dedup, UNPAUSE
1621972361.2572083, dedup, PAUSE
1621972361.2902331, ferret, PAUSE
1621972361.592885, ferret, UNPAUSE
1621972461.4225235, dedup, UNPAUSE
1621972501.0651383, dedup, PAUSE
1621972501.0949345, ferret, PAUSE
1621972501.392538, ferret, UNPAUSE
1621972514.1773794, ferret, PAUSE
1621972514.4711478, canneal, UNPAUSE
1621972514.764993, freqmine, UNPAUSE
1621972515.0507011, dedup, UNPAUSE
1621972515.359621, dedup, PAUSE
1621972515.406987, canneal, PAUSE
1621972515.44277, freqmine, PAUSE
1621972515.740124, canneal, UNPAUSE
1621972516.0303025, freqmine, UNPAUSE
1621972516.3267567, dedup, UNPAUSE
1621972516.6354778, dedup, PAUSE
1621972516.7124162, canneal, PAUSE
1621972516.758299, freqmine, PAUSE
1621972517.0405154, canneal, UNPAUSE
1621972517.3269389, dedup, UNPAUSE
1621972518.9162912, dedup, PAUSE
1621972518.9683146, canneal, PAUSE
1621972519.247505, canneal, UNPAUSE
1621972519.536761, dedup, UNPAUSE
1621972519.829858, dedup, PAUSE
1621972519.858876, canneal, PAUSE
1621972520.1376052, ferret, UNPAUSE
1621972520.953098, ferret, PAUSE
1621972521.2808845, canneal, UNPAUSE
1621972521.5721865, freqmine, UNPAUSE
1621972521.865234, canneal, PAUSE
1621972521.9178758, freqmine, PAUSE
1621972522.1947489, canneal, UNPAUSE
1621972522.4897356, dedup, UNPAUSE
1621972522.7803097, dedup, PAUSE
1621972522.9139478, canneal, PAUSE
1621972523.1929188, canneal, UNPAUSE
1621972523.4763997, freqmine, UNPAUSE
1621972523.7687957, canneal, PAUSE
1621972523.795016, freqmine, PAUSE
1621972524.0769668, canneal, UNPAUSE
1621972524.3747225, freqmine, UNPAUSE
1621972524.6746624, canneal, PAUSE
1621972524.7827554, freqmine, PAUSE
1621972525.0599792, canneal, UNPAUSE
1621972525.3453178, freqmine, UNPAUSE
1621972525.6382453, canneal, PAUSE
1621972525.6767044, freqmine, PAUSE
1621972525.9615982, canneal, UNPAUSE
1621972526.252987, freqmine, UNPAUSE
1621972526.5499287, canneal, PAUSE
1621972526.6079638, freqmine, PAUSE
1621972526.889646, ferret, UNPAUSE
1621972529.5036902, ferret, PAUSE
1621972529.7996502, canneal, UNPAUSE
1621972530.0799613, dedup, UNPAUSE
1621972530.37416, dedup, PAUSE
1621972530.4276628, canneal, PAUSE
1621972530.7075336, canneal, UNPAUSE
1621972531.0054607, ferret, UNPAUSE
1621972531.8221955, canneal, PAUSE
1621972531.8625686, ferret, PAUSE
1621972532.1392496, ferret, UNPAUSE
1621972560.2247555, dedup, UNPAUSE
1621972560.7718828, dedup, PAUSE
1621972560.8181796, ferret, PAUSE
1621972561.0993624, ferret, UNPAUSE
1621972562.9259067, ferret, PAUSE
1621972563.2233372, canneal, UNPAUSE
1621972563.5051367, freqmine, UNPAUSE
1621972563.804335, canneal, PAUSE
1621972563.8634732, freqmine, PAUSE
1621972564.142649, canneal, UNPAUSE
1621972564.4360595, freqmine, UNPAUSE
1621972564.7299151, canneal, PAUSE
1621972564.7749693, freqmine, PAUSE
1621972565.0538113, canneal, UNPAUSE
1621972565.3459444, freqmine, UNPAUSE
1621972566.1706102, canneal, PAUSE
1621972566.2234542, freqmine, PAUSE
1621972566.5016816, canneal, UNPAUSE
1621972566.7899897, dedup, UNPAUSE
1621972567.0814776, dedup, PAUSE
1621972567.1419532, canneal, PAUSE
1621972567.4201846, canneal, UNPAUSE
1621972567.7015605, freqmine, UNPAUSE
1621972568.2550848, canneal, PAUSE
1621972568.292703, freqmine, PAUSE
1621972568.5839593, canneal, UNPAUSE
1621972568.8742912, freqmine, UNPAUSE
1621972569.940012, canneal, PAUSE
1621972570.0273204, freqmine, PAUSE
1621972570.316364, canneal, UNPAUSE
1621972570.6064541, freqmine, UNPAUSE
1621972571.1710358, dedup, UNPAUSE
1621972571.4685218, dedup, PAUSE
1621972571.5181377, canneal, PAUSE
1621972571.5499988, freqmine, PAUSE
1621972571.8277621, ferret, UNPAUSE
1621972777.526883, ferret, PAUSE
1621972777.813368, canneal, UNPAUSE
1621972778.1122553, freqmine, UNPAUSE
1621972779.18316, canneal, PAUSE
1621972779.2399457, freqmine, PAUSE
1621972779.6314635, canneal, UNPAUSE
1621972779.9199643, freqmine, UNPAUSE
1621972780.2229607, canneal, PAUSE
1621972780.2667098, freqmine, PAUSE
1621972780.65471, canneal, UNPAUSE
1621972780.934517, dedup, UNPAUSE
1621972792.336252, splash2x-fft, START
1621972793.5624933, freqmine, UNPAUSE
1621972796.2642798, freqmine, PAUSE
1621972796.2990386, dedup, PAUSE
1621972796.3479335, splash2x-fft, PAUSE
1621972796.3746614, canneal, PAUSE
1621972796.6466913, canneal, UNPAUSE
1621972796.926882, freqmine, UNPAUSE
1621972801.076622, canneal, PAUSE
1621972801.1212032, freqmine, PAUSE
1621972801.4009225, canneal, UNPAUSE
1621972801.6808076, dedup, UNPAUSE
1621972802.2246468, dedup, PAUSE
1621972802.2508833, canneal, PAUSE
1621972802.5320382, canneal, UNPAUSE
1621972802.8235755, freqmine, UNPAUSE
1621972803.1321259, canneal, PAUSE
1621972803.186239, freqmine, PAUSE
1621972803.5056117, canneal, UNPAUSE
1621972803.801092, dedup, UNPAUSE
1621972804.09716, dedup, PAUSE
1621972804.1244893, canneal, PAUSE
1621972804.4053307, canneal, UNPAUSE
1621972804.6917632, freqmine, UNPAUSE
1621972804.9845307, canneal, PAUSE
1621972805.0600636, freqmine, PAUSE
1621972805.347285, canneal, UNPAUSE
1621972805.63847, dedup, UNPAUSE
1621972805.9294865, dedup, PAUSE
1621972805.9625213, canneal, PAUSE
1621972806.2360642, canneal, UNPAUSE
1621972806.5206265, dedup, UNPAUSE
1621972809.9031668, dedup, PAUSE
1621972809.9528077, canneal, PAUSE
1621972810.2325237, canneal, UNPAUSE
1621972810.5342343, dedup, UNPAUSE
1621972811.0777886, splash2x-fft, UNPAUSE
1621972816.337953, dedup, FINISH
1621972817.1043909, freqmine, UNPAUSE
1621972821.0280766, splash2x-fft, PAUSE
1621972821.0630255, canneal, PAUSE
1621972821.0926273, freqmine, PAUSE
1621972821.385275, canneal, UNPAUSE
1621972821.9279258, splash2x-fft, UNPAUSE
1621972831.5160575, freqmine, UNPAUSE
1621972861.1364915, splash2x-fft, PAUSE
1621972861.1832638, canneal, PAUSE
1621972861.2412384, freqmine, PAUSE
1621972861.5535815, canneal, UNPAUSE
1621972861.8440988, splash2x-fft, UNPAUSE
1621972871.1771107, splash2x-fft, PAUSE
1621972871.246773, canneal, PAUSE
1621972871.5400517, canneal, UNPAUSE
1621972881.012635, freqmine, UNPAUSE
1621972891.3200502, canneal, PAUSE
1621972891.4064412, freqmine, PAUSE
1621972891.6938503, canneal, UNPAUSE
1621972891.985235, splash2x-fft, UNPAUSE
1621972913.9385848, splash2x-fft, PAUSE
1621972914.0331666, canneal, PAUSE
1621972914.3214686, canneal, UNPAUSE
1621972920.9822133, splash2x-fft, UNPAUSE
1621972922.036101, freqmine, UNPAUSE
1621972941.121151, splash2x-fft, PAUSE
1621972941.166135, canneal, PAUSE
1621972941.1956365, freqmine, PAUSE
1621972941.4873369, canneal, UNPAUSE
1621972941.7627368, splash2x-fft, UNPAUSE
1621972961.115844, freqmine, UNPAUSE
1621972976.214736, splash2x-fft, PAUSE
1621972976.2504208, canneal, PAUSE
1621972976.305498, freqmine, PAUSE
1621972976.5846405, canneal, UNPAUSE
1621972976.863343, splash2x-fft, UNPAUSE
1621972979.9800966, freqmine, UNPAUSE
1621972981.1010058, splash2x-fft, PAUSE
1621972981.2590246, canneal, PAUSE
1621972981.2899492, freqmine, PAUSE
1621972981.580729, canneal, UNPAUSE
1621972981.883326, splash2x-fft, UNPAUSE
1621972983.9809644, splash2x-fft, PAUSE
1621972984.022831, canneal, PAUSE
1621972984.3494217, canneal, UNPAUSE
1621972985.9210455, splash2x-fft, UNPAUSE
1621972988.8282297, splash2x-fft, PAUSE
1621972988.8739042, canneal, PAUSE
1621972989.15131, canneal, UNPAUSE
1621972989.4373276, splash2x-fft, UNPAUSE
1621973001.080212, freqmine, UNPAUSE
1621973011.0174932, splash2x-fft, PAUSE
1621973011.0638227, canneal, PAUSE
1621973011.1021404, freqmine, PAUSE
1621973011.3865995, canneal, UNPAUSE
1621973012.1927192, splash2x-fft, UNPAUSE
1621973021.5520432, splash2x-fft, PAUSE
1621973021.6288607, canneal, PAUSE
1621973021.9101036, canneal, UNPAUSE
1621973031.1337817, splash2x-fft, UNPAUSE
1621973040.9937146, freqmine, UNPAUSE
1621973051.1844702, splash2x-fft, PAUSE
1621973051.2320125, canneal, PAUSE
1621973051.2797916, freqmine, PAUSE
1621973051.5549138, canneal, UNPAUSE
1621973051.860115, splash2x-fft, UNPAUSE
1621973061.715676, freqmine, UNPAUSE
1621973074.4649162, splash2x-fft, FINISH
1621973101.2548528, canneal, PAUSE
1621973101.301792, freqmine, PAUSE
1621973101.576243, canneal, UNPAUSE
1621973101.873075, freqmine, UNPAUSE
1621973102.4276285, canneal, PAUSE
1621973102.488883, freqmine, PAUSE
1621973102.7677364, canneal, UNPAUSE
1621973103.0721767, freqmine, UNPAUSE
1621973103.672248, canneal, PAUSE
1621973103.7147553, freqmine, PAUSE
1621973104.0196075, canneal, UNPAUSE
1621973104.3119512, freqmine, UNPAUSE
1621973104.6044722, canneal, PAUSE
1621973104.6509483, freqmine, PAUSE
1621973104.9421895, canneal, UNPAUSE
1621973105.235865, freqmine, UNPAUSE
1621973105.528171, canneal, PAUSE
1621973105.5682113, freqmine, PAUSE
1621973105.8482103, canneal, UNPAUSE
1621973106.1337216, freqmine, UNPAUSE
1621973106.4279609, canneal, PAUSE
1621973106.476936, freqmine, PAUSE
1621973106.7570028, canneal, UNPAUSE
1621973107.0630925, freqmine, UNPAUSE
1621973107.351041, canneal, PAUSE
1621973107.5103526, freqmine, PAUSE
1621973107.7875726, canneal, UNPAUSE
1621973108.0748873, freqmine, UNPAUSE
1621973108.3759587, canneal, PAUSE
1621973108.4053378, freqmine, PAUSE
1621973108.6850736, canneal, UNPAUSE
1621973108.9803748, freqmine, UNPAUSE
1621973109.27344, canneal, PAUSE
1621973109.3078063, freqmine, PAUSE
