timestamp, process name, event
1622110238.7479427, controller, START
1622110239.0512877, ferret, START
1622110239.360346, memchached, 4
1622110239.386159, canneal, START
1622110242.1186512, canneal, PAUSE
1622110242.2130375, ferret, PAUSE
1622110242.528103, canneal, UNPAUSE
1622110242.8277943, freqmine, START
1622110243.5909913, dedup, START
1622110244.5619347, dedup, PAUSE
1622110244.616902, canneal, PAUSE
1622110244.6666758, freqmine, PAUSE
1622110244.9534488, canneal, UNPAUSE
1622110245.244963, ferret, UNPAUSE
1622110245.559531, canneal, PAUSE
1622110245.6318796, ferret, PAUSE
1622110245.9809353, canneal, UNPAUSE
1622110246.281323, freqmine, UNPAUSE
1622110246.5831356, dedup, UNPAUSE
1622110246.894436, dedup, PAUSE
1622110246.9389384, canneal, PAUSE
1622110246.9773178, freqmine, PAUSE
1622110247.262968, ferret, UNPAUSE
1622110252.413499, dedup, UNPAUSE
1622110252.72613, dedup, PAUSE
1622110252.8076053, ferret, PAUSE
1622110253.103447, ferret, UNPAUSE
1622110253.4025886, dedup, UNPAUSE
1622110253.7231622, dedup, PAUSE
1622110253.7861192, ferret, PAUSE
1622110254.0821712, ferret, UNPAUSE
1622110255.4089582, dedup, UNPAUSE
1622110255.7307699, dedup, PAUSE
1622110255.804057, ferret, PAUSE
1622110256.128553, ferret, UNPAUSE
1622110259.2458205, dedup, UNPAUSE
1622110259.5740929, dedup, PAUSE
1622110259.6231825, ferret, PAUSE
1622110259.9271069, ferret, UNPAUSE
1622110273.0073488, dedup, UNPAUSE
1622110273.3270056, dedup, PAUSE
1622110273.3907604, ferret, PAUSE
1622110273.6858618, ferret, UNPAUSE
1622110274.021268, dedup, UNPAUSE
1622110274.3227499, dedup, PAUSE
1622110274.3690507, ferret, PAUSE
1622110274.6778595, ferret, UNPAUSE
1622110279.8561764, dedup, UNPAUSE
1622110280.1633627, dedup, PAUSE
1622110280.2104793, ferret, PAUSE
1622110280.4892204, ferret, UNPAUSE
1622110280.7927792, dedup, UNPAUSE
1622110281.114646, dedup, PAUSE
1622110281.7731843, ferret, PAUSE
1622110282.0549023, dedup, UNPAUSE
1622110282.3423536, canneal, UNPAUSE
1622110284.1532407, freqmine, UNPAUSE
1622110336.0890496, dedup, PAUSE
1622110338.565891, canneal, PAUSE
1622110339.8117626, freqmine, PAUSE
1622110341.1059153, ferret, UNPAUSE
1622110341.6677742, ferret, PAUSE
1622110341.9703329, canneal, UNPAUSE
1622110342.2742417, dedup, UNPAUSE
1622110342.5776505, dedup, PAUSE
1622110342.6139982, canneal, PAUSE
1622110342.9041915, canneal, UNPAUSE
1622110343.2063344, dedup, UNPAUSE
1622110343.5156744, splash2x-fft, START
1622110360.3907824, dedup, PAUSE
1622110360.4550683, splash2x-fft, PAUSE
1622110360.4890184, canneal, PAUSE
1622110360.7672274, ferret, UNPAUSE
1622110362.6100407, ferret, PAUSE
1622110362.9053125, canneal, UNPAUSE
1622110363.1914577, freqmine, UNPAUSE
1622110363.511366, dedup, UNPAUSE
1622110377.0513487, dedup, PAUSE
1622110377.0982513, canneal, PAUSE
1622110377.1405604, freqmine, PAUSE
1622110377.8402364, canneal, UNPAUSE
1622110378.1356792, dedup, UNPAUSE
1622110378.450855, dedup, PAUSE
1622110378.511148, canneal, PAUSE
1622110378.807302, canneal, UNPAUSE
1622110379.1047666, dedup, UNPAUSE
1622110379.4065013, dedup, PAUSE
1622110379.5215893, canneal, PAUSE
1622110379.818371, dedup, UNPAUSE
1622110380.1196034, splash2x-fft, UNPAUSE
1622110381.196868, ferret, UNPAUSE
1622110385.3167484, splash2x-fft, PAUSE
1622110385.6523728, dedup, PAUSE
1622110385.7253354, ferret, PAUSE
1622110386.047131, dedup, UNPAUSE
1622110386.3431711, splash2x-fft, UNPAUSE
1622110389.3556578, canneal, UNPAUSE
1622110389.6798675, dedup, PAUSE
1622110389.7311144, splash2x-fft, PAUSE
1622110389.7657454, canneal, PAUSE
1622110390.0546684, canneal, UNPAUSE
1622110390.3619273, freqmine, UNPAUSE
1622110390.668022, dedup, UNPAUSE
1622110404.0385892, dedup, PAUSE
1622110404.1264029, canneal, PAUSE
1622110404.184782, freqmine, PAUSE
1622110404.4971745, canneal, UNPAUSE
1622110404.79382, freqmine, UNPAUSE
1622110405.1166072, canneal, PAUSE
1622110405.1553357, freqmine, PAUSE
1622110405.5491798, canneal, UNPAUSE
1622110405.8452158, freqmine, UNPAUSE
1622110406.1531284, canneal, PAUSE
1622110406.2590814, freqmine, PAUSE
1622110406.6636248, dedup, UNPAUSE
1622110406.9537833, canneal, UNPAUSE
1622110407.2552457, dedup, PAUSE
1622110407.311797, canneal, PAUSE
1622110407.599727, canneal, UNPAUSE
1622110407.9423962, freqmine, UNPAUSE
1622110408.2582934, canneal, PAUSE
1622110408.3025293, freqmine, PAUSE
1622110408.6061697, canneal, UNPAUSE
1622110408.8954196, freqmine, UNPAUSE
1622110409.1982741, canneal, PAUSE
1622110409.2511494, freqmine, PAUSE
1622110409.6248407, canneal, UNPAUSE
1622110409.9435968, freqmine, UNPAUSE
1622110410.2591689, canneal, PAUSE
1622110410.3552587, freqmine, PAUSE
1622110410.6507008, canneal, UNPAUSE
1622110410.9402509, ferret, UNPAUSE
1622110411.2508214, canneal, PAUSE
1622110411.28652, ferret, PAUSE
1622110411.591615, ferret, UNPAUSE
1622110432.3507626, dedup, UNPAUSE
1622110432.7005713, dedup, PAUSE
1622110432.7438977, ferret, PAUSE
1622110433.0328352, ferret, UNPAUSE
1622110434.1013901, dedup, UNPAUSE
1622110434.4180841, dedup, PAUSE
1622110434.455673, ferret, PAUSE
1622110434.7414038, ferret, UNPAUSE
1622110442.2249382, ferret, PAUSE
1622110442.5394945, ferret, UNPAUSE
1622110443.0918183, ferret, PAUSE
1622110443.4241686, canneal, UNPAUSE
1622110443.7227468, freqmine, UNPAUSE
1622110444.0253193, canneal, PAUSE
1622110444.0930083, freqmine, PAUSE
1622110444.4498854, canneal, UNPAUSE
1622110444.7432134, freqmine, UNPAUSE
1622110445.045699, canneal, PAUSE
1622110445.0987747, freqmine, PAUSE
1622110445.4157596, canneal, UNPAUSE
1622110445.7041824, freqmine, UNPAUSE
1622110446.0068572, canneal, PAUSE
1622110446.1365366, freqmine, PAUSE
1622110446.5211606, dedup, UNPAUSE
1622110446.8161712, canneal, UNPAUSE
1622110447.381616, dedup, PAUSE
1622110447.4178257, canneal, PAUSE
1622110447.709024, canneal, UNPAUSE
1622110448.0062728, freqmine, UNPAUSE
1622110448.3129315, canneal, PAUSE
1622110448.3841822, freqmine, PAUSE
1622110448.6814518, canneal, UNPAUSE
1622110448.9672036, freqmine, UNPAUSE
1622110449.2798965, canneal, PAUSE
1622110449.325919, freqmine, PAUSE
1622110449.7268639, dedup, UNPAUSE
1622110450.0298555, canneal, UNPAUSE
1622110450.3337364, dedup, PAUSE
1622110450.3919392, canneal, PAUSE
1622110450.6776257, canneal, UNPAUSE
1622110450.9831634, freqmine, UNPAUSE
1622110451.2942977, canneal, PAUSE
1622110451.4296563, freqmine, PAUSE
1622110451.7234755, dedup, UNPAUSE
1622110452.0296354, canneal, UNPAUSE
1622110452.3229825, freqmine, UNPAUSE
1622110462.125129, dedup, PAUSE
1622110462.162873, canneal, PAUSE
1622110462.214565, freqmine, PAUSE
1622110462.4963448, ferret, UNPAUSE
1622110472.0225372, dedup, UNPAUSE
1622110472.351629, dedup, PAUSE
1622110472.401957, ferret, PAUSE
1622110472.710709, ferret, UNPAUSE
1622110475.563355, dedup, UNPAUSE
1622110475.870706, dedup, PAUSE
1622110475.9187539, ferret, PAUSE
1622110476.2091591, ferret, UNPAUSE
1622110477.5340986, dedup, UNPAUSE
1622110477.8701844, dedup, PAUSE
1622110477.9067132, ferret, PAUSE
1622110478.1930375, ferret, UNPAUSE
1622110481.0495968, dedup, UNPAUSE
1622110481.3667688, dedup, PAUSE
1622110481.4063096, ferret, PAUSE
1622110481.6926594, ferret, UNPAUSE
1622110493.2661123, dedup, UNPAUSE
1622110493.57251, dedup, PAUSE
1622110493.6203253, ferret, PAUSE
1622110493.909749, ferret, UNPAUSE
1622110497.0325043, dedup, UNPAUSE
1622110497.3496203, dedup, PAUSE
1622110497.4083261, ferret, PAUSE
1622110497.7018013, ferret, UNPAUSE
1622110500.0585544, dedup, UNPAUSE
1622110500.3597462, dedup, PAUSE
1622110500.4046547, ferret, PAUSE
1622110500.7232893, ferret, UNPAUSE
1622110513.017879, dedup, UNPAUSE
1622110532.2186265, dedup, PAUSE
1622110532.2635307, ferret, PAUSE
1622110532.5641258, ferret, UNPAUSE
1622110552.5246801, dedup, UNPAUSE
1622110562.1492712, dedup, PAUSE
1622110562.1955492, ferret, PAUSE
1622110562.4777853, ferret, UNPAUSE
1622110601.3653224, ferret, PAUSE
1622110601.6694276, canneal, UNPAUSE
1622110601.958534, freqmine, UNPAUSE
1622110603.2999082, canneal, PAUSE
1622110603.3567884, freqmine, PAUSE
1622110603.6656277, canneal, UNPAUSE
1622110603.9519908, freqmine, UNPAUSE
1622110604.2564292, canneal, PAUSE
1622110604.3075817, freqmine, PAUSE
1622110604.5918722, ferret, UNPAUSE
1622110614.8571024, dedup, UNPAUSE
1622110622.1659904, dedup, PAUSE
1622110622.212985, ferret, PAUSE
1622110622.4964845, ferret, UNPAUSE
1622110642.4505768, ferret, PAUSE
1622110642.7753222, canneal, UNPAUSE
1622110643.0684428, dedup, UNPAUSE
1622110643.3634915, dedup, PAUSE
1622110643.400293, canneal, PAUSE
1622110643.6942492, canneal, UNPAUSE
1622110643.9899895, dedup, UNPAUSE
1622110644.281208, dedup, PAUSE
1622110644.4257288, canneal, PAUSE
1622110644.7105603, dedup, UNPAUSE
1622110645.01204, splash2x-fft, UNPAUSE
1622110660.3780565, dedup, FINISH
1622110661.0107179, canneal, UNPAUSE
1622110661.3311615, splash2x-fft, PAUSE
1622110661.3903873, canneal, PAUSE
1622110661.6848989, canneal, UNPAUSE
1622110661.9851823, freqmine, UNPAUSE
1622110662.2788584, splash2x-fft, UNPAUSE
1622110672.0630417, splash2x-fft, PAUSE
1622110672.2269607, canneal, PAUSE
1622110672.269273, freqmine, PAUSE
1622110672.5517893, canneal, UNPAUSE
