timestamp, process name, event
1622118273.5015845, controller, START
1622118273.8006701, ferret, START
1622118274.1200879, memchached, 4
1622118274.1435091, dedup, START
1622118274.742864, splash2x-fft, START
1622118288.76918, splash2x-fft, PAUSE
1622118289.0689566, dedup, PAUSE
1622118289.1309404, ferret, PAUSE
1622118289.438439, canneal, START
1622118290.0764308, freqmine, START
1622118290.7809687, dedup, UNPAUSE
1622118291.6219034, dedup, PAUSE
1622118291.6566608, canneal, PAUSE
1622118291.6886563, freqmine, PAUSE
1622118291.9733398, ferret, UNPAUSE
1622118292.044235, dedup, UNPAUSE
1622118292.6188366, dedup, PAUSE
1622118292.6671252, ferret, PAUSE
1622118292.9621425, ferret, UNPAUSE
1622118309.3907745, dedup, UNPAUSE
1622118338.5963132, dedup, PAUSE
1622118338.6820421, ferret, PAUSE
1622118338.9859786, dedup, UNPAUSE
1622118339.2923267, splash2x-fft, UNPAUSE
1622118346.6291769, canneal, UNPAUSE
1622118353.1357608, freqmine, UNPAUSE
1622118398.1552455, freqmine, PAUSE
1622118403.2748864, dedup, PAUSE
1622118410.6706135, splash2x-fft, PAUSE
1622118412.3637908, canneal, PAUSE
1622118415.9718544, ferret, UNPAUSE
1622118417.3729973, ferret, PAUSE
1622118417.6704092, canneal, UNPAUSE
1622118417.9722242, dedup, UNPAUSE
1622118418.2880661, freqmine, UNPAUSE
1622118499.430268, dedup, PAUSE
1622118520.92013, canneal, PAUSE
1622118526.8075297, freqmine, PAUSE
1622118527.1061122, ferret, UNPAUSE
1622118528.9466686, ferret, PAUSE
1622118529.2558498, canneal, UNPAUSE
1622118529.550011, dedup, UNPAUSE
1622118529.8670313, dedup, PAUSE
1622118529.9205737, canneal, PAUSE
1622118533.8867216, ferret, UNPAUSE
1622118537.2255304, dedup, UNPAUSE
1622118537.5511734, splash2x-fft, UNPAUSE
1622118537.9371028, splash2x-fft, PAUSE
1622118546.3396928, dedup, PAUSE
1622118546.428371, ferret, PAUSE
1622118549.3903272, canneal, UNPAUSE
1622118549.7039974, dedup, UNPAUSE
1622118550.2698615, dedup, PAUSE
1622118554.7109203, canneal, PAUSE
1622118556.224118, ferret, UNPAUSE
1622118560.1275287, ferret, PAUSE
1622118560.4931514, canneal, UNPAUSE
1622118561.343259, dedup, UNPAUSE
1622118561.6682053, dedup, PAUSE
1622118561.7602258, canneal, PAUSE
1622118562.0837035, dedup, UNPAUSE
1622118562.3855598, splash2x-fft, UNPAUSE
1622118573.1599524, ferret, UNPAUSE
1622118577.9538574, splash2x-fft, PAUSE
1622118577.995368, dedup, PAUSE
1622118586.2622862, ferret, PAUSE
1622118586.8655603, canneal, UNPAUSE
1622118587.4324677, dedup, FINISH
1622118588.3269868, splash2x-fft, UNPAUSE
1622118588.644445, splash2x-fft, PAUSE
1622118588.749951, canneal, PAUSE
1622118589.0513031, splash2x-fft, UNPAUSE
1622118589.369918, canneal, UNPAUSE
1622118589.678255, splash2x-fft, PAUSE
1622118589.7313418, canneal, PAUSE
1622118590.022165, splash2x-fft, UNPAUSE
1622118590.3279831, canneal, UNPAUSE
1622118590.6431315, splash2x-fft, PAUSE
1622118590.6964123, canneal, PAUSE
1622118590.995674, canneal, UNPAUSE
1622118591.2969418, splash2x-fft, UNPAUSE
1622118591.6133122, splash2x-fft, PAUSE
1622118591.6809974, canneal, PAUSE
1622118591.9666076, splash2x-fft, UNPAUSE
1622118592.2618587, canneal, UNPAUSE
1622118592.5550525, splash2x-fft, PAUSE
1622118592.6424122, canneal, PAUSE
1622118592.9346924, canneal, UNPAUSE
1622118593.239635, splash2x-fft, UNPAUSE
1622118593.5586658, splash2x-fft, PAUSE
1622118593.6433036, canneal, PAUSE
1622118593.9416397, splash2x-fft, UNPAUSE
1622118594.2452784, canneal, UNPAUSE
1622118594.5744793, splash2x-fft, PAUSE
1622118594.6433246, canneal, PAUSE
1622118594.9417925, canneal, UNPAUSE
1622118595.2453318, splash2x-fft, UNPAUSE
1622118595.5780647, splash2x-fft, PAUSE
1622118595.6165998, canneal, PAUSE
1622118595.9122946, canneal, UNPAUSE
1622118596.2213511, splash2x-fft, UNPAUSE
1622118596.5369933, splash2x-fft, PAUSE
1622118596.6706495, canneal, PAUSE
1622118596.957396, splash2x-fft, UNPAUSE
1622118597.529059, canneal, UNPAUSE
1622118597.8538883, splash2x-fft, PAUSE
1622118597.952874, canneal, PAUSE
1622118598.2408864, canneal, UNPAUSE
1622118598.5382845, splash2x-fft, UNPAUSE
1622118598.8503413, splash2x-fft, PAUSE
1622118598.9165373, canneal, PAUSE
1622118599.2188416, splash2x-fft, UNPAUSE
1622118599.535729, canneal, UNPAUSE
1622118599.8450644, splash2x-fft, PAUSE
1622118600.0059698, canneal, PAUSE
1622118600.316897, splash2x-fft, UNPAUSE
1622118600.6183944, canneal, UNPAUSE
1622118600.9301007, splash2x-fft, PAUSE
1622118600.9775658, canneal, PAUSE
1622118601.2693079, canneal, UNPAUSE
1622118601.5713232, splash2x-fft, UNPAUSE
1622118601.8952816, splash2x-fft, PAUSE
1622118601.939425, canneal, PAUSE
1622118602.244544, splash2x-fft, UNPAUSE
1622118602.5473695, canneal, UNPAUSE
1622118602.8576243, splash2x-fft, PAUSE
1622118603.0049253, canneal, PAUSE
1622118603.3020904, splash2x-fft, UNPAUSE
1622118603.6086361, canneal, UNPAUSE
1622118603.9514093, splash2x-fft, PAUSE
1622118604.1290653, canneal, PAUSE
1622118604.4237711, splash2x-fft, UNPAUSE
1622118604.730286, canneal, UNPAUSE
1622118605.0356014, splash2x-fft, PAUSE
1622118605.112762, canneal, PAUSE
1622118605.4128006, canneal, UNPAUSE
1622118605.7227218, splash2x-fft, UNPAUSE
1622118606.038023, splash2x-fft, PAUSE
1622118606.1491656, canneal, PAUSE
1622118606.4356556, splash2x-fft, UNPAUSE
1622118606.7305825, canneal, UNPAUSE
1622118607.5699759, splash2x-fft, PAUSE
1622118607.6084187, canneal, PAUSE
1622118607.924045, canneal, UNPAUSE
1622118608.2209938, splash2x-fft, UNPAUSE
1622118608.5406418, splash2x-fft, PAUSE
1622118608.593221, canneal, PAUSE
1622118608.885782, canneal, UNPAUSE
1622118609.1904476, splash2x-fft, UNPAUSE
1622118609.5029573, splash2x-fft, PAUSE
1622118609.5686965, canneal, PAUSE
1622118609.8606179, canneal, UNPAUSE
1622118610.1590765, splash2x-fft, UNPAUSE
1622118610.5035887, splash2x-fft, PAUSE
1622118610.5509353, canneal, PAUSE
1622118610.8409922, canneal, UNPAUSE
1622118611.1510088, splash2x-fft, UNPAUSE
1622118611.4798355, splash2x-fft, PAUSE
1622118611.5693884, canneal, PAUSE
1622118611.8630426, splash2x-fft, UNPAUSE
1622118612.1661422, canneal, UNPAUSE
1622118612.806284, splash2x-fft, PAUSE
1622118612.8458776, canneal, PAUSE
1622118613.1364818, canneal, UNPAUSE
1622118613.4400656, splash2x-fft, UNPAUSE
1622118614.0008578, splash2x-fft, PAUSE
1622118614.0620162, canneal, PAUSE
1622118614.3531823, splash2x-fft, UNPAUSE
1622118614.6636596, canneal, UNPAUSE
1622118614.9792507, splash2x-fft, PAUSE
1622118615.0222523, canneal, PAUSE
