timestamp, process name, event
1622113310.6397126, controller, START
1622113312.7765043, ferret, START
1622113313.1642337, memchached, 4
1622113313.1781785, canneal, START
1622113315.3437917, canneal, PAUSE
1622113315.3856027, ferret, PAUSE
1622113315.6690264, ferret, UNPAUSE
1622113315.958429, canneal, UNPAUSE
1622113316.2638524, canneal, PAUSE
1622113316.3066497, ferret, PAUSE
1622113316.6361709, ferret, UNPAUSE
1622113324.628131, dedup, START
1622113325.521364, dedup, PAUSE
1622113325.5667312, ferret, PAUSE
1622113325.8673344, ferret, UNPAUSE
1622113326.9328306, dedup, UNPAUSE
1622113327.2371173, dedup, PAUSE
1622113327.2888322, ferret, PAUSE
1622113327.5803123, ferret, UNPAUSE
1622113329.932097, dedup, UNPAUSE
1622113330.5075343, dedup, PAUSE
1622113330.554467, ferret, PAUSE
1622113330.8452709, ferret, UNPAUSE
1622113334.4767013, dedup, UNPAUSE
1622113344.375413, dedup, PAUSE
1622113345.498258, ferret, PAUSE
1622113346.957623, canneal, UNPAUSE
1622113347.3638153, freqmine, START
1622113351.2855036, dedup, UNPAUSE
1622113351.605963, dedup, PAUSE
1622113351.6498082, canneal, PAUSE
1622113351.692376, freqmine, PAUSE
1622113351.9799478, ferret, UNPAUSE
1622113355.3472314, dedup, UNPAUSE
1622113364.2677197, dedup, PAUSE
1622113364.3332207, ferret, PAUSE
1622113364.6361883, canneal, UNPAUSE
1622113364.9313643, freqmine, UNPAUSE
1622113365.5193024, dedup, UNPAUSE
1622113365.839153, dedup, PAUSE
1622113365.8968573, canneal, PAUSE
1622113365.939061, freqmine, PAUSE
1622113366.2429953, canneal, UNPAUSE
1622113366.551979, freqmine, UNPAUSE
1622113366.852544, dedup, UNPAUSE
1622113367.1902966, dedup, PAUSE
1622113367.257536, canneal, PAUSE
1622113367.3090951, freqmine, PAUSE
1622113367.6084309, canneal, UNPAUSE
1622113367.9199367, freqmine, UNPAUSE
1622113368.218787, dedup, UNPAUSE
1622113368.5246844, dedup, PAUSE
1622113368.6267445, canneal, PAUSE
1622113368.6915278, freqmine, PAUSE
1622113368.9939, canneal, UNPAUSE
1622113369.298805, dedup, UNPAUSE
1622113369.6041665, dedup, PAUSE
1622113369.649488, canneal, PAUSE
1622113369.9491372, canneal, UNPAUSE
1622113370.2427225, freqmine, UNPAUSE
1622113371.0689242, dedup, UNPAUSE
1622113371.655251, dedup, PAUSE
1622113371.7160804, canneal, PAUSE
1622113371.7935584, freqmine, PAUSE
1622113372.091214, canneal, UNPAUSE
1622113372.388834, freqmine, UNPAUSE
1622113373.480427, dedup, UNPAUSE
1622113373.8148248, dedup, PAUSE
1622113373.8806367, canneal, PAUSE
1622113373.944571, freqmine, PAUSE
1622113374.2363303, canneal, UNPAUSE
1622113374.5194814, ferret, UNPAUSE
