timestamp, process name, event
1621789407.1500497, controller, START
1621789407.4029424, ferret, START
1621789407.7233095, memchached, 4
1621789407.745609, dedup, START
1621789408.3842406, splash2x-fft, START
1621789424.5444462, splash2x-fft, PAUSE
1621789424.5817962, dedup, PAUSE
1621789424.6620014, ferret, PAUSE
1621789424.9600368, canneal, START
1621789425.655133, freqmine, START
1621789427.162582, canneal, PAUSE
1621789427.532322, freqmine, PAUSE
1621789428.2141843, canneal, UNPAUSE
1621789428.8825483, freqmine, UNPAUSE
1621789429.2105646, canneal, PAUSE
1621789429.274217, freqmine, PAUSE
1621789429.5524485, canneal, UNPAUSE
1621789429.8514795, freqmine, UNPAUSE
1621789431.9640894, canneal, PAUSE
1621789432.0059745, freqmine, PAUSE
1621789432.290285, canneal, UNPAUSE
1621789432.5947654, dedup, UNPAUSE
1621789439.8056312, freqmine, UNPAUSE
1621789444.8507953, dedup, PAUSE
1621789444.8907437, canneal, PAUSE
1621789444.9438007, freqmine, PAUSE
1621789445.2249956, ferret, UNPAUSE
1621789455.7172854, dedup, UNPAUSE
1621789474.6051757, dedup, PAUSE
1621789474.6535957, ferret, PAUSE
1621789474.9435809, canneal, UNPAUSE
1621789475.225004, freqmine, UNPAUSE
1621789475.539862, canneal, PAUSE
1621789475.5998378, freqmine, PAUSE
1621789475.9077349, canneal, UNPAUSE
1621789476.2045772, freqmine, UNPAUSE
1621789476.5064025, canneal, PAUSE
1621789476.5586393, freqmine, PAUSE
1621789476.8585744, canneal, UNPAUSE
1621789477.1450298, freqmine, UNPAUSE
1621789477.4429045, canneal, PAUSE
1621789477.4831285, freqmine, PAUSE
1621789477.7719097, canneal, UNPAUSE
1621789478.0692763, freqmine, UNPAUSE
1621789478.3721032, canneal, PAUSE
1621789478.4174597, freqmine, PAUSE
1621789478.7106938, canneal, UNPAUSE
1621789479.014723, freqmine, UNPAUSE
1621789479.312879, canneal, PAUSE
1621789479.4029355, freqmine, PAUSE
1621789479.6975877, canneal, UNPAUSE
1621789479.9920952, freqmine, UNPAUSE
1621789480.3008947, canneal, PAUSE
1621789480.361341, freqmine, PAUSE
1621789480.6575582, canneal, UNPAUSE
1621789480.9387045, freqmine, UNPAUSE
1621789481.250194, canneal, PAUSE
1621789481.288419, freqmine, PAUSE
1621789481.6502323, canneal, UNPAUSE
1621789481.935952, freqmine, UNPAUSE
1621789482.2329948, canneal, PAUSE
1621789482.2909114, freqmine, PAUSE
1621789482.5833244, canneal, UNPAUSE
1621789482.9049368, freqmine, UNPAUSE
1621789483.1964924, canneal, PAUSE
1621789483.2487595, freqmine, PAUSE
