timestamp, process name, event
1621944131.9365125, controller, START
1621944132.4289513, ferret, START
1621944132.895507, memchached, 4
1621944132.9151587, canneal, START
1621944141.3170893, canneal, PAUSE
1621944141.3562863, ferret, PAUSE
1621944141.6575794, canneal, UNPAUSE
1621944141.9524086, freqmine, START
1621944142.7532508, dedup, START
1621944146.3530881, dedup, PAUSE
1621944146.4042122, canneal, PAUSE
1621944146.4467351, freqmine, PAUSE
1621944146.7295587, canneal, UNPAUSE
1621944147.025506, freqmine, UNPAUSE
1621944151.2134323, dedup, UNPAUSE
1621944156.313477, dedup, PAUSE
1621944156.3576908, canneal, PAUSE
1621944156.4016094, freqmine, PAUSE
1621944156.6824653, canneal, UNPAUSE
1621944156.9642036, freqmine, UNPAUSE
1621944165.5740533, dedup, UNPAUSE
1621944166.1553175, dedup, PAUSE
1621944166.2250342, canneal, PAUSE
1621944166.3271606, freqmine, PAUSE
1621944166.7324498, dedup, UNPAUSE
1621944174.967068, splash2x-fft, START
1621944179.4039671, canneal, UNPAUSE
1621944179.7058306, dedup, PAUSE
1621944179.7524734, splash2x-fft, PAUSE
1621944179.793635, canneal, PAUSE
1621944180.0725443, canneal, UNPAUSE
1621944180.356356, freqmine, UNPAUSE
1621944187.1300101, dedup, UNPAUSE
1621944191.1162698, dedup, PAUSE
1621944191.1574676, canneal, PAUSE
1621944191.3018382, freqmine, PAUSE
1621944191.7373438, dedup, UNPAUSE
1621944192.030834, splash2x-fft, UNPAUSE
1621944192.5991626, canneal, UNPAUSE
1621944192.9014435, dedup, PAUSE
1621944193.0333457, splash2x-fft, PAUSE
1621944193.070722, canneal, PAUSE
1621944193.3701956, dedup, UNPAUSE
1621944193.661603, splash2x-fft, UNPAUSE
1621944201.5245626, canneal, UNPAUSE
1621944201.836573, dedup, PAUSE
1621944201.9662158, splash2x-fft, PAUSE
1621944201.9998558, canneal, PAUSE
1621944202.2823467, canneal, UNPAUSE
1621944202.5784264, freqmine, UNPAUSE
1621944203.1342888, canneal, PAUSE
1621944203.2277465, freqmine, PAUSE
1621944203.5262256, canneal, UNPAUSE
1621944203.8234255, freqmine, UNPAUSE
1621944204.9073825, canneal, PAUSE
1621944204.9509096, freqmine, PAUSE
1621944205.2576442, canneal, UNPAUSE
1621944205.5580323, freqmine, UNPAUSE
1621944226.3050277, dedup, UNPAUSE
1621944231.0774841, dedup, PAUSE
1621944231.1683228, canneal, PAUSE
1621944231.2263668, freqmine, PAUSE
1621944231.5586214, dedup, UNPAUSE
1621944231.8553562, splash2x-fft, UNPAUSE
1621944236.5931225, canneal, UNPAUSE
1621944236.9178977, dedup, PAUSE
1621944237.019626, splash2x-fft, PAUSE
1621944237.054788, canneal, PAUSE
1621944237.3342965, canneal, UNPAUSE
1621944237.6333506, freqmine, UNPAUSE
1621944237.940344, canneal, PAUSE
1621944237.9798398, freqmine, PAUSE
1621944238.3020566, canneal, UNPAUSE
1621944238.5895305, freqmine, UNPAUSE
1621944238.8844697, canneal, PAUSE
1621944238.9927027, freqmine, PAUSE
1621944239.287829, canneal, UNPAUSE
1621944239.5823798, freqmine, UNPAUSE
1621944239.8865747, canneal, PAUSE
1621944239.9719942, freqmine, PAUSE
1621944240.2656608, canneal, UNPAUSE
1621944240.5480988, freqmine, UNPAUSE
1621944241.106102, canneal, PAUSE
1621944241.1553261, freqmine, PAUSE
1621944241.4979806, canneal, UNPAUSE
1621944241.7965991, dedup, UNPAUSE
1621944242.1007023, dedup, PAUSE
1621944242.1525953, canneal, PAUSE
1621944242.4382257, canneal, UNPAUSE
1621944242.7431993, dedup, UNPAUSE
1621944243.307825, dedup, PAUSE
1621944243.3742502, canneal, PAUSE
1621944243.6664119, canneal, UNPAUSE
1621944243.9731874, freqmine, UNPAUSE
1621944244.2812579, canneal, PAUSE
1621944244.4499657, freqmine, PAUSE
1621944244.7534814, dedup, UNPAUSE
1621944245.0413706, splash2x-fft, UNPAUSE
1621944251.0655723, canneal, UNPAUSE
1621944256.1528132, dedup, PAUSE
1621944256.2168407, splash2x-fft, PAUSE
1621944256.2523403, canneal, PAUSE
1621944256.5384116, canneal, UNPAUSE
1621944256.8270698, freqmine, UNPAUSE
1621944257.3945715, canneal, PAUSE
1621944257.4381306, freqmine, PAUSE
1621944257.7244778, canneal, UNPAUSE
1621944258.0142899, freqmine, UNPAUSE
1621944258.3160427, canneal, PAUSE
1621944258.3725328, freqmine, PAUSE
1621944258.6688418, canneal, UNPAUSE
1621944258.9626446, freqmine, UNPAUSE
1621944259.2896786, canneal, PAUSE
1621944259.3361917, freqmine, PAUSE
1621944259.6212118, canneal, UNPAUSE
1621944260.3889153, freqmine, UNPAUSE
