timestamp, process name, event
1622154608.6017148, controller, START
1622154608.8685827, ferret, START
1622154609.2140508, memchached, 4
1622154609.2340627, canneal, START
1622154616.366365, canneal, PAUSE
1622154616.4047828, ferret, PAUSE
1622154616.6871638, canneal, UNPAUSE
1622154616.975749, freqmine, START
1622154617.7020729, dedup, START
1622154622.2572477, dedup, PAUSE
1622154622.314435, canneal, PAUSE
1622154622.3522305, freqmine, PAUSE
1622154622.6356654, canneal, UNPAUSE
1622154622.9226954, freqmine, UNPAUSE
1622154623.2199082, dedup, UNPAUSE
1622154624.3353353, dedup, PAUSE
1622154624.3731465, canneal, PAUSE
1622154624.4322324, freqmine, PAUSE
1622154624.7154107, canneal, UNPAUSE
1622154625.0105968, freqmine, UNPAUSE
1622154629.1858008, canneal, PAUSE
1622154629.251602, freqmine, PAUSE
1622154629.5811148, canneal, UNPAUSE
1622154629.8759704, freqmine, UNPAUSE
1622154630.1927493, canneal, PAUSE
1622154630.3045976, freqmine, PAUSE
1622154630.6104286, canneal, UNPAUSE
1622154630.8961773, freqmine, UNPAUSE
1622154631.4691513, canneal, PAUSE
1622154631.5613837, freqmine, PAUSE
1622154631.8516066, canneal, UNPAUSE
1622154632.1619036, freqmine, UNPAUSE
1622154632.4581783, dedup, UNPAUSE
1622154633.2957811, dedup, PAUSE
1622154633.4254367, canneal, PAUSE
1622154633.4833255, freqmine, PAUSE
1622154633.762762, canneal, UNPAUSE
1622154634.0524385, freqmine, UNPAUSE
1622154643.3961422, dedup, UNPAUSE
1622154643.6902814, dedup, PAUSE
1622154643.7683318, canneal, PAUSE
1622154643.812739, freqmine, PAUSE
1622154644.098411, canneal, UNPAUSE
1622154644.3786328, freqmine, UNPAUSE
1622154645.9722867, canneal, PAUSE
1622154646.3481767, freqmine, PAUSE
1622154646.6302912, canneal, UNPAUSE
1622154646.9096591, freqmine, UNPAUSE
1622154656.2578797, canneal, PAUSE
1622154657.6090176, freqmine, PAUSE
1622154658.4982228, dedup, UNPAUSE
1622154670.2355192, splash2x-fft, START
1622154670.9556258, canneal, UNPAUSE
1622154671.7788143, freqmine, UNPAUSE
1622154672.1067789, freqmine, PAUSE
1622154672.1516342, dedup, PAUSE
1622154672.2332578, splash2x-fft, PAUSE
1622154672.2632804, canneal, PAUSE
1622154672.5483077, canneal, UNPAUSE
1622154672.833388, freqmine, UNPAUSE
1622154673.136878, canneal, PAUSE
1622154673.2094004, freqmine, PAUSE
1622154673.5178037, canneal, UNPAUSE
1622154673.8152368, freqmine, UNPAUSE
1622154674.1229064, canneal, PAUSE
1622154674.5493484, freqmine, PAUSE
1622154674.8326654, canneal, UNPAUSE
1622154675.1192627, freqmine, UNPAUSE
1622154675.9462702, canneal, PAUSE
1622154676.0031598, freqmine, PAUSE
1622154676.286353, canneal, UNPAUSE
1622154676.5797517, freqmine, UNPAUSE
1622154676.878245, canneal, PAUSE
1622154676.9271188, freqmine, PAUSE
1622154677.2141376, canneal, UNPAUSE
1622154677.5013468, freqmine, UNPAUSE
1622154678.3177667, canneal, PAUSE
1622154678.3581283, freqmine, PAUSE
